,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,Bayern,35, FW,31,2762,34,4,5,-,4.5,73.2,2,7,8.13,0.6,0.2,1,-,0.4,0.4,-,-,1.9,1.4,0.5,1.7,1.7,24.7,73.2,0.3,0.5,0.1
1,Jadon Sancho,Borussia Dortmund,24, AM(CLR),25(7),2292,17,16,2,-,1.6,85.1,-,7,7.64,0.4,0.4,0.3,-,0.1,0.5,-,-,2.4,0.5,0.3,1,1,47.1,85.1,0.6,0.8,0.1
2,Timo Werner,RBL,28," AM(CLR),FW",33(1),2809,28,8,4,-,3.6,75.6,0.2,10,7.6,0.6,0.1,0.5,-,-,0.4,-,-,1.7,0.9,1.3,1,1,27.7,75.6,0.5,0.7,-
3,Alphonso Davies,Bayern,23," D(L),M(LR)",24(5),2234,3,5,2,1,0.4,86.5,1.1,1,7.52,2.4,1.1,0.9,0.6,1.2,0.7,0.2,-,2.8,1.2,0.2,1.4,1.4,52.1,86.5,0.9,1.1,-
4,Marco Reus,Borussia Dortmund,34," M(CLR),FW",18(1),1502,11,5,1,-,2.5,82.5,0.4,2,7.5,1.4,0.5,0.9,-,0.6,0.8,0.1,-,1.4,0.9,0.4,1.1,1.1,33.7,82.5,0.2,0.9,0.1
5,Serge Gnabry,Bayern,28," AM(CLR),FW",26(5),2203,12,10,-,-,3.1,82.3,0.2,7,7.49,1.2,0.5,0.5,-,-,0.6,-,-,1.8,0.8,0.5,0.8,0.8,33.1,82.3,0.4,0.6,0.1
6,Thiago Alcântara,Bayern,33, M(C),20(4),1772,3,-,7,-,0.8,90.5,1.5,1,7.47,1.9,1.9,1,0.2,0.5,0.9,0.1,-,3,0.5,-,0.8,0.8,74.9,90.5,0.1,6.2,-
7,Thomas Müller,Bayern,34," M(CLR),FW",26(7),2260,8,21,5,-,1.6,78.0,1,1,7.42,1.4,0.4,0.5,-,0.2,1.4,0.1,-,0.5,0.8,0.3,0.6,0.6,36.6,78.0,1,1.3,0.2
8,Filip Kostic,Eintracht Frankfurt,31," M(LR),FW",33,2959,4,11,4,-,2.7,67.0,0.6,5,7.41,1.8,0.7,1.1,-,0.2,1.1,0.1,-,2.5,1.1,0.1,1.8,1.8,32.1,67.0,3,1.5,-
9,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",32(1),2822,4,7,7,-,0.8,90.1,0.8,1,7.4,1.6,0.9,0.8,0.1,0.8,1,0.3,-,0.6,1.4,0.1,0.6,0.6,77.2,90.1,1.9,5.8,0.2
