,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Jude Bellingham,2.5,1.1,1.3,-,0.9,0.5,0.1,-
1,Joshua Kimmich,2.4,1.2,0.7,-,1.1,1,0.2,-
2,Niclas Füllkrug,0.3,-,1.2,-,0.9,0.4,0.1,-
3,Christopher Nkunku,0.2,0.3,0.7,-,0.4,0.2,0.1,-
4,Jamal Musiala,1,0.6,0.7,-,0.1,0.7,0.1,-
5,Dominik Szoboszlai,1.5,0.5,0.8,-,0.7,0.8,0.1,-
6,Randal Kolo Muani,0.4,0.1,1.6,-,0.4,0.3,0.1,-
7,Julian Brandt,0.9,0.5,0.3,-,0.3,1,-,-
8,Raphaël Guerreiro,1.3,1.3,0.3,0.3,0.8,0.5,0.1,-
9,Vincenzo Grifo,0.9,0.6,0.2,-,0.4,0.5,-,-
10,Jonas Hofmann,1,0.5,0.5,-,0.4,1.2,0.1,-
11,Sébastien Haller,0.3,0.1,0.7,-,0.5,0.2,-,-
12,Donyell Malen,0.5,0.2,0.5,-,0.3,0.3,-,-
13,Kingsley Coman,0.5,0.1,0.4,-,0.3,0.4,-,-
14,Eric Choupo-Moting,0.5,-,0.2,-,0.3,0.1,-,-
15,Benjamin Pavard,2.3,1.5,0.9,0.2,2.5,0.4,0.5,-
16,Alphonso Davies,1.7,0.9,0.3,0.2,0.7,0.8,0.2,-
17,Thomas Müller,0.8,0.1,0.3,-,0.5,0.4,0.1,-
18,Jeff Chabot,1.7,2,1.4,0.5,4.9,0.7,0.9,-
19,Jeremie Frimpong,1.6,0.5,0.6,0.1,0.9,0.6,0.1,-
20,Michael Gregoritsch,0.6,0.2,0.8,-,0.3,0.6,0.1,-
21,Serge Gnabry,1,0.3,1,-,0.1,0.8,-,-
22,Marcus Thuram,0.5,0.2,1.1,-,0.7,0.2,0.1,-
23,Leroy Sané,1.2,0.1,0.5,-,-,0.6,-,-
24,Nico Schlotterbeck,2.1,1.1,0.6,1,2.4,0.6,0.8,-
25,Florian Kainz,0.7,1,0.9,-,0.7,0.6,0.2,-
26,Moussa Diaby,0.4,0.2,0.5,-,0.1,0.2,-,-
27,Willi Orbán,1.5,1.2,0.5,0.5,3.9,0.5,0.7,1
28,Ellyes Skhiri,2.5,1.8,1.1,-,1.3,1.3,0.4,-
29,Maximilian Arnold,1.9,0.8,1,0.1,1.9,0.8,0.3,1
30,Frederik Rønnow,-,-,-,-,0.9,0.2,-,-
31,Borna Sosa,1.1,0.8,0.5,0.2,1.4,0.4,0.2,-
32,Philipp Hofmann,0.5,0.2,1.4,-,1.4,0.2,0.2,-
33,Konstantinos Mavropanos,1.8,2.3,0.9,0.5,3.5,0.4,0.6,-
34,Paulo Otávio,2.9,1.2,1,0.4,2.5,0.9,0.2,1
35,Marvin Ducksch,0.2,0.3,0.1,-,1.1,0.4,0.1,-
36,Patrick Wimmer,1.5,0.6,1.6,-,0.4,1,0.1,-
37,Jonas Hector,3.5,1.2,0.7,0.3,2.1,1.5,0.3,-
38,Danilho Doekhi,1.5,1.2,0.8,0.2,3.6,0.5,0.5,-
39,Mats Hummels,2.1,1.1,0.6,0.5,3.2,0.8,0.5,-
40,Wataru Endo,2.1,0.8,1.2,-,1.8,1.4,0.2,-
41,Ramy Bensebaïni,1.2,1.3,0.9,0.4,3.2,0.5,0.5,1
42,Matthias Ginter,1.3,1,0.7,0.3,4.4,0.4,0.7,-
43,Mitchell Weiser,2.4,0.9,1.2,0.1,1,1.2,0.2,-
44,Matthijs de Ligt,1,0.7,0.6,0.6,2.6,0.3,0.6,-
45,Dani Olmo,0.7,0.3,0.7,-,0.2,0.3,-,-
46,Christoph Baumgartner,1.1,0.5,2,-,0.5,1.3,0.2,-
47,Sheraldo Becker,0.4,0.1,0.9,-,0.2,0.3,-,-
48,Rodrigo Zalazar,0.7,0.3,1,-,0.5,0.7,-,-
49,Ritsu Doan,1.8,0.4,0.9,-,0.3,0.9,-,-
50,Timo Hübers,1.5,2,1.1,0.6,5.1,1,0.4,1
51,Leon Goretzka,1.6,1.1,0.9,-,1.1,0.8,0.1,-
52,Emre Can,2.1,0.9,1.1,0.1,1.4,0.8,0.2,-
53,Lucas Tousart,2.2,1.5,1.1,0.1,2,1,0.2,-
54,Robin Knoche,1.4,1.2,0.4,0.4,4.3,0.7,0.6,-
55,Marc Oliver Kempf,1.4,1.6,0.9,0.9,4.5,0.2,1,-
56,Noussair Mazraoui,1.5,0.5,0.8,0.2,1.1,0.5,0.1,-
57,Konrad Laimer,2.9,0.9,1.4,-,0.3,1.1,0.2,-
58,Felix Nmecha,1.4,0.8,1,-,1,0.6,0.3,-
59,Karim Adeyemi,0.7,0.3,0.9,-,0.1,0.9,-,-
