,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Robert Lewandowski,22,7,4.4,1.5,1.4,0.9,1.5,1.5
1,Thiago Alcântara,2,6,0.8,1.9,1.1,-,0.9,0.9
2,Kerem Demirbay,4,9,2.3,2.2,1.3,0.1,2,2
3,Marcel Halstenberg,3,6,0.8,1,0.8,0.1,0.9,0.9
4,Sébastien Haller,15,9,1.9,1,1.5,0.7,1.7,1.7
5,Jadon Sancho,12,14,1.2,3.3,1.1,0.1,1.7,1.7
6,Joshua Kimmich,2,13,0.7,1.1,1.5,0.1,0.7,0.7
7,Thorgan Hazard,10,10,2.3,2.2,1.8,0.5,1.5,1.5
8,Willi Orbán,4,-,1.1,0.1,1.2,-,0.1,0.1
9,Lukasz Piszczek,1,6,0.6,0.4,0.5,-,0.3,0.3
10,Marco Reus,17,8,2.6,0.9,1.1,0.6,1.4,1.4
11,Kingsley Coman,6,4,1.5,2.9,2,0.1,1.6,1.6
12,Ishak Belfodil,16,3,3.1,1.4,0.5,0.8,1.1,1.1
13,Kevin Volland,14,9,2.6,0.9,1.5,0.6,1.7,1.7
14,Daniel Caligiuri,7,3,1.6,2.1,1.2,-,1.4,1.4
15,Yussuf Poulsen,15,3,2.1,0.8,1.6,0.6,2,2
16,Marko Grujic,5,1,2.1,1.4,1,-,0.9,0.9
17,Filip Kostic,6,10,1.8,1.7,1.1,0.1,1.4,1.4
18,Julian Brandt,7,11,2,1.7,0.7,0.1,1.5,1.5
19,Kai Havertz,17,3,2.6,1.4,1.5,0.1,2,2
20,Wout Weghorst,17,7,2.1,0.4,1.1,0.9,1.4,1.4
21,James Rodríguez,7,3,1.8,0.8,0.8,0.3,0.6,0.6
22,Max Kruse,11,9,2.8,1.2,1,0.2,1.4,1.4
23,Joelinton,7,5,2,1.7,1,0.1,2.2,2.2
24,Thomas Müller,6,9,2,0.7,0.8,0.5,0.5,0.5
25,Ibrahima Konaté,1,1,0.5,0.8,0.9,-,0.4,0.4
26,Kevin Stöger,1,7,1.3,1.1,2.4,-,1,1
27,Timo Werner,16,7,3.6,1,1.2,1.2,1.2,1.2
28,Mats Hummels,1,1,0.9,0.5,0.4,-,0.1,0.1
29,Serge Gnabry,10,5,2.2,1.7,0.5,0.4,1,1
30,Kevin Kampl,2,5,1.3,0.9,0.3,0.3,0.9,0.9
31,Thomas Delaney,3,5,1.1,0.3,0.8,0.1,0.5,0.5
32,Maximilian Arnold,2,6,1.6,0.8,2.5,0.1,0.9,0.9
33,Axel Witsel,4,1,1.1,0.8,1.5,-,0.8,0.8
34,Achraf Hakimi,2,4,1,1.8,1.7,-,1.3,1.3
35,Nils Petersen,10,3,2,0.3,0.8,0.1,1.2,1.2
36,William,2,1,0.8,0.9,0.6,-,0.6,0.6
37,Andrej Kramaric,17,4,3.7,0.9,0.6,0.3,1.7,1.7
38,Florian Grillitsch,-,3,1.1,0.8,1.6,-,0.4,0.4
39,Salif Sané,2,-,0.6,0.5,1.1,-,0.2,0.2
40,Theodor Gebre Selassie,3,2,0.9,0.4,1,0.1,0.7,0.7
41,Jérôme Roussillon,3,4,0.7,1.8,1.4,-,1.3,1.3
42,Emil Forsberg,4,7,1.5,1.1,1.2,0.2,1.1,1.1
43,Raphaël Guerreiro,2,6,1.5,1.3,0.9,0.1,1,1
44,Ondrej Duda,11,5,1.7,1.2,1.4,0.2,1.3,1.3
45,Marc Oliver Kempf,2,-,0.6,0.1,1.3,-,0.2,0.2
46,David Alaba,3,3,1.5,0.9,0.4,0.2,0.6,0.6
47,Lukas Klostermann,5,1,0.5,0.3,0.4,-,0.3,0.3
48,Charles Aránguiz,2,7,1,0.4,1.3,-,1.1,1.1
49,Mario Götze,7,7,1.1,1,1,0.5,1.6,1.6
