,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,22.8,77.2,0.2,0.5,-
1,Erling Haaland,16.3,72.7,-,0.1,-
2,Joshua Kimmich,71,88.3,2.2,6.5,0.2
3,Jadon Sancho,50.2,82.4,1,0.8,0.2
4,André Silva,23.4,73.4,0.1,0.3,-
5,Thomas Müller,43.5,75,0.8,1.2,0.1
6,Matheus Cunha,23.1,70.9,1.2,1.7,-
7,Wout Weghorst,23.1,66.1,-,0.6,0.1
8,Maximilian Arnold,50.1,84.4,1.4,5.2,0.1
9,Filip Kostic,35.1,69.9,2.6,1.4,-
10,Christopher Nkunku,29.8,84.3,1.6,0.6,-
11,Mats Hummels,80,87.6,-,7.6,-
12,Leon Bailey,25.9,78.1,1.3,1.6,-
13,Raphaël Guerreiro,70.4,86.9,0.8,2,0.3
14,Andrej Kramaric,31.9,82.2,0.9,1.3,0.1
15,Leon Goretzka,43.5,87.7,0.1,3,-
16,Serge Gnabry,28.3,83.5,0.5,0.8,-
17,Willi Orbán,72,87.5,0.1,2.4,-
18,Silas Katompa Mvumpa,17,70.8,0.2,0.5,-
19,Jonas Hofmann,36.3,80.3,2.1,2.3,-
20,Kingsley Coman,25.5,84.9,0.9,0.9,-
21,Marco Reus,33.1,81.7,0.4,1.3,0.1
22,Angeliño,42.8,74.4,2,1.7,-
23,Vincenzo Grifo,32.3,78.6,1.4,2.3,0.1
24,Emre Can,62.3,87,0.3,3.8,-
25,Daniel Caligiuri,29.6,71,1,1.9,-
26,Alphonso Davies,56.2,89.6,0.3,1,-
27,Borna Sosa,34,77.5,1.9,1,-
28,Wataru Endo,55.1,83.6,-,2.2,0.1
29,Maxence Lacroix,58.9,83.4,-,4.3,-
30,Christopher Trimmel,33.9,73.9,2,2.4,-
31,Sasa Kalajdzic,20,68.7,-,0.3,-
32,Lars Stindl,33.4,83,0.4,1.4,0.2
33,Marcel Sabitzer,47.4,79.7,0.3,2.6,-
34,Martin Hinteregger,63.9,81.7,-,3.4,-
35,Nico Elvedi,65.3,91.2,-,1.9,-
