,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Robert Lewandowski,Bayern,35, FW,33,2959,22,7,2,-,4.4,77.5,1.7,5,7.65
1,Thiago Alcântara,Bayern,33, M(C),26(4),2409,2,6,5,-,0.8,91.8,1.2,3,7.59
2,Kerem Demirbay,Hoffenheim,30, M(C),24(2),2023,4,9,6,-,2.3,81.2,0.7,6,7.59
3,Marcel Halstenberg,RBL,32," D(CL),M(L)",27(1),2414,3,6,2,-,0.8,74.3,2.6,3,7.56
4,Sébastien Haller,Eintracht Frankfurt,29, FW,23(6),2181,15,9,3,-,1.9,63.5,6.9,3,7.55
5,Jadon Sancho,Borussia Dortmund,24, AM(CLR),26(8),2464,12,14,2,-,1.2,84.9,-,7,7.52
6,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",34,3060,2,13,4,-,0.7,90.5,0.7,4,7.49
7,Thorgan Hazard,Borussia M.Gladbach,31," M(CLR),FW",33,2878,10,10,1,-,2.3,76.9,0.7,6,7.44
8,Willi Orbán,RBL,31, D(C),23(1),2050,4,-,5,-,1.1,78.2,4.8,3,7.41
9,Lukasz Piszczek,Borussia Dortmund,38," D(CR),M(R)",20,1759,1,6,3,-,0.6,83.3,3.1,2,7.41
10,Marco Reus,Borussia Dortmund,34," M(CLR),FW",27,2322,17,8,3,1,2.6,81.8,0.7,5,7.39
11,Kingsley Coman,Bayern,27," M(LR),FW",17(4),1392,6,4,2,-,1.5,85,0.6,2,7.34
12,Ishak Belfodil,Hoffenheim,32," AM(LR),FW",20(8),1864,16,3,3,-,3.1,72.2,1.8,4,7.29
13,Kevin Volland,Leverkusen,31," AM(CLR),FW",32(2),2820,14,9,4,-,2.6,75,1,4,7.28
14,Daniel Caligiuri,Schalke,36," D(R),M(CLR),FW",31,2760,7,3,9,-,1.6,68.5,1.3,5,7.28
15,Yussuf Poulsen,RBL,29," AM(CR),FW",27(4),2454,15,3,2,-,2.1,60.8,4.6,4,7.27
16,Marko Grujic,Hertha Berlin,28, DMC,20(2),1780,5,1,5,-,2.1,81.9,3.2,3,7.26
17,Filip Kostic,Eintracht Frankfurt,31," M(LR),FW",33(1),2961,6,10,4,-,1.8,64.6,1.3,5,7.26
18,Julian Brandt,Leverkusen,28," M(CLR),FW",30(3),2674,7,11,-,-,2,81.4,0.9,3,7.26
19,Kai Havertz,Leverkusen,24," M(CR),FW",33(1),2901,17,3,2,-,2.6,87.2,1.6,2,7.25
