,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Manuel Gräfe,18,18.61,0.52,0.17,2.44,44,0.06,1
1,Deniz Aytekin,17,22.71,0.62,0.29,3.76,64,0.24,4
2,Felix Zwayer,16,21.0,0.6,0.38,3.5,56,0.13,2
3,Dr. Felix Brych,16,25.94,0.74,0.38,3.63,58,0.0,0
4,Christian Dingert,15,23.87,0.72,0.53,3.53,53,0.2,3
5,Marco Fritz,15,25.2,0.71,0.27,3.67,55,0.2,3
6,Tobias Stieler,14,24.71,0.79,0.43,2.57,36,0.21,3
7,Daniel Siebert,14,24.79,0.75,0.14,3.0,42,0.07,1
8,Sascha Stegemann,14,25.64,0.83,0.29,4.14,58,0.21,3
9,Tobias Welz,14,25.79,0.79,0.5,3.43,48,0.57,8
10,Bastian Dankert,13,27.69,0.91,0.23,3.77,49,0.15,2
11,Robert Hartmann,13,24.08,0.78,0.31,2.69,35,0.15,2
12,Harm Osmers,12,21.08,0.62,0.25,3.0,36,0.17,2
13,Frank Willenborg,12,20.92,0.64,0.17,2.5,30,0.25,3
14,Sven Jablonski,12,24.08,0.7,0.0,3.08,37,0.08,1
15,Markus Schmidt,12,21.83,0.75,0.33,3.67,44,0.0,0
16,Guido Winkmann,12,21.42,0.62,0.25,2.67,32,0.17,2
17,Benjamin Cortus,11,24.64,0.71,0.36,3.27,36,0.0,0
18,Sören Storks,11,21.82,0.63,0.27,2.91,32,0.09,1
19,Robert Schröder,10,23.5,0.71,0.2,4.2,42,0.0,0
20,Dr. Robert Kampka,9,28.22,0.95,0.56,4.33,39,0.0,0
21,Daniel Schlager,8,26.25,0.87,0.38,3.63,29,0.0,0
22,Bibiana Steinhaus-Webb,7,26.29,0.84,0.14,2.86,20,0.0,0
23,Martin Petersen,7,24.71,0.81,0.14,2.71,19,0.0,0
24,Patrick Ittrich,4,26.0,0.79,0.5,5.0,20,0.5,2
