,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Bayern Munich,100,18.1,50,3,29.9,86.9,14.4,7.14
1,Borussia Dortmund,84,13.1,47,1,58.5,86.9,11,6.97
2,RB Leipzig,81,16.2,47,3,54.1,82.6,15.5,6.95
3,Borussia M,66,14.1,71,3,23.3,81.8,16.7,6.85
4,Bayer Leverkusen,61,14.5,55,6,60.1,85.1,15.6,6.84
5,Eintracht Frankfurt,59,14.8,68,4,50.0,76.5,20.9,6.74
6,Wolfsburg,48,14,67,4,48.6,76.0,19.3,6.73
7,Hoffenheim,53,13.3,64,2,51.5,81.7,17.2,6.72
8,Freiburg,48,13.2,41,2,17.9,78.4,19.3,6.70
9,Hertha Berlin,48,10.6,74,4,46.5,77.5,18.6,6.69
10,FC Koln,51,12.3,77,4,47.4,76.3,21.5,6.65
11,Union Berlin,41,11.8,65,5,43.8,70.5,27.2,6.65
12,Schalke 04,38,11.3,63,2,49.6,77.7,19,6.63
13,Mainz 05,44,13.3,71,3,44.8,75.3,18.4,6.63
14,Werder Bremen,42,12.5,72,4,48.9,78.6,17.8,6.57
15,Augsburg,45,10.7,64,2,11.9,69.8,16.8,6.57
16,Paderborn,37,12.7,80,3,46.9,77.8,14.1,6.52
17,Fortuna Duesseldorf,36,12.6,78,0,46.4,77.5,17.6,6.52
