,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Manchester City,38,27,5,6,83,32,51,86,80,15.4,46,2,63.7,89.3,12.6,6.99,7.3,12.9,8.3,9.3,1.5,15.4,5.5,12.5,9.7
1,Manchester United,38,21,11,6,73,44,29,74,73,13.8,64,1,55.6,84.8,14.5,6.85,11.3,14.5,10.2,11.9,2.0,13.8,5.6,10.9,10.5
2,Liverpool,38,20,9,9,68,42,26,69,68,16.0,40,0,62.4,85.7,14.3,6.82,8.7,13.8,9.1,10.4,1.7,16.0,5.6,10.7,8.3
3,Chelsea,38,19,10,9,58,36,22,67,58,14.6,49,3,61.2,87.0,15.2,6.83,8.8,16.1,10.1,11.4,2.1,14.6,5.5,9.4,9.6
4,Leicester,38,20,6,12,68,50,18,66,68,12.8,61,0,54.4,82.1,16.2,6.8,9.7,17.9,11.5,10.9,1.9,12.8,4.9,9.4,11.1
5,West Ham,38,19,8,11,62,47,15,65,62,12.3,48,3,42.5,77.8,19.9,6.77,12.2,13.5,11.5,9.9,1.9,12.3,4.3,7.8,9.3
6,Tottenham,38,18,8,12,68,45,23,62,68,11.7,53,2,51.4,81.8,16.4,6.81,12.8,16.7,9.0,11.6,1.2,11.7,4.6,10.6,12.3
7,Arsenal,38,18,7,13,55,39,16,61,55,12.1,47,5,53.4,85.0,13.5,6.69,10.9,12.0,9.2,9.1,1.6,12.1,4.0,7.8,10.5
8,Leeds,38,18,5,15,62,54,8,59,62,13.7,61,1,57.8,80.8,14.5,6.77,14.7,19.5,10.4,11.4,2.0,13.7,5.2,8.4,10.8
9,Everton,38,17,8,13,47,48,-1,59,47,10.5,59,2,46.5,81.4,17.7,6.73,13.3,16.8,10.3,10.2,1.7,10.5,3.9,9.5,10.3
10,Aston Villa,38,16,7,15,55,46,9,55,55,13.7,63,4,47.8,78.6,19.4,6.84,14.2,13.9,10.2,11.6,1.9,13.7,4.9,9.7,14.6
11,Newcastle,38,12,9,17,46,62,-16,45,46,10.4,61,3,38.0,76.0,17.1,6.62,15.1,13.5,9.5,10.2,1.5,10.4,3.7,9.2,11.1
12,Wolves,38,12,9,17,36,52,-16,45,35,12.0,52,1,49.2,83.1,15.2,6.66,11.3,15.1,11.3,11.1,1.0,12.0,4.0,12.2,9.9
13,Crystal Palace,38,12,8,18,41,66,-25,44,41,9.2,54,2,39.9,76.1,18.3,6.61,14.2,16.8,10.4,10.8,1.8,9.2,3.5,9.6,11.5
14,Southampton,38,12,7,19,47,68,-21,43,47,11.2,52,3,51.7,79.3,14.1,6.62,11.3,19.1,10.6,11.3,2.0,11.2,4.4,9.0,11.1
15,Brighton,38,9,14,15,40,46,-6,41,40,12.8,45,6,50.8,81.3,14.2,6.65,9.4,16.5,11.2,11.3,1.4,12.8,3.8,9.2,9.4
16,Burnley,38,10,9,19,33,55,-22,39,33,10.1,48,0,41.5,71.6,23.4,6.64,15.0,13.3,10.9,10.1,2.1,10.1,3.4,6.2,10.2
17,Fulham,38,5,13,20,27,53,-26,28,27,11.6,67,3,49.5,81.2,17.2,6.63,11.3,15.8,11.5,12.7,1.1,11.6,3.6,13.3,9.8
18,West Bromwich Albion,38,5,11,22,35,76,-41,26,35,8.9,51,4,37.0,72.2,19.1,6.51,15.8,15.3,11.4,10.6,2.0,8.9,2.9,6.9,10.8
19,Sheffield United,38,7,2,29,20,63,-43,23,20,8.5,73,3,41.0,76.9,19.1,6.46,14.3,16.7,9.2,12.1,1.9,8.5,2.6,7.1,7.7
