,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Kevin De Bruyne,Man City,32," M(CLR),FW",32(3),2800,13,20,3,-,2.8,81.5,0.5,10,7.97,1.3,0.5,0.7,-,0.7,1.4,0.1,-,1.4,0.8,0.1,0.9,0.9,54.5,81.5,2.1,3.5,0.4
1,Ricardo Pereira,Leicester,30," D(LR),M(R)",28,2520,3,2,1,-,0.6,78.9,1.5,2,7.5,4.3,1.8,1.6,0.3,2.6,1.9,0.2,-,2.1,1.3,-,1.1,1.1,56.1,78.9,0.3,2.1,0.1
2,Adama Traoré,Wolves,28," M(CLR),FW",27(10),2608,4,9,1,-,1.2,74.3,1.2,6,7.49,0.9,0.4,1.1,-,0.4,0.4,0.1,-,5,2.1,0.2,1.8,1.8,19.3,74.3,1.2,0.2,0.1
3,Riyad Mahrez,Man City,33," AM(CLR),FW",21(12),1942,11,9,-,-,2.2,90.1,0.3,3,7.48,0.8,0.5,0.4,-,0.2,0.8,-,-,1.6,0.9,0.4,1,1,33.2,90.1,0.6,1.7,0.2
4,Sadio Mané,Liverpool,32," AM(CLR),FW",31(4),2756,18,7,3,-,2.2,81.6,1.2,7,7.45,1.3,0.4,1.3,-,0.2,0.8,-,-,2,1.5,0.4,1.6,1.6,31.5,81.6,0.3,1,0.1
5,Mohamed Salah,Liverpool,31," AM(CLR),FW",33(1),2888,19,10,1,-,3.9,76.5,0.4,6,7.4,0.5,0.2,0.5,-,0.1,0.5,-,-,1.5,0.5,0.6,2,2,28.8,76.5,0.3,0.4,0.1
6,Raheem Sterling,Man City,29," M(CLR),FW",30(3),2661,20,1,5,-,3,82.8,0.7,1,7.35,0.8,0.5,0.9,-,0.1,0.7,0.1,-,1.7,1.2,0.4,1.8,1.8,35.4,82.8,0.2,0.3,0.1
7,Marcus Rashford,Man Utd,26," AM(CLR),FW",31,2655,17,7,3,-,3.1,77.3,0.7,7,7.35,0.4,0.3,0.7,-,0.5,0.5,-,-,1.9,1.5,0.4,1.1,1.1,30.4,77.3,0.3,1.2,0.2
8,James Maddison,Leicester,27, AM(CLR),29(2),2629,6,3,4,-,2.4,83.0,0.2,4,7.34,1.9,0.3,1.2,-,0.2,1.5,-,-,1.6,2.8,0.1,0.9,0.9,47.5,83.0,1.9,2.3,0.2
9,Harry Kane,Tottenham,30," AM(C),FW",29,2590,18,2,4,-,2.8,66.7,2.6,4,7.33,0.6,0.2,1.3,-,1,0.4,0.2,-,1,1.5,0.7,1.1,1.1,19.1,66.7,0.1,0.8,0.2
