,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Eden Hazard,0.4,0.4,0.3,-,0.1,0.3,-,-
1,Raheem Sterling,0.9,0.5,1.2,-,0.1,0.5,0.1,-
2,Mohamed Salah,0.6,0.1,0.7,-,0.1,0.3,-,-
3,Sergio Agüero,0.5,0.3,0.6,-,0.1,0.1,-,-
4,Virgil van Dijk,1,1.1,0.3,1.1,5.2,-,0.5,-
5,Sadio Mané,1,0.4,0.9,0.1,0.2,0.8,0.1,-
6,Harry Kane,0.4,-,1.1,-,0.5,0.5,0.2,-
7,Trent Alexander-Arnold,2.1,1.2,0.5,0.3,2.1,1.1,0.1,-
8,Lucas Digne,2,1.7,1.1,0.3,2.7,0.5,0.3,1
9,Ricardo Pereira,3.4,1.7,1.2,0.2,3,1.7,0.2,-
10,Paul Pogba,1.3,0.5,1.5,-,1,0.7,0.3,-
11,Fernandinho,2,1.4,1.4,0.1,2.4,0.7,0.1,-
12,Fabian Schär,2.5,2.8,1.2,0.4,5.7,1.1,0.7,-
13,Aaron Wan-Bissaka,3.7,2.4,0.7,0.3,3.7,0.3,0.5,-
14,David Silva,0.9,0.7,0.8,-,0.4,0.6,-,-
15,Bernardo Silva,1.4,0.7,0.9,-,0.7,1.4,0.1,-
16,Leroy Sané,0.8,0.3,0.3,-,0.1,0.7,0.1,-
17,Felipe Anderson,2.5,1.1,0.8,-,0.3,1.9,-,-
18,Wilfred Ndidi,3.8,2.2,1.2,0.1,2.1,1.3,0.2,-
19,Wilfried Zaha,1.1,0.3,1.3,-,-,0.6,-,-
20,James Maddison,1.3,0.3,0.7,-,0.1,1.2,0.1,-
21,Roberto Firmino,0.9,0.2,1.1,-,0.4,0.8,-,-
22,Luka Milivojevic,2.4,1.9,1.6,-,1.7,1.4,0.4,-
23,Marcos Alonso,2.4,1.3,0.9,0.2,2.8,0.8,0.1,-
24,Alexandre Lacazette,1,0.4,1.5,-,0.8,0.7,-,-
25,Gylfi Sigurdsson,1.5,0.7,0.9,-,0.6,0.8,0.1,-
26,Sol Bamba,2.6,2.9,1.3,0.2,6.3,0.9,1.1,-
27,Idrissa Gueye,4.3,2.2,1.6,-,1.3,1.2,0.2,-
28,Michael Keane,1.2,1.3,0.7,0.8,5.5,0.4,0.7,-
29,Étienne Capoue,2.8,2.6,1.4,0.1,2.8,1.6,0.4,-
30,Matt Doherty,1.8,1.6,0.8,0.1,2.2,0.6,0.2,1
31,Willy-Arnaud Boly,2.4,2,0.8,0.1,4.8,0.6,0.9,-
32,Andy Robertson,2.2,0.8,0.5,0.5,1.3,0.9,0.2,-
33,James Tarkowski,2,1.2,1,0.3,6.7,0.6,1.6,-
34,Shane Duffy,1,1,0.6,0.1,6.9,0.3,1.3,-
35,Troy Deeney,0.8,0.2,1.3,-,0.9,0.8,0.1,-
36,Joël Matip,1.8,1.5,0.5,0.8,3.5,0.5,0.3,-
37,Kieran Trippier,2.5,0.9,0.7,0.6,2.3,0.9,0.2,1
38,Pierre-Emerick Aubameyang,0.6,0.2,0.4,-,0.5,0.6,-,-
39,Son Heung-Min,0.7,0.3,0.4,-,0.1,0.8,0.1,-
40,Ilkay Gündogan,0.6,0.9,0.4,-,0.6,0.8,0.1,-
41,Ryan Fraser,0.5,0.6,0.2,-,0.5,0.6,0.2,-
42,Christian Eriksen,1.2,0.4,0.5,-,0.2,1.2,0.1,-
43,David Luiz,1.1,1,0.9,0.7,4,0.2,0.5,-
44,Philip Billing,2.7,2,1.4,0.2,1.5,0.9,0.6,-
45,Raúl Jiménez,0.8,0.7,1.1,-,1,0.4,0.1,-
46,Jannik Vestergaard,2.3,1.5,0.7,0.9,7.4,0.7,0.9,-
47,João Moutinho,3,1.1,1.4,-,1.1,2.2,0.3,-
48,Willian,1.1,0.4,0.4,-,0.3,0.5,-,-
49,Shkodran Mustafi,2,1.9,1.4,0.7,5.2,0.3,0.5,-
50,Aymeric Laporte,1.2,1.1,0.6,0.4,2.7,0.3,0.3,-
51,Salomón Rondón,0.3,0.2,0.7,-,1.2,0.6,0.1,-
52,Ben Chilwell,1.5,1.1,0.9,0.3,3.6,0.9,0.2,-
53,Jan Bednarek,1.6,2.8,0.9,0.8,6.7,0.6,1.1,-
54,Dwight McNeil,1.7,0.6,0.7,-,1.5,1.5,0.1,-
55,Granit Xhaka,1.8,1.2,1.6,0.2,1.9,1.2,0.3,-
56,Aleksandar Mitrovic,0.5,0.2,1.6,-,1.4,0.3,0.2,-
57,Lukasz Fabianski,-,-,-,-,0.7,0.1,-,-
58,César Azpilicueta,2.8,1.1,1,0.4,2,0.8,0.4,-
59,Harry Maguire,1,1.2,0.6,0.8,4.9,0.2,0.6,-
60,José Holebas,2.4,0.8,1.2,0.4,2.9,0.9,0.3,-
61,Callum Wilson,0.3,0.1,1.4,-,0.5,0.3,0.1,-
62,Fabián Balbuena,1.7,2.3,0.8,0.6,7.5,1.1,0.6,-
63,Andros Townsend,1.6,1,0.3,-,0.4,1.4,0.1,-
64,Pedro,0.9,0.6,0.5,-,0.3,0.8,0.1,-
65,Nacho Monreal,1.6,1.4,0.8,0.5,2.5,0.5,0.5,-
66,Jefferson Lerma,1.5,1.8,1.4,-,2.8,1.3,0.6,1
67,Steve Cook,1.2,1.6,0.6,0.7,6.4,0.2,0.7,1
68,Sean Morrison,1,1.5,0.9,0.3,5.9,0.4,0.9,-
69,Kyle Walker,1.2,1.1,0.5,0.2,1.5,0.4,0.2,-
70,Ander Herrera,2.5,1.7,1,-,1,1.8,0.3,-
71,Joshua King,0.9,0.2,1.5,-,0.4,0.6,0.1,-
