,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Kevin De Bruyne,13,20,2.8,1.4,0.8,0.1,0.9,0.9
1,Ricardo Pereira,3,2,0.6,2.1,1.3,-,1.1,1.1
2,Adama Traoré,4,9,1.2,5,2.1,0.2,1.8,1.8
3,Riyad Mahrez,11,9,2.2,1.6,0.9,0.4,1,1
4,Sadio Mané,18,7,2.2,2,1.5,0.4,1.6,1.6
5,Mohamed Salah,19,10,3.9,1.5,0.5,0.6,2,2
6,Raheem Sterling,20,1,3,1.7,1.2,0.4,1.8,1.8
7,Marcus Rashford,17,7,3.1,1.9,1.5,0.4,1.1,1.1
8,James Maddison,6,3,2.4,1.6,2.8,0.1,0.9,0.9
9,Harry Kane,18,2,2.8,1,1.5,0.7,1.1,1.1
10,Virgil van Dijk,5,1,0.8,0.1,0.7,-,0.1,0.1
11,Anthony Martial,17,6,2.5,1.6,1.3,0.4,1.9,1.9
12,Willian,9,7,2,1.8,1.3,0.1,0.8,0.8
13,Michail Antonio,10,3,2.8,2.7,1.5,0.5,1.9,1.9
14,Allan Saint-Maximin,3,4,1.8,4.7,1.8,0.1,2,2
15,David Silva,6,10,1.7,1.2,0.7,0.1,0.7,0.7
16,Gabriel Jesus,14,7,3,1.3,0.9,0.6,1,1
17,Raúl Jiménez,17,6,3.1,1.6,0.9,0.5,1.8,1.8
18,Son Heung-Min,11,10,2.7,2.1,0.9,0.6,1.9,1.9
19,Jack Grealish,8,6,2,2,4.6,0.1,1.6,1.6
20,Wilfred Ndidi,2,1,0.8,0.7,0.8,-,0.8,0.8
21,Jamie Vardy,23,5,2.5,0.7,0.3,0.8,0.5,0.5
22,Trent Alexander-Arnold,4,13,1.2,0.6,0.2,0.1,0.3,0.3
23,Aaron Wan-Bissaka,-,4,0.2,1.5,0.5,-,1.3,1.3
24,Richarlison,13,3,2.5,1.7,2,0.5,2.1,2.1
25,Willy-Arnaud Boly,-,1,0.2,0.4,0.4,-,0.2,0.2
26,James Tarkowski,2,2,0.6,0.3,0.8,0.1,0.1,0.1
27,Christian Pulisic,9,4,2.5,2.2,1.2,0.1,2.5,2.5
28,Sergio Agüero,16,3,3.2,1,0.4,0.3,1.3,1.3
29,Lucas Digne,-,7,0.8,0.7,0.8,0.1,0.7,0.7
30,James Ward-Prowse,5,3,1.5,0.4,1.1,-,0.6,0.6
31,Jordan Henderson,4,5,0.7,0.6,0.4,-,0.2,0.2
32,Roberto Firmino,9,8,2.6,1.4,0.4,0.2,1,1
33,César Azpilicueta,2,6,0.8,0.3,0.4,0.1,0.4,0.4
34,Harry Maguire,1,1,0.8,0.2,0.6,0.2,0.2,0.2
35,Danny Ings,22,2,2.4,1.3,0.7,0.3,1.3,1.3
36,Andy Robertson,2,12,0.6,0.6,0.4,0.1,0.3,0.3
37,Rodri,3,2,0.7,0.9,0.9,-,0.8,0.8
38,Sébastien Haller,7,1,1.8,0.8,1.2,0.6,1.1,1.1
39,Emiliano Buendía,1,7,1.1,2.8,1.5,0.1,2.2,2.2
40,Nicolas Pépé,5,6,1.6,2.3,1.2,0.1,1.7,1.7
41,Sèrge Aurier,1,5,0.4,1.2,0.7,0.2,0.8,0.8
42,Dwight McNeil,2,6,1.3,2,1,-,1.7,1.7
