,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Eden Hazard,49.2,84.3,0.9,2.7,0.3
1,Raheem Sterling,37.1,85.8,0.4,0.3,-
2,Mohamed Salah,28.4,75.9,0.4,0.6,0.3
3,Sergio Agüero,23.4,85,-,0.1,0.1
4,Virgil van Dijk,79.9,89.7,-,5.3,-
5,Sadio Mané,32.9,78.2,0.2,1.3,0.1
6,Harry Kane,19.7,73.1,0.1,1.6,-
7,Trent Alexander-Arnold,58.5,77.5,2,4,0.1
8,Lucas Digne,41.6,76,2.4,1.7,-
9,Ricardo Pereira,43.8,78,0.4,1.2,-
10,Paul Pogba,59.1,82.8,0.1,4.7,0.2
11,Fernandinho,70.7,87.5,-,2.7,0.2
12,Fabian Schär,41.4,68.1,0.1,5.6,-
13,Aaron Wan-Bissaka,33.3,73,0.3,1,-
14,David Silva,61.1,87.8,0.5,1.2,0.2
15,Bernardo Silva,47.4,86.1,0.3,2,0.1
16,Leroy Sané,27.3,84.4,0.5,0.1,0.1
17,Felipe Anderson,46.3,76,0.9,2.4,0.3
18,Wilfred Ndidi,52.2,79.9,-,2.4,0.1
19,Wilfried Zaha,29.6,77.3,0.3,0.7,0.1
20,James Maddison,39,83.8,1.9,2.2,0.3
21,Roberto Firmino,37.6,80.8,0.1,0.5,0.1
22,Luka Milivojevic,52.3,80,1.4,3.4,-
23,Marcos Alonso,60.7,85,0.3,1.4,-
24,Alexandre Lacazette,22,74.2,0.1,0.5,0.1
25,Gylfi Sigurdsson,26.1,76.2,1.3,0.7,0.3
26,Sol Bamba,19.6,69.1,-,1.6,-
27,Idrissa Gueye,52.8,84.3,0.1,3.2,0.1
28,Michael Keane,48.3,80.8,-,3.1,-
29,Étienne Capoue,53,84.4,-,3.5,0.1
30,Matt Doherty,36.8,71.6,0.4,1.4,0.1
31,Willy-Arnaud Boly,47.6,81,-,2.4,-
32,Andy Robertson,66.6,83.2,0.6,2.2,-
33,James Tarkowski,32.4,69.5,-,3.1,-
34,Shane Duffy,37.3,75.2,-,3.1,-
35,Troy Deeney,25.8,60.7,0.1,0.4,0.1
36,Joël Matip,61,86.9,-,2.1,-
37,Kieran Trippier,57.1,78.9,2,2.6,0.1
38,Pierre-Emerick Aubameyang,19.2,74,0.3,0.3,-
39,Son Heung-Min,24.3,85.6,0.2,0.4,0.1
40,Ilkay Gündogan,64.4,90.8,0.9,2.4,0.1
41,Ryan Fraser,31.4,76.9,2,0.7,0.1
42,Christian Eriksen,53.5,81,0.9,2.3,0.3
43,David Luiz,72.8,88,-,6,0.3
44,Philip Billing,39.8,78.6,0.3,2.9,-
45,Raúl Jiménez,27.9,72.8,0.2,0.9,0.1
46,Jannik Vestergaard,36.7,76.9,-,2.3,0.1
47,João Moutinho,49,84.8,1.7,3.3,-
48,Willian,38.4,85.7,1.2,1.2,0.1
49,Shkodran Mustafi,56.9,81.9,-,3.2,0.1
50,Aymeric Laporte,85.6,92.3,-,4.9,-
51,Salomón Rondón,23,69.9,0.1,0.3,0.1
52,Ben Chilwell,46.8,72.3,0.6,1.2,-
53,Jan Bednarek,32.8,70.5,-,1.7,0.1
54,Dwight McNeil,21.6,75.7,1.6,0.9,-
55,Granit Xhaka,77.4,85.3,1.1,5.5,0.1
56,Aleksandar Mitrovic,27.7,72,-,0.4,0.1
57,Lukasz Fabianski,28.2,49.7,-,8.5,-
58,César Azpilicueta,65.3,87,0.6,1.3,0.1
59,Harry Maguire,56.4,85.6,-,6.2,-
60,José Holebas,29.8,68.5,1.5,1.6,-
61,Callum Wilson,14.7,67.1,0.2,0.1,-
62,Fabián Balbuena,36.2,79.4,-,2.2,-
63,Andros Townsend,27,78.8,1,0.8,-
64,Pedro,34.4,86.5,0.3,1.2,0.1
65,Nacho Monreal,53.1,87.6,0.2,1.4,-
66,Jefferson Lerma,52,83.2,0.1,2.3,0.1
67,Steve Cook,48.4,79.3,0.1,3.4,-
68,Sean Morrison,21.7,62.8,-,1.1,-
69,Kyle Walker,72.4,90.1,0.1,3.5,-
70,Ander Herrera,44.5,87.8,-,1.5,0.1
71,Joshua King,23,72,0.2,0.3,0.1
72,Riyad Mahrez,29.5,84.7,0.6,1.4,0.2
73,Hugo Lloris,31.7,73.6,-,6.7,-
74,Lucas Moura,22.6,76.1,-,0.4,-
75,Isaac Hayden,28.8,79.4,0.2,1,0.1
76,Fabinho,57.5,85.3,0.1,2.6,-
77,Marcus Rashford,20.2,78.1,0.3,0.5,-
78,Matt Ritchie,30.5,73.1,1.9,1.6,-
79,Ayoze Pérez,21.1,75.9,0.1,0.7,0.1
80,Dele Alli,41.1,80.3,0.1,1,0.1
81,Jamie Vardy,12.2,65.6,0.2,0.2,-
