,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Harry Kane,Tottenham,30," AM(C),FW",35,3087,23,14,1,-,3.9,69.9,2.2,13,7.79
1,Kevin De Bruyne,Man City,32," M(CLR),FW",23(2),2001,6,12,1,-,3.1,81.7,0.2,8,7.62
2,Jack Grealish,Aston Villa,28," AM(CL),FW",24(2),2184,6,10,6,-,1.9,83.3,1,4,7.56
3,Bruno Fernandes,Man Utd,29, M(CLR),35(2),3110,18,12,6,-,3.3,78.3,0.4,6,7.43
4,Tomás Soucek,West Ham,29, M(C),38,3420,10,1,7,1,1.7,75.5,6.2,6,7.36
5,Mason Mount,Chelsea,25, M(CLR),32(4),2892,6,5,2,-,2.3,86.5,0.6,4,7.33
6,Sadio Mané,Liverpool,32," AM(CLR),FW",31(4),2813,11,7,3,-,2.7,78.7,1,7,7.33
7,Ilkay Gündogan,Man City,33, M(C),23(4),2023,13,2,1,-,2,91.7,0.4,2,7.32
8,João Cancelo,Man City,29," D(LR),M(R)",27(1),2302,2,3,5,1,1.2,87.2,1,3,7.30
9,Gareth Bale,Tottenham,34," M(CLR),FW",10(10),923,11,2,1,-,1.9,73.2,1.2,4,7.30
10,Son Heung-Min,Tottenham,31," M(CLR),FW",36(1),3127,17,10,-,-,1.8,83.4,0.5,-,7.27
11,Wilfred Ndidi,Leicester,27," D(C),DMC",25(1),2179,1,4,6,-,0.6,86.9,2.2,1,7.25
12,Raphinha,Leeds,27," AM(LR),FW",26(4),2364,6,9,3,-,2.2,72.3,0.3,4,7.22
13,James Rodríguez,Everton,32," AM(CLR),FW",21(2),1776,6,4,4,-,1.6,83.3,0.3,3,7.21
14,Riyad Mahrez,Man City,33," AM(CLR),FW",23(4),1955,8,6,-,-,2.1,88.1,0.5,3,7.21
15,Raheem Sterling,Man City,29," M(CLR),FW",28(3),2537,10,7,4,-,2.2,86,0.3,4,7.18
16,Ollie Watkins,Aston Villa,28," AM(LR),FW",37,3329,14,5,2,1,2.6,71.5,3.7,4,7.18
17,Michail Antonio,West Ham,34," D(R),M(CLR),FW",24(2),1984,10,5,3,-,2.4,68.2,2.8,2,7.17
18,Dominic Calvert-Lewin,Everton,27," AM(L),FW",32(1),2876,16,-,3,-,2.5,68.7,4.7,4,7.17
19,Rodri,Man City,27," D(C),DMC",31(3),2749,2,2,6,-,0.9,91.3,2.4,1,7.16
20,Aaron Wan-Bissaka,Man Utd,26," D(LR),M(R)",34,3060,2,4,3,-,0.2,84.9,1.1,3,7.15
21,Phil Foden,Man City,23," AM(CLR),FW",17(11),1614,9,5,-,-,1.6,88.2,0.6,3,7.14
22,Marcus Rashford,Man Utd,26," AM(CLR),FW",33(4),2928,11,9,4,-,2.1,82.1,0.7,3,7.13
23,Thiago Alcântara,Liverpool,33, M(C),20(4),1858,1,-,4,-,0.9,89.6,1.3,2,7.12
24,Pedro Neto,Wolves,24," AM(CLR),FW",30(1),2559,5,6,3,-,1.9,88.4,0.6,5,7.12
25,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",19(6),1568,3,4,-,-,1.2,82.5,0.3,5,7.12
26,Roberto Firmino,Liverpool,32," M(CLR),FW",33(3),2852,9,7,2,-,2.3,80.7,0.6,4,7.11
27,Jamie Vardy,Leicester,37," AM(L),FW",31(3),2846,15,9,1,-,2.4,67.5,1.5,3,7.11
28,Adama Traoré,Wolves,28," M(CLR),FW",28(9),2645,2,2,4,-,1.1,76.2,2,4,7.10
29,Youri Tielemans,Leicester,26, M(C),37(1),3358,6,4,6,-,1.3,81.7,0.9,2,7.09
30,Lucas Digne,Everton,30," D(CL),M(L)",30,2682,-,7,2,1,0.4,77.5,3.1,1,7.08
31,Christian Benteke,Crystal Palace,33, FW,21(9),1819,10,1,1,1,2.4,58.6,6.8,2,7.08
32,Kurt Zouma,Chelsea,29, D(CR),22(2),2025,5,-,3,-,1.1,90.9,3.6,1,7.07
33,Solly March,Brighton,29, M(CLR),19(2),1675,2,1,-,-,1,76,0.7,2,7.07
34,James Ward-Prowse,Southampton,29, M(CR),38,3420,8,7,5,-,1.1,86.4,1.2,2,7.07
35,Mohamed Salah,Liverpool,31," AM(CLR),FW",34(3),3082,22,5,-,-,3.4,83.7,0.5,3,7.07
36,Liam Cooper,Leeds,32, D(C),25,2188,1,-,4,1,0.6,85.6,3.8,2,7.06
37,Bernardo Silva,Man City,29," M(CLR),FW",24(2),2071,2,6,5,-,1.1,91.6,0.5,3,7.06
38,Sèrge Aurier,Tottenham,31," D(CLR),M(R)",19,1609,2,3,-,-,0.8,80.8,1.9,-,7.06
39,Paul Pogba,Man Utd,31, M(CL),21(5),1896,3,3,3,-,1.2,83,2.1,4,7.06
