,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Martin Atkinson,32,21.5,0.65,0.28,2.94,94,0.16,5
1,Michael Oliver,32,21.0,0.64,0.16,3.28,105,0.0,0
2,Anthony Taylor,32,20.25,0.63,0.38,3.81,122,0.16,5
3,Mike Dean,27,21.48,0.66,0.41,4.15,112,0.15,4
4,Chris Kavanagh,26,21.69,0.69,0.23,3.31,86,0.04,1
5,Paul Tierney,25,23.96,0.73,0.28,3.04,76,0.12,3
6,Jonathan Moss,25,20.64,0.6,0.32,3.72,93,0.08,2
7,Kevin Friend,25,20.96,0.65,0.12,2.92,73,0.2,5
8,Andre Marriner,24,17.25,0.52,0.08,2.42,58,0.08,2
9,Craig Pawson,23,25.17,0.79,0.22,3.74,86,0.09,2
10,Stuart Attwell,21,21.52,0.6,0.29,4.19,88,0.19,4
11,Graham Scott,19,19.05,0.58,0.11,2.89,55,0.26,5
12,Lee Mason,16,23.44,0.72,0.25,3.75,60,0.06,1
13,David Coote,16,21.69,0.7,0.31,3.06,49,0.13,2
14,Simon Hooper,11,21.64,0.77,0.09,3.09,34,0.18,2
15,Andy Madley,11,22.27,0.66,0.18,3.55,39,0.09,1
16,Peter Bankes,11,23.0,0.8,0.27,3.73,41,0.09,1
17,Oliver Langford,1,23.0,0.43,0.0,1.0,1,0.0,0
18,Tim Robinson,1,27.0,0.87,0.0,2.0,2,0.0,0
19,Darren England,1,25.0,0.93,1.0,3.0,3,0.0,0
20,Robert Jones,1,17.0,0.55,0.0,4.0,4,0.0,0
