,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Manchester City,19.6,7,12.8,7.8
1,Chelsea,16.4,5.9,12.1,10.1
2,Liverpool,15.6,6.1,10.2,7.7
3,Manchester United,14.3,5.7,11.7,11.2
4,Leicester,14.2,5,9.9,11.7
5,Southampton,13.1,4.8,11.1,10.2
6,Everton,12.3,4.3,9.8,10.4
7,Brighton,12.2,3.8,8.8,8.6
8,Wolves,12.1,3.9,13.4,9.5
9,Aston Villa,12,3.9,9.2,13.8
10,Tottenham,11.7,4.2,11.8,11.2
11,Watford,11.2,3.2,8.4,9
12,West Ham,11,4.3,10.4,9.1
13,Norwich,10.8,3.4,11.2,11.3
14,Arsenal,10.7,4,10.8,11.5
15,Newcastle,10.5,3.5,10.5,11.1
16,Bournemouth,10.2,3.2,8.6,10.2
17,Burnley,10.2,3.5,6.5,9.7
18,Crystal Palace,9.9,3.2,11.4,12.6
19,Sheffield United,9.3,3,9.1,8.1
