,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Manchester City,99,18.8,42,1,68.2,89.7,12.7,7.12
1,Liverpool,94,19.2,50,1,63.1,84.9,15.1,7.05
2,Chelsea,76,15.6,63,1,62.2,87.1,14.3,6.92
3,Tottenham,69,12.8,66,1,51.6,84.9,14.7,6.87
4,West Ham,60,11.8,47,3,47.4,80.6,16.9,6.75
5,Arsenal,61,15.5,60,4,52.6,83.4,12.4,6.71
6,Manchester United,57,13.4,75,2,52.1,82.8,14.7,6.71
7,Crystal Palace,50,10.8,67,1,50.8,80.3,16.1,6.71
8,Leicester,62,11.4,55,1,51.8,81.8,14,6.70
9,Brighton,42,12.9,73,2,54.3,81.7,15.1,6.70
10,Wolves,38,10.6,59,2,49.3,81.3,12.2,6.69
11,Aston Villa,52,12.2,79,2,46.3,79.7,14.3,6.68
12,Burnley,34,10.7,68,2,39.1,69.2,21.9,6.65
13,Brentford,48,11.6,61,3,44.3,73.7,19,6.65
14,Southampton,43,12.7,63,2,47.4,76.6,17.8,6.63
15,Newcastle,43,11.7,76,1,39.4,74.5,17.5,6.60
16,Everton,43,11.5,78,6,39.1,73.3,16.8,6.59
17,Leeds,42,12.8,101,3,51.9,78.0,12.6,6.53
18,Watford,34,10.5,57,3,39.7,72.9,18.9,6.53
19,Norwich,23,9.8,55,1,42.3,77.5,13,6.42
