,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Atletico Madrid,38,26,8,4,67,25,42,86,67,12.1,100,0,51.8,83.1,14.4,6.84,9.5,16.4,10.2,12.9,2.5,12.1,4.9,9.8,11.7
1,Real Madrid,38,25,9,4,67,28,39,84,67,14.4,57,2,57.7,87.7,11.8,6.86,9.4,14.0,10.5,10.7,2.3,14.4,4.6,11.3,12.5
2,Barcelona,38,24,7,7,85,38,47,79,85,15.3,68,2,36.9,89.7,10.6,6.87,8.6,13.1,9.5,9.4,2.4,15.3,6.4,13.5,13.8
3,Sevilla,38,24,5,9,53,33,20,77,53,12.1,75,2,58.7,86.2,16.6,6.7,9.2,12.9,9.5,12.9,1.8,12.1,3.8,10.3,12.8
4,Real Sociedad,38,17,11,10,59,38,21,62,59,11.3,81,1,53.7,80.8,17.9,6.65,8.9,14.4,8.3,14.9,2.3,11.3,4.1,8.7,12.1
5,Real Betis,38,17,10,11,50,50,0,61,50,11.7,87,8,52.9,82.0,16.4,6.64,9.6,14.6,11.9,13.7,1.7,11.7,4.2,11.0,12.7
6,Villarreal,38,15,13,10,60,44,16,58,60,10.7,65,5,54.3,84.4,13.0,6.66,10.8,14.2,9.8,11.8,2.3,10.7,4.3,11.5,12.2
7,Celta Vigo,38,14,11,13,55,57,-2,53,55,9.4,104,5,52.0,79.9,16.5,6.6,10.9,17.4,10.7,16.6,1.7,9.4,3.7,7.3,12.9
8,Granada,38,13,7,18,47,65,-18,46,47,9.4,96,6,43.4,70.0,18.3,6.47,12.6,13.1,10.3,14.0,2.2,9.4,3.3,8.2,12.3
9,Athletic Club,38,11,13,14,46,42,4,46,46,10.6,81,3,49.4,78.5,17.9,6.54,9.9,12.2,9.1,12.7,2.0,10.6,3.6,8.0,12.6
10,Osasuna,38,11,11,16,37,48,-11,44,37,9.8,74,5,44.6,70.2,26.8,6.54,11.3,13.8,10.3,14.1,1.8,9.8,3.2,6.4,10.7
11,Cadiz,38,11,11,16,36,58,-22,44,36,8.0,77,3,38.5,68.8,18.5,6.47,11.8,15.1,11.5,11.5,1.5,8.0,2.7,8.4,12.7
12,Valencia,38,10,13,15,50,53,-3,43,50,10.3,77,5,47.9,79.4,16.3,6.6,14.4,12.2,10.3,12.1,2.4,10.3,3.7,9.0,13.8
13,Levante,38,9,14,15,46,57,-11,41,46,10.1,70,1,51.5,80.1,12.2,6.5,12.2,13.4,11.4,13.4,1.8,10.1,3.4,9.6,10.4
14,Getafe,38,9,11,18,28,43,-15,38,28,9.5,117,7,8.9,66.5,22.8,6.49,8.4,15.2,10.4,16.6,1.9,9.5,2.8,6.9,13.7
15,Deportivo Alaves,38,9,11,18,36,57,-21,38,36,9.1,87,8,44.6,72.9,22.6,6.5,10.5,13.1,11.2,13.5,1.9,9.1,2.7,6.7,12.8
16,Elche,38,8,12,18,34,55,-21,36,34,7.1,95,3,48.1,81.5,13.2,6.48,12.5,14.5,10.2,13.9,1.3,7.1,2.4,9.6,12.0
17,SD Huesca,38,7,13,18,34,53,-19,34,34,10.7,68,2,48.7,79.8,15.7,6.55,11.1,14.6,11.5,13.9,2.7,10.7,3.6,11.2,13.6
18,Real Valladolid,38,5,16,17,34,57,-23,31,34,9.7,93,4,46.2,74.8,17.1,6.46,12.4,14.7,11.3,13.4,2.0,9.7,3.1,7.7,13.4
19,Eibar,38,6,12,20,29,52,-23,30,29,11.9,67,3,49.2,72.6,24.4,6.53,9.2,13.5,11.4,13.0,1.8,11.9,3.6,8.4,10.2
