,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,64.2,85.1,1,2,0.2
1,Gerard Moreno,32,69.7,0.4,1.8,0.2
2,Karim Benzema,35.6,84.6,0.1,1.3,0.1
3,Casemiro,56.8,83.9,0.1,4.4,-
4,Iago Aspas,37.1,78.8,0.2,1.5,0.2
5,Marcos Llorente,33.6,84.6,0.4,1.3,0.1
6,Mikel Merino,45.3,76.7,0.1,2.1,0.2
7,Toni Kroos,72.2,93.6,1.3,8.2,0.1
8,Joselu,27.4,58.6,0.1,0.9,-
9,Kieran Trippier,53.2,79.4,1.2,2.4,0.1
10,Lucas Vázquez,51,87.7,1,2.7,-
11,Antoine Griezmann,36.6,87.3,0.3,1.1,-
12,Javi Galán,35.4,80.2,1.3,1.8,-
13,Yannick Carrasco,28.2,80.7,0.6,0.7,0.1
14,Luis Suárez,18,71.8,0.1,0.6,0.1
15,Luka Modric,63.1,88.1,0.4,4.7,0.1
16,Frenkie de Jong,75.3,91.9,-,2.1,-
17,Nabil Fekir,35.6,85.3,1,1,0.1
18,Dani Parejo,74.1,90.2,1.2,4.9,-
19,Carlos Soler,44.7,85.8,1.2,3.1,0.1
20,Mikel Oyarzabal,24.6,76.7,1.3,0.7,-
21,Alexander Isak,12.6,72.7,0.2,0.3,0.1
22,Ousmane Dembélé,30.7,85.8,0.7,0.7,-
23,Jules Koundé,69.3,90.1,0.1,2.9,-
24,Fernando,50.8,89.7,-,2.8,0.1
25,Jordi Alba,73.4,86.9,0.7,1.8,-
26,David Silva,39.7,85,0.4,1.9,0.2
27,Emerson Royal,45,81.2,0.6,1.2,-
28,Bryan Gil,28.2,78,1.5,0.5,-
29,Sergio Canales,53.4,87.4,1.2,4,-
30,Guido Rodríguez,46.6,84,-,2.6,-
31,Kike García,22.5,68.1,0.2,0.5,-
32,Ángel Correa,22.5,80,0.2,0.5,-
33,Lucas Ocampos,26,77.3,0.2,0.8,-
34,Stefan Savic,52.7,85.2,-,3.4,-
35,Koke,65.2,89.3,0.5,3.4,0.1
36,Maxi Gómez,17.7,65.8,0.1,0.8,-
37,Suso,32.1,86,0.8,2.1,-
38,Jesús Navas,48.3,82.1,1.6,3.1,-
39,Sergio Busquets,74.5,91.3,-,3,0.2
40,Renato Tapia,49.6,81.2,-,3.6,-
41,Youssef En-Nesyri,9.9,68.2,-,0.2,-
42,Jan Oblak,22.9,58.9,-,6.3,-
43,Santi Mina,17.6,72,-,0.4,-
