,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Karim Benzema,Real Madrid,36, FW,31(1),2600,27,12,-,-,4,85.2,0.6,10,7.69
1,Vinícius Júnior,Real Madrid,23," AM(L),FW",30(5),2701,17,10,6,-,2.3,85.9,0.1,8,7.56
2,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",15(6),1413,1,13,3,-,2.2,84.4,0.2,4,7.46
3,Nabil Fekir,Real Betis,30," AM(CLR),FW",33(1),2812,6,8,7,1,2.5,86.4,0.8,7,7.38
4,Casemiro,Real Madrid,32," D(C),DMC",31(1),2576,1,3,11,-,1.3,86,3.2,3,7.26
5,Joselu,Deportivo Alaves,34, FW,35(2),3126,14,4,-,-,2.6,61.1,7.7,5,7.25
6,Iker Muniain,Athletic Club,31, AM(CLR),34(1),2803,4,10,3,-,1.2,84.8,0.1,6,7.19
7,Iago Aspas,Celta Vigo,36," AM(CR),FW",36(1),3094,18,6,8,-,2.4,75.5,0.6,5,7.19
8,Dani Parejo,Villarreal,35, M(C),32(1),2712,2,10,3,-,0.5,87.6,0.5,1,7.17
9,Mikel Merino,Real Sociedad,27, M(C),33(1),2896,3,2,8,-,1.3,77.6,3.3,3,7.16
10,Memphis Depay,Barcelona,30," AM(CL),FW",20(8),1850,12,2,3,-,2.2,82.1,0.4,5,7.10
11,Yannick Carrasco,Atletico,30," D(L),M(CLR),FW",28(6),2594,6,6,5,-,1.5,80.6,0.3,5,7.08
12,Sergio Busquets,Barcelona,35, DMC,36,3202,2,-,12,-,0.4,87.6,1.7,-,7.05
13,Raúl de Tomás,Espanyol,29, FW,33(1),2928,17,3,5,2,3.1,83.9,1,4,7.02
14,Luka Modric,Real Madrid,38, M(C),25(3),2050,2,8,5,-,1,90.1,0.2,-,7.01
15,Javi Galán,Celta Vigo,29," D(L),M(L)",37,3300,-,3,9,-,0.5,81.9,0.7,1,7.01
16,Mathías Olivera,Getafe,26," D(L),M(L)",32,2807,1,3,10,-,0.8,71.8,3.5,3,7.00
17,Óscar Trejo,Rayo Vallecano,36," M(CLR),FW",24(8),2023,3,9,13,-,0.7,82.2,0.8,2,7.00
18,Gonçalo Guedes,Valencia,27," AM(CLR),FW",30(6),2614,11,6,3,-,1.9,68.5,0.4,5,6.99
19,Jordi Alba,Barcelona,35," D(L),M(L)",30,2648,2,10,11,-,1,86.6,0.5,2,6.99
20,Toni Kroos,Real Madrid,34, M(C),25(3),2112,1,3,4,-,1.6,94.9,0.3,1,6.98
21,Gabriel Paulista,Valencia,33, D(CR),19,1602,2,1,2,-,0.3,77.7,2,3,6.98
22,Éder Militão,Real Madrid,26, D(CR),34,3033,1,2,5,-,1,89.3,2.4,3,6.97
23,Ferland Mendy,Real Madrid,28," D(L),M(L)",20(2),1739,2,1,4,-,0.5,92,0.5,-,6.96
24,Étienne Capoue,Villarreal,35," D(C),M(CL)",26(4),2298,1,1,9,-,0.5,88.4,1.8,3,6.96
25,José Luís Morales,Levante,36," D(R),M(CLR),FW",31(4),2727,13,7,7,-,2.3,72.8,0.5,6,6.96
26,Marcos Acuña,Sevilla,32," D(CL),M(CL)",26(5),2266,1,3,10,-,0.5,84.2,0.7,3,6.96
27,Marc Bartra,Real Betis,33," D(CR),DMC",23,1994,1,-,5,-,0.7,82.4,2.7,1,6.95
