,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Karim Benzema,27,12,4,1.1,0.3,1,0.8,0.8
1,Vinícius Júnior,17,10,2.3,2.7,2.1,0.7,1.7,1.7
2,Ousmane Dembélé,1,13,2.2,2.8,0.8,0.2,1.3,1.3
3,Nabil Fekir,6,8,2.5,2.4,2.7,0.3,2.4,2.4
4,Casemiro,1,3,1.3,0.6,1.2,0.1,0.4,0.4
5,Joselu,14,4,2.6,0.5,1.5,0.3,0.9,0.9
6,Iker Muniain,4,10,1.2,1.9,2.3,0.1,1.6,1.6
7,Iago Aspas,18,6,2.4,1.4,1.4,0.5,0.9,0.9
8,Dani Parejo,2,10,0.5,0.8,1.7,-,0.7,0.7
9,Mikel Merino,3,2,1.3,0.8,2,0.1,1.6,1.6
10,Memphis Depay,12,2,2.2,1.6,1.6,0.5,1.2,1.2
11,Yannick Carrasco,6,6,1.5,2.6,1.1,0.4,1.5,1.5
12,Sergio Busquets,2,-,0.4,0.6,1.9,0.1,0.4,0.4
13,Raúl de Tomás,17,3,3.1,1.5,1.6,0.9,1.8,1.8
14,Luka Modric,2,8,1,1.1,1.1,-,0.8,0.8
15,Javi Galán,-,3,0.5,2.3,2,0.3,1,1
16,Mathías Olivera,1,3,0.8,0.8,1.4,0.1,1.2,1.2
17,Óscar Trejo,3,9,0.7,2.6,2.1,0.1,2.1,2.1
18,Gonçalo Guedes,11,6,1.9,1.8,2.1,0.1,1.3,1.3
19,Jordi Alba,2,10,1,0.2,0.6,0.4,0.1,0.1
20,Toni Kroos,1,3,1.6,0.3,1.4,-,0.4,0.4
21,Gabriel Paulista,2,1,0.3,0.1,0.6,0.1,0.2,0.2
22,Éder Militão,1,2,1,0.3,1.1,-,0.2,0.2
23,Ferland Mendy,2,1,0.5,1.6,1.1,0.1,0.6,0.6
24,Étienne Capoue,1,1,0.5,1.4,1.5,-,0.5,0.5
25,José Luís Morales,13,7,2.3,1.8,1.1,0.4,1.6,1.6
26,Marcos Acuña,1,3,0.5,1.4,1.5,-,0.9,0.9
27,Marc Bartra,1,-,0.7,0.3,0.7,-,0.2,0.2
28,Iñigo Martínez,3,-,1,0.1,1,0.1,0.1,0.1
29,Juan Foyth,1,1,0.2,1.1,0.9,-,0.3,0.3
30,David García,4,-,0.9,0.1,0.6,-,0.1,0.1
31,Enes Ünal,16,1,2.3,0.7,1.9,0.4,1.5,1.5
32,Sergio Canales,5,7,1.6,0.9,1.1,0.3,1.2,1.2
33,Pablo Maffeo,1,3,0.8,1.4,1.7,0.1,1.6,1.6
34,Mauro Arambarri,-,5,1.2,1,1.5,-,1.2,1.2
35,Juanmi,16,4,1.7,0.9,0.5,0.5,0.9,0.9
36,Gerard Piqué,1,-,0.7,0.2,0.6,-,0.1,0.1
37,Carlos Soler,11,5,1.3,0.6,1.4,0.1,0.4,0.4
38,Guido Rodríguez,1,2,0.7,0.6,1.6,0.1,0.5,0.5
39,Lucas Torró,1,-,1,0.7,1.5,-,0.7,0.7
40,Álex Moreno,5,3,0.9,0.8,1.3,0.1,0.6,0.6
41,Jules Koundé,2,1,0.4,0.8,0.9,0.1,0.4,0.4
42,Arnaut Danjuma,10,3,2.7,1.4,0.8,0.7,0.8,0.8
43,Frenkie de Jong,3,3,0.5,1.6,1.1,0.2,0.9,0.9
44,João Félix,8,4,1.6,1.3,2.4,0.4,0.8,0.8
45,Lucas Boyé,7,3,2,2.4,1.7,0.5,3.3,3.3
46,Mikel Oyarzabal,9,3,1.9,1,1.2,0.2,1.3,1.3
47,David Silva,2,4,0.8,1.2,1,0.1,1.1,1.1
48,Marco Asensio,10,-,2.1,0.9,0.6,0.1,0.8,0.8
49,Germán Pezzella,1,-,0.8,0.1,0.3,0.1,-,-
50,Héctor Bellerín,-,2,0.4,1,0.6,0.1,0.3,0.3
51,Alfonso Pedraza,4,4,0.8,1.1,0.9,0.1,0.7,0.7
52,Robin Le Normand,1,1,0.5,-,0.6,0.1,0.1,0.1
53,Érik Lamela,5,2,1.1,0.9,0.7,0.3,1.5,1.5
54,Pau Torres,5,1,0.7,0.8,0.5,-,0.2,0.2
55,Santi Comesaña,1,2,0.9,1.4,1.6,-,1,1
56,Dani Carvajal,1,3,0.4,0.4,0.5,-,0.4,0.4
57,Sergi Darder,3,9,1.2,1.5,1.1,-,0.9,0.9
58,Ronald Araujo,4,-,0.6,0.2,0.4,-,0.2,0.2
59,Luis Milla,3,3,0.6,0.8,1.9,-,0.7,0.7
60,Brais Méndez,4,5,1.5,0.9,1.5,0.2,1.3,1.3
61,Ivan Rakitic,4,6,0.9,0.2,1,-,0.3,0.3
62,José Giménez,1,1,0.8,0.3,0.9,0.1,-,-
63,Eduardo Camavinga,2,1,0.5,0.8,1.1,-,0.4,0.4
64,Yeray Álvarez,-,-,0.3,0.1,0.6,-,0.1,0.1
65,Alfonso Espino,2,2,0.7,0.6,1.2,0.2,0.6,0.6
66,Santi Mina,7,3,1.8,0.4,1.2,0.3,1,1
67,Geoffrey Kondogbia,1,2,0.5,1,1.3,-,0.9,0.9
68,Álvaro García,7,4,1.9,0.6,0.7,0.3,0.4,0.4
69,Thomas Lemar,4,5,1.2,1.4,0.9,0.1,1.4,1.4
70,Rodrigo De Paul,3,1,0.7,0.7,1.6,-,0.9,0.9
71,Conan Ledesma,-,-,-,0.1,0.2,-,-,-
72,Dani Vivian,2,1,0.7,0.2,0.8,-,0.3,0.3
73,Antoine Griezmann,3,4,1.7,0.7,1,0.4,0.9,0.9
74,Stefan Savic,-,-,0.5,0.3,0.8,0.1,0.1,0.1
75,William Carvalho,2,3,1,1.5,0.8,-,0.8,0.8
76,Alejandro Catena,2,2,0.6,0.1,0.4,0.1,0.2,0.2
77,Thibaut Courtois,-,-,-,-,-,-,-,-
78,Omar Alderete,2,-,0.6,0.4,0.2,-,0.1,0.1
79,Gavi,2,5,0.9,1.6,2,0.4,1.4,1.4
80,Samuel Chukwueze,3,3,1.2,2.5,0.6,0.4,0.7,0.7
81,Nacho Vidal,-,1,0.6,0.7,0.9,0.1,0.3,0.3
82,Denis Suárez,4,6,0.6,1.1,1,-,0.4,0.4
83,Diego López,-,-,-,-,0.2,-,-,-
84,Alex Berenguer,3,6,1.4,1,1.4,0.4,1.1,1.1
85,Edgar Badia,-,-,-,-,-,-,-,-
86,Aritz Elustondo,4,1,0.5,0.2,0.7,0.1,-,-
87,Lucas Ocampos,6,4,1.7,1.2,1.4,0.1,1.4,1.4
88,Óscar De Marcos,1,2,0.1,0.2,0.4,0.1,0.3,0.3
89,Yassine Bounou,-,2,-,-,0.1,-,-,-
90,Sergiño Dest,-,3,0.6,1.8,0.9,-,1.1,1.1
91,Federico Valverde,-,1,1.1,1,0.3,0.2,0.3,0.3
92,Ante Budimir,8,2,1.6,0.4,1.1,0.6,1,1
93,Martín Zubimendi,2,1,0.6,0.5,0.6,0.1,0.3,0.3
94,José Campaña,2,2,0.7,1.1,1.1,0.1,0.5,0.5
95,David Alaba,2,3,0.7,0.1,0.2,0.1,0.1,0.1
96,Diego Carlos,3,-,0.9,0.1,0.6,-,0.1,0.1
97,Edgar González,1,1,0.2,0.2,0.4,-,-,-
98,Diego Rico,-,-,0.5,0.6,0.8,0.2,0.3,0.3
99,Leandro Cabrera,2,-,0.5,-,0.6,0.1,0.1,0.1
100,Álvaro Negredo,7,2,2,0.6,1,0.3,0.5,0.5
101,Darwin Machís,4,2,1.5,1.4,1.2,0.2,0.9,0.9
102,Luís Maximiano,-,-,-,0.1,0.1,-,0.1,0.1
103,Dani Rodríguez,3,3,1.2,1.7,1.9,0.1,2.3,2.3
104,Lucas Vázquez,3,-,0.6,0.6,1.2,0.2,0.7,0.7
105,Papu Gómez,5,1,1.2,1,1.7,-,1,1
106,Alexander Isak,6,2,2.3,1.4,0.9,0.5,1.1,1.1
107,Carlos Akapo,-,-,0.4,0.5,1,0.1,0.4,0.4
108,Stole Dimitrievski,-,-,-,-,0.2,-,-,-
109,Jorge Cuenca,1,-,0.5,0.1,0.4,-,0.1,0.1
110,Manu Trigueros,6,4,1.2,0.2,1.2,-,0.8,0.8
111,Iñaki Williams,8,5,2.5,0.7,1.1,0.8,1.1,1.1
112,Sergio Herrera,-,-,-,0.1,0.3,-,-,-
113,Gerónimo Rulli,-,-,-,-,0.1,-,-,-
114,Jorge Molina,10,5,1.3,0.2,1.1,0.3,0.7,0.7
115,Franco Cervi,4,3,0.6,0.6,1.2,0.1,0.6,0.6
116,Mamadou Loum,2,-,1,0.8,0.7,-,0.8,0.8
117,Rubén García,1,6,0.9,0.6,0.8,0.2,0.5,0.5
118,Álex Remiro,-,-,-,-,0.1,-,-,-
119,Jorge de Frutos,4,7,1.8,1.4,0.8,0.5,0.6,0.6
120,Adri Embarba,-,2,1.5,1.3,1.3,0.2,1.2,1.2
121,Thomas Delaney,2,1,0.7,0.2,0.8,-,0.2,0.2
122,Damián Suárez,-,3,0.4,0.4,0.9,-,0.4,0.4
123,Fernando,1,1,0.3,0.3,0.5,-,0.3,0.3
124,Johan Mojica,2,5,0.5,0.9,1.5,0.1,0.6,0.6
125,Helibelton Palacios,-,-,-,1,1.2,-,0.4,0.4
126,Adrià Pedrosa,1,1,0.8,1.5,1.5,-,0.8,0.8
127,Luis Suárez,8,4,2.3,1.2,1,0.1,1.1,1.1
128,Rui Silva,-,-,-,-,0.1,-,-,-
129,Oihan Sancet,6,4,1.1,0.9,1,0.2,1.7,1.7
130,Íñigo Ruíz de Galarreta,-,-,0.4,1.2,1.5,-,0.7,0.7
131,Marcos Llorente,-,2,0.6,0.7,0.6,0.2,0.8,0.8
132,Ángel Correa,12,5,1.4,0.9,0.8,0.3,1.3,1.3
133,Raúl Albiol,-,-,0.2,0.1,0.4,0.1,0.2,0.2
134,Nemanja Maksimovic,1,1,0.9,0.3,0.4,-,0.3,0.3
