,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,A.M.M. Lahoz,21,27.29,0.84,0.14,5.24,110,0.24,5
1,X.E. Fernández,20,30.3,1.0,0.3,6.6,132,0.5,10
2,Juan Martínez Munuera,20,30.8,0.97,0.4,5.15,103,0.15,3
3,Javier Alberola Rojas,20,25.1,0.81,0.35,3.3,66,0.15,3
4,G.C. Fernández,20,30.25,0.96,0.3,4.95,99,0.2,4
5,Adrián Cordero Vega,20,23.6,0.76,0.7,4.05,81,0.15,3
6,C.d.C. Grande,19,25.0,0.84,0.42,3.74,71,0.11,2
7,Jesús Gil Manzano,19,27.63,0.9,0.63,4.42,84,0.32,6
8,César Soto Grado,19,28.74,0.91,0.53,5.26,100,0.05,1
9,A.J.H. Hernández,19,26.0,0.83,0.47,5.32,101,0.16,3
10,J.M.S. Martínez,19,27.68,0.91,0.16,5.58,106,0.32,6
11,Mario Melero López,19,30.26,1.11,0.47,5.89,112,0.21,4
12,J.L.M. Montero,19,24.42,0.78,0.37,3.84,73,0.37,7
13,David Medié Jiménez,19,27.11,0.92,0.58,6.11,116,0.26,5
14,Pablo González Fuertes,19,32.47,1.23,0.37,5.79,110,0.16,3
15,E.P. Iglesias,18,28.78,1.06,0.39,5.28,95,0.39,7
16,J.L.G. González,18,26.28,0.88,0.33,4.22,76,0.17,3
17,Valentín Pizarro Gómez,18,28.44,1.03,0.39,3.5,63,0.22,4
18,R. deB. Bengoetxea,17,22.18,0.73,0.41,5.41,92,0.18,3
19,Santiago Jaime Latre,17,26.71,1.03,0.12,4.53,77,0.41,7
