,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Barcelona,90,14.7,75,2,61.4,88.3,12.1,6.99
1,Atletico Madrid,55,11.7,97,5,49.3,80.6,18.2,6.90
2,Real Madrid,63,15.6,75,6,57.8,87.5,13.1,6.86
3,Valencia,51,12.6,87,3,47.8,79.6,16.3,6.80
4,Sevilla,62,13.9,111,6,51.4,79.6,17.9,6.78
5,Villarreal,49,13,112,3,48.5,79.9,16.9,6.72
6,Real Sociedad,45,11.3,78,4,51.7,80.2,19,6.70
7,Eibar,46,14,79,2,52.0,72.7,27.1,6.70
8,Real Betis,44,11.7,90,1,59.4,86.7,12.7,6.69
9,Celta Vigo,53,11.9,74,6,51.5,81.8,18,6.69
10,Espanyol,48,12.5,87,2,49.6,80.0,16.3,6.69
11,Getafe,48,10.6,104,7,43.0,63.7,22.8,6.69
12,Athletic Club,41,10.2,117,5,49.7,76.9,25.3,6.68
13,Leganes,37,11,102,4,44.5,73.2,25.1,6.67
14,Deportivo Alaves,39,11.3,101,1,44.6,70.8,23.6,6.66
15,Levante,59,11.6,101,7,46.6,75.3,13.1,6.65
16,Girona,37,10.5,79,4,48.5,78.6,20.4,6.65
17,SD Huesca,43,12.4,112,3,45.8,73.7,20.3,6.62
18,Rayo Vallecano,41,12.1,97,8,49.5,78.9,14.6,6.61
19,Real Valladolid,32,10.9,93,0,47.5,76.4,16.3,6.59
