,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,38,26,8,4,90,36,54,86,90,14.8,78,4,63.3,90.6,7.0,6.9,10.8,16.0,8.0,9.4,2.4,14.8,5.7,12.9,10.9
1,Marseille,38,21,8,9,63,38,25,71,63,13.1,61,3,62.0,88.2,9.9,6.71,8.7,14.6,8.6,9.1,1.6,13.1,4.4,8.1,12.1
2,Monaco,38,20,9,9,65,40,25,69,65,11.9,78,4,53.9,81.2,14.4,6.71,11.0,19.6,11.2,13.1,2.5,11.9,4.4,9.6,10.7
3,Rennes,38,20,6,12,82,40,42,66,82,14.5,54,2,56.2,84.4,14.7,6.78,9.4,14.4,8.3,11.4,1.6,14.5,5.3,7.6,9.9
4,Nice,38,20,7,11,52,36,16,66,52,11.9,77,6,51.3,83.6,14.2,6.71,11.4,16.1,11.6,12.0,1.4,11.9,4.0,10.2,9.8
5,Strasbourg,38,17,12,9,60,43,17,63,60,12.6,70,3,49.0,80.5,17.4,6.71,10.9,17.4,11.4,13.1,1.6,12.6,4.2,7.2,10.5
6,Lyon,38,17,11,10,66,51,15,62,66,14.6,61,6,58.7,86.0,12.5,6.78,12.2,16.6,10.4,11.5,1.6,14.6,5.4,12.8,11.2
7,Lens,38,17,11,10,62,48,14,62,62,13.6,71,7,50.9,84.2,11.5,6.67,10.9,15.6,12.0,11.1,1.5,13.6,5.1,9.1,9.4
8,Nantes,38,15,10,13,55,48,7,55,55,11.2,76,4,43.2,78.6,15.9,6.65,12.5,18.0,10.9,13.2,1.4,11.2,4.1,8.8,9.8
9,Lille,38,14,13,11,48,48,0,55,48,12.3,93,6,50.7,81.5,14.1,6.62,11.8,17.2,9.9,11.7,2.3,12.3,4.1,8.2,11.6
10,Brest,38,13,9,16,49,57,-8,48,49,10.6,59,2,43.1,78.6,16.5,6.65,13.0,17.9,12.3,11.2,1.2,10.6,3.9,8.3,11.0
11,Reims,38,11,13,14,43,44,-1,46,43,10.4,61,7,41.7,78.4,11.9,6.6,13.5,16.2,13.0,11.8,2.0,10.4,3.8,8.7,11.9
12,Montpellier,38,12,7,19,49,61,-12,43,49,11.5,69,9,47.9,80.4,11.8,6.56,15.8,16.4,9.4,10.8,1.4,11.5,4.2,8.3,12.2
13,Angers,38,10,11,17,44,55,-11,41,44,10.3,66,4,48.4,83.2,11.1,6.54,11.3,16.3,11.1,12.4,1.2,10.3,3.6,10.5,12.1
14,Troyes,38,9,11,18,37,53,-16,38,37,10.2,69,6,44.0,79.9,11.2,6.51,12.2,16.7,11.3,11.6,1.4,10.2,3.4,8.4,12.4
15,Lorient,38,8,12,18,35,63,-28,36,35,11.7,63,4,44.1,79.8,11.6,6.51,12.2,18.3,10.8,12.5,1.4,11.7,3.9,8.1,11.1
16,Clermont Foot,38,9,9,20,38,69,-31,36,38,11.5,61,7,49.8,82.2,11.7,6.46,11.6,16.4,10.2,10.2,1.4,11.5,3.6,8.6,12.7
17,Saint-Etienne,38,7,11,20,42,77,-35,32,42,11.6,79,5,48.4,79.6,12.5,6.47,12.1,18.3,11.9,12.2,1.3,11.6,4.0,10.4,11.6
18,Metz,38,6,13,19,35,69,-34,31,35,9.8,90,9,42.7,78.7,14.2,6.52,14.8,18.7,13.3,13.5,1.3,9.8,3.1,8.8,11.0
19,Bordeaux,38,6,13,19,52,91,-39,31,52,11.8,88,5,47.1,79.8,13.2,6.44,13.7,16.9,11.9,12.1,1.5,11.8,4.0,9.3,10.3
