,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,PSG,25," AM(CLR),FW",24(5),2344,33,7,5,1,4.3,79.4,0.1,9,8.0,0.3,0.2,0.7,-,0.1,0.2,-,-,2.2,1.5,1,1.5,1.5,26.9,79.4,0.2,0.6,0.1
1,Téji Savanier,Nimes,32, M(C),32,2866,6,14,7,1,2.1,71.4,1.6,8,7.89,3,2,1.6,-,1.5,2.3,0.5,-,2.5,3,-,1.3,1.3,50.4,71.4,2.3,6.6,0.1
2,Nicolas Pépé,Lille,28," AM(CLR),FW",37(1),3332,22,11,1,-,3.1,79.1,1.2,13,7.62,0.7,0.3,0.6,-,0.2,0.7,-,-,2.7,2.8,0.3,2.9,2.9,31.6,79.1,0.4,0.7,0.3
3,Ángel Di María,PSG,36," M(CLR),FW",28(2),2339,12,11,2,-,3.2,78.8,-,2,7.52,1,0.5,0.4,-,0.1,1.1,-,-,1.4,0.6,0.2,1.5,1.5,42.1,78.8,1,1.7,0.2
4,Youcef Atal,Nice,27," D(R),M(R)",25(4),2261,6,-,8,-,1.2,83.6,1.6,8,7.48,2.3,1.9,1.4,0.2,1.3,1.1,0.3,-,3.5,2,0.3,1.1,1.1,34.9,83.6,0.3,0.9,0.1
5,Edinson Cavani,PSG,37," AM(LR),FW",20(1),1676,18,5,1,-,2.5,76.3,0.2,2,7.44,0.5,0.3,0.5,-,0.7,0.5,0.1,-,0.6,0.8,0.5,0.6,0.6,16.7,76.3,-,0.3,-
6,Hatem Ben Arfa,Rennes,37," M(CR),FW",23(3),2037,7,2,1,-,2.1,85.2,0.2,5,7.35,0.6,0.2,0.7,-,-,0.3,-,-,4.5,1.6,0.2,2.5,2.5,32.7,85.2,0.5,1.6,0.2
7,Memphis Depay,Lyon,30," AM(CL),FW",29(7),2737,10,10,5,-,3.1,80.1,0.3,3,7.34,0.3,0.3,1,-,-,0.4,0.1,-,1.7,0.9,0.3,1.8,1.8,34.8,80.1,2,1.4,0.2
8,Nabil Fekir,Lyon,30," AM(CLR),FW",24(5),1991,9,7,5,-,3.1,85.2,0.5,5,7.31,1.8,0.2,1.5,-,0.1,0.9,-,-,1.6,2.2,0.6,1.5,1.5,34.1,85.2,1,1.2,0.1
9,Flavien Tait,Angers,31, M(CLR),34(2),2995,5,7,2,-,2.4,78.8,0.3,4,7.3,1.6,0.8,0.9,-,0.3,1,0.1,-,2.3,1.9,0.1,1.9,1.9,36.4,78.8,1.4,1.4,0.2
10,Andy Delort,Montpellier,32," AM(R),FW",36,3132,14,7,4,-,3.3,63.9,3.7,3,7.27,0.9,0.1,2.6,-,0.2,0.8,0.2,-,1.5,1.5,0.7,1.8,1.8,29.3,63.9,0.8,1.4,0.1
11,Thiago Mendes,Lille,32," D(CR),M(CR)",35,3082,-,5,10,-,0.9,84.8,0.7,3,7.27,2.4,1.9,1.1,0.1,1.2,0.9,0.3,-,0.8,1.9,-,0.8,0.8,56.7,84.8,1.4,3.1,0.1
12,Wahbi Khazri,Saint-Etienne,33," M(CLR),FW",32,2825,13,6,10,1,2.9,74.5,0.5,6,7.25,1.3,0.3,1.7,-,0.2,1,0.1,-,1.4,1.6,0.7,2.2,2.2,27.4,74.5,1.6,1.8,-
13,Marcelo,Lyon,36, D(C),33,2880,-,1,6,-,0.8,87.8,5.2,-,7.25,1.5,1.9,1,0.5,4.5,0.2,0.7,1,0.2,0.3,-,0.2,0.2,72.2,87.8,-,5.2,0.1
14,Marquinhos,PSG,29," D(CR),DMC",30,2695,3,1,2,1,0.4,91.9,2.3,-,7.24,2.2,1.5,1,0.4,2.7,0.7,0.4,-,0.2,0.3,-,0.3,0.3,75.3,91.9,-,4.1,0.1
15,Allan Saint-Maximin,Nice,27," AM(CLR),FW",34,2914,6,3,2,-,2.2,76.0,0.9,5,7.21,0.4,0.1,0.4,-,0.1,0.4,-,-,4.2,2,0.2,2.4,2.4,25.4,76.0,0.7,1,0.1
16,Florian Thauvin,Marseille,31," M(CLR),FW",30(3),2625,16,8,5,1,3.1,76.9,0.6,5,7.19,1.3,0.2,0.9,-,0.1,0.6,-,-,1.8,1.5,0.2,1.8,1.8,33.5,76.9,1,1.3,0.2
17,Benjamin André,Rennes,33," D(R),M(CLR)",28(2),2502,3,1,7,1,0.9,79.2,4.9,1,7.18,3.4,1.8,2,0.1,1.6,1.7,0.2,-,0.7,1.6,0.2,1.3,1.3,49.4,79.2,-,1.7,-
18,Max Gradel,Toulouse,36," M(CLR),FW",36,3240,11,5,6,-,3.3,74.2,1.3,3,7.14,1.6,0.5,2,-,0.7,1.3,0.3,-,2.4,2.6,0.5,2.8,2.8,31.2,74.2,0.8,0.8,0.1
19,Lucas Ocampos,Marseille,29," M(CLR),FW",31(3),2715,4,7,11,-,1.8,78.0,1.1,1,7.14,2.4,0.9,1.5,0.1,0.7,1.4,0.1,-,1.9,1.9,0.2,1.7,1.7,23.9,78.0,0.5,0.6,0.1
20,Ruben Aguilar,Montpellier,31," D(R),M(R)",29,2531,1,4,8,-,0.4,83.5,1,2,7.13,3,1.3,1.3,0.1,1.6,1,0.1,-,1.2,1.4,-,0.9,0.9,42.6,83.5,1.1,1.9,-
