,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kylian Mbappé,0.1,0.1,0.7,-,0.1,0.2,-,-
1,Andy Delort,0.4,0.1,1.8,-,1.1,0.3,-,-
2,Memphis Depay,0.1,0.1,0.8,-,0.1,0.5,-,-
3,Ángel Di María,1,0.2,0.4,-,0.2,1.3,-,-
4,Karl Toko-Ekambi,0.5,0.7,0.8,-,0.2,0.7,-,-
5,Benjamin André,3.3,2.2,2,-,1.2,2,0.3,-
6,Téji Savanier,1.8,1.4,2.1,-,0.6,1.9,0.2,-
7,Gaëtan Laborde,1.1,0.4,1.6,-,0.6,1.2,0.1,-
8,Marco Verratti,2.5,1.2,1.3,-,0.1,2.3,0.2,-
9,Fabien Centonze,2.9,3.1,1.2,0.1,3.1,0.8,0.5,-
10,Ludovic Ajorque,0.9,0.3,1.1,-,1.5,0.7,0.1,-
11,Farid Boulaya,0.7,0.4,0.6,-,0.2,1.2,0.1,-
12,Lucas Paquetá,2.3,0.7,2.2,-,0.4,1.4,0.1,-
13,Zinedine Ferhat,1.1,1,0.7,0.1,1,0.6,-,-
14,Romain Faivre,1.5,0.8,1,-,0.4,0.9,-,1
15,Aleksandr Golovin,1.3,0.5,0.9,-,0.1,1.5,-,-
16,Steve Mounié,0.4,0.3,1.9,-,1.1,0.7,0.1,-
17,Aurélien Tchouaméni,3.5,1.7,1.6,-,1.2,1.2,0.3,-
18,Burak Yilmaz,0.5,0.2,1.2,-,0.8,0.9,-,-
19,Angelo Fulgini,0.7,0.5,0.9,-,0.3,0.7,-,-
20,Amine Gouiri,0.9,0.5,1.3,-,0.5,0.9,0.2,-
21,Kiki Kouyaté,2.4,2.4,1.6,0.4,5.2,1,1.1,-
22,Jérémy Doku,1.5,0.4,1.2,-,-,0.5,-,-
23,Jonathan Bamba,1.2,0.6,0.7,-,0.3,1.6,0.1,-
24,Kevin Volland,0.9,0.1,1.7,-,0.1,0.7,-,-
25,Wissam Ben Yedder,0.5,0.4,0.3,-,0.1,0.3,-,-
26,Ludovic Blas,1.6,0.6,1.5,-,0.4,0.9,0.1,-
27,José Fonte,1.1,1,0.8,0.3,3.8,0.2,0.6,1
28,Reinildo,2.7,1.6,1.3,0.1,1.5,0.8,0.1,-
29,Marquinhos,1.1,1.1,0.6,0.4,2.9,0.4,0.4,-
30,Rafinha,2.3,0.6,1,-,0.1,0.9,0.1,-
31,Mahdi Camara,2.7,2.1,1.3,0.1,1.4,0.7,0.3,-
32,Léo Dubois,1,0.9,0.6,0.1,1.3,0.5,0.2,-
33,Zeki Çelik,2.5,1.3,1.9,-,1.3,1.3,0.2,1
34,Sven Botman,0.8,1.5,0.4,0.2,3.2,0.3,0.6,-
35,Florian Thauvin,1.1,0.4,0.7,-,0.3,0.9,0.1,-
36,Mathieu Debuchy,2.2,1.7,1.5,0.2,2,0.8,0.3,-
37,Marcelo,1.3,1.4,1.1,0.3,3.5,0.3,0.7,-
38,Massadio Haïdara,1.9,1.4,1.3,0.1,2,0.6,0.2,-
39,Moise Kean,0.4,0.3,1.3,-,0.4,0.3,-,-
40,Sofiane Diop,1.5,1,1,-,0.3,1.1,-,-
41,Loïc Badé,1.8,2.4,1.4,0.3,4.3,0.8,0.5,-
42,Tino Kadewere,1.1,0.6,1.1,-,0.8,1,0.1,-
43,Boubacar Kamara,2.5,1,1.4,-,1.3,1,0.4,-
44,Nayef Aguerd,1.1,1.3,0.6,0.4,2.9,0.3,0.6,-
45,Valentin Rongier,3.6,1.1,1.7,-,0.8,1.6,0.1,-
46,Laurent Koscielny,1.1,2.1,0.5,0.6,4.4,0.3,1.3,-
47,Brendan Chardonnet,1.5,1.9,0.9,0.5,4.5,0.4,1.2,-
48,Dimitri Payet,0.8,0.2,0.5,-,0.3,0.7,0.1,-
49,Serhou Guirassy,0.1,0.2,1.4,-,0.6,0.1,-,-
50,Randal Kolo Muani,0.6,0.2,1.7,-,0.7,0.5,0.1,-
51,Pol Lirola,1.5,1.3,0.7,0.4,1.2,0.6,0.3,-
52,Keylor Navas,-,-,-,-,0.6,-,-,-
53,Yunis Abdelhamid,1.8,1.8,1.1,0.3,3.7,0.5,0.5,-
54,Hatem Ben Arfa,0.5,0.1,0.8,-,-,0.3,-,-
55,Habib Maïga,2.6,1.6,2.1,-,1,1.4,0.2,-
56,Hamari Traoré,1.6,2.2,1.1,0.3,1.1,1.1,0.1,-
57,Alexander Djiku,2,3,1.7,0.3,3.3,0.7,0.3,-
58,Jonathan Clauss,1.3,1.4,0.7,0.1,1.1,0.6,-,-
59,Gelson Martins,1.8,0.6,1,-,0.1,1,-,-
60,Martin Terrier,1,0.5,1,-,0.2,0.8,-,-
61,Armand Laurienté,1,0.5,0.8,-,0.1,0.7,-,-
62,Cheick Doucouré,2.6,1.6,1.4,-,0.8,1,0.1,-
63,Yoane Wissa,0.9,0.5,0.8,-,0.3,0.6,0.1,-
64,Maxwel Cornet,1.9,1.2,0.8,0.1,1.2,0.7,0.1,-
65,Luiz Araújo,1.4,0.4,0.9,-,0.1,0.7,-,-
66,Benjamin Bourigeaud,1.1,0.5,0.7,-,0.6,1.4,-,-
67,Idrissa Gueye,2.3,0.7,1.3,-,0.3,0.9,0.3,-
68,Florian Sotoca,0.9,0.3,1.5,-,0.7,0.5,-,-
69,Franck Honorat,0.8,0.3,1,-,0.5,0.6,0.1,-
70,Ruben Aguilar,1.9,1.4,1.2,0.1,1.2,0.6,0.1,-
71,Romain Perraud,1.7,1.3,1.3,-,1.8,0.6,0.1,-
72,Gaël Kakuta,1.1,0.5,0.9,-,0.1,1,0.1,-
73,Hassane Kamara,1.8,1.5,0.6,0.3,1.3,0.6,0.3,-
74,Mauro Icardi,0.3,0.2,0.5,-,0.4,0.5,0.1,-
75,Houssem Aouar,0.6,0.6,0.7,-,0.1,0.6,-,-
76,Alessandro Florenzi,1.1,0.8,0.5,-,1,0.8,-,-
77,Mitchel Bakker,1.5,0.8,0.6,0.1,0.5,0.3,0.1,-
78,Jonathan David,0.5,0.1,0.9,-,0.2,0.4,-,-
79,Damien Da Silva,0.7,1.5,1,0.5,3.3,0.2,0.4,1
80,Layvin Kurzawa,1.4,1.5,1.7,0.1,1.1,1,0.3,-
81,Boulaye Dia,0.6,0.3,0.9,-,1,0.5,0.1,-
82,Yvan Neyou,1.9,1,1.5,-,0.4,1.1,0.2,-
83,Sébastien Corchia,2.2,1.5,0.8,0.2,1.4,1.1,0.4,-
84,Ander Herrera,1.7,1,1,-,0.6,1.5,0.2,-
85,Jean-Eudes Aholou,1.7,2,1.9,-,1.1,1.1,0.2,-
86,Pape Sarr,2,1.2,1.1,-,0.7,0.8,0.2,-
87,Mike Maignan,-,-,-,-,0.5,-,-,-
88,Dénis Bouanga,1.4,0.6,1.7,-,0.9,1.2,0.1,1
89,Trevoh Chalobah,1.6,2.4,0.7,-,1.9,0.9,0.2,-
90,Youssouf Fofana,2.6,1,1.3,-,0.4,1.1,0.2,-
91,Bruno Guimarães,2.3,0.4,1,-,0.4,1,0.1,-
92,Jonathan Gradit,1.8,1.7,1.5,0.4,2.4,0.5,0.6,-
93,Eduardo Camavinga,2.8,0.7,1.6,-,0.4,1.1,0.1,-
94,Harold Moukoudi,1.8,1.6,0.9,0.3,2.9,0.4,0.4,-
95,Julien Laporte,2.2,2.2,1,0.3,4.2,1.1,0.8,-
96,Pierre Lees-Melou,2.3,1,1.2,-,0.9,2,0.5,-
97,Birger Meling,1.9,1.4,0.6,0.1,2.1,0.7,0.3,-
98,Guillermo Maripán,0.9,1,0.7,0.4,2.4,0.4,0.4,-
99,Benoît Badiashile,0.7,1.7,0.9,0.3,2.8,0.4,0.3,-
100,Yacine Adli,2.1,1.1,1.1,-,0.5,1.6,0.1,-
101,Romain Thomas,1.4,1.5,1,0.5,3.8,0.4,0.6,-
102,Alexis Claude-Maurice,1.3,0.5,0.8,-,0.1,1.1,0.1,-
103,Caio Henrique,1.6,0.5,0.3,0.2,0.9,0.6,0.1,-
104,Kenny Lala,1,1.1,0.9,0.2,1.3,0.5,0.3,-
105,Renato Sanches,0.6,0.6,1.2,-,0.3,0.9,0.1,-
106,Andrei Girotto,1.9,1.7,0.9,0.4,3,0.9,0.4,-
107,Laurent Abergel,3.8,1.2,1.2,-,0.3,2.8,0.2,-
108,Habib Diallo,0.3,0.4,0.8,-,0.3,0.3,0.1,-
109,Marshall Munetsi,1.3,2.1,1.1,0.4,3.1,0.7,0.9,-
110,Samuel Kalu,1.1,0.5,0.8,0.1,0.1,0.5,-,-
111,Djibril Sidibé,1.9,1.7,1.1,0.2,1.2,0.5,0.2,-
112,Boubakary Soumaré,1.4,1.2,0.7,-,0.7,0.5,0.2,-
113,Paul Baysse,1.1,1.7,0.7,0.5,3.9,0.2,0.8,-
114,Ghislain Konan,1.8,1,0.8,0.2,1.8,0.8,0.4,-
115,Xavier Chavalerin,3.1,1.4,1.3,-,0.9,1.6,0.3,-
116,Anthony Caci,2.4,1.7,1,0.2,1.4,1,0.1,-
117,Renaud Ripart,1.4,0.9,0.8,-,1.2,1.5,0.3,-
118,Hiroki Sakai,2.8,1.9,1.4,0.2,1.9,0.4,0.2,-
119,Danilo Pereira,0.9,1.3,0.6,0.1,1.4,0.3,0.3,-
120,Bruno Ecuele Manga,1.4,1.5,0.4,0.7,4.3,0.3,0.9,-
121,Junior Sambia,1.1,1.1,0.6,0.1,1.1,0.3,0.4,-
122,Nathanaël Mbuku,1,0.4,0.8,-,0.2,0.6,-,-
123,Julian Draxler,0.5,0.6,0.3,-,-,0.6,-,-
124,Steven Nzonzi,1,0.5,1.1,-,0.7,0.6,0.3,-
125,Sacha Boey,2.3,1.7,1.5,0.2,2.2,1.2,0.2,-
126,Moses Simon,0.8,0.5,0.5,-,0.4,0.6,-,-
127,Glody Ngonda,2,2.4,1.2,0.3,1.7,0.7,0.1,-
128,Mohamed Simakan,1.7,1.6,1.2,0.4,1.8,0.5,0.6,-
129,Pablo Sarabia,0.6,0.2,0.2,-,0.3,1,-,-
130,Youssouf Sabaly,1.4,1.5,1,0.2,1.2,0.5,0.2,-
131,Seko Fofana,0.5,1.1,0.7,-,0.5,0.7,0.2,-
132,Morgan Schneiderlin,1.8,1.9,1.5,-,1.6,1.2,0.4,-
133,Abdou Diallo,0.7,1.1,0.8,0.3,1.5,0.2,0.4,-
134,Thomas Mangani,1.5,1.1,0.5,-,1.1,1.7,0.2,-
135,Ronaël Pierre-Gabriel,2,1,0.9,0.2,1.8,0.6,0.2,-
136,Thomas Delaine,1.3,1,0.9,-,1,0.6,0.2,-
137,Duje Caleta-Car,0.9,1.3,0.9,0.7,3.9,0.4,0.7,-
138,Wout Faes,1.1,2.1,0.7,0.2,4.3,0.6,0.9,-
139,Leandro Paredes,1.4,0.8,1.1,-,0.6,1,0.2,-
