,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Kylian Mbappé,28,17,4.2,3.2,1.5,1.1,1.6,1.6
1,Lionel Messi,6,14,3.4,2.5,1.3,0.4,1.6,1.6
2,Neymar,13,6,2.5,2.6,3.2,0.5,3,3
3,Benjamin Bourigeaud,11,12,1.3,0.2,0.2,0.1,0.5,0.5
4,Dimitri Payet,12,10,2.2,0.9,1.4,0.1,1.1,1.1
5,Martin Terrier,21,3,2.4,0.8,1.1,0.2,0.6,0.6
6,Téji Savanier,8,7,2.8,2.6,2.7,0.1,1.2,1.2
7,Aurélien Tchouaméni,3,2,1.6,1.1,1.7,0.1,0.9,0.9
8,Sofiane Boufal,8,4,2.2,3.1,2.8,0.5,2.6,2.6
9,Lucas Paquetá,9,6,2.5,2.3,1.8,0.2,2.2,2.2
10,Jonathan Clauss,5,11,1.1,0.8,0.4,0.1,0.4,0.4
11,Marco Verratti,2,2,0.3,1.9,2,-,0.9,0.9
12,Bruno Guimarães,-,3,0.6,1.9,3,0.1,1.4,1.4
13,Moussa Dembélé,21,4,2.9,0.8,0.6,0.3,1.5,1.5
14,Romain Faivre,7,5,1.8,2,1.3,-,1.5,1.5
15,Ángel Di María,5,7,2,1.2,0.5,0.3,0.6,0.6
16,Karl Toko-Ekambi,12,5,2.5,1.5,0.5,0.3,1.3,1.3
17,Gaëtan Laborde,12,8,2.5,0.3,0.6,0.6,0.6,0.6
18,Andrei Girotto,6,1,1.3,0.2,0.8,-,0.1,0.1
19,Franck Honorat,11,4,1.8,1.1,0.6,0.1,0.9,0.9
20,Andy Delort,16,2,3.1,0.6,1.3,0.5,0.8,0.8
21,Lovro Majer,6,8,1.6,1,1.1,-,0.9,0.9
22,Ludovic Ajorque,12,8,1.6,0.4,1,0.4,1,1
23,Wissam Ben Yedder,25,5,1.9,0.7,0.6,0.6,1.2,1.2
24,Kiki Kouyaté,1,-,0.7,0.2,0.9,0.2,0.2,0.2
25,Frédéric Guilbert,-,4,0.7,1,0.7,0.1,0.6,0.6
26,Amine Gouiri,10,9,2,1.6,0.9,0.2,1.5,1.5
27,Moses Simon,6,8,1.4,1.4,0.9,0.1,1.7,1.7
28,Randal Kolo Muani,12,4,1.5,1.7,2,0.5,2,2
29,Hamari Traoré,3,10,0.9,0.3,0.7,0.3,0.2,0.2
30,Kamaldeen Sulemana,4,2,1.3,2.7,0.7,0.2,1.3,1.3
31,Benjamin André,2,1,0.5,0.6,1.7,0.1,0.8,0.8
32,Jimmy Cabot,-,4,0.5,1.9,1.3,-,0.9,0.9
33,Florian Sotoca,6,4,2,0.9,1,0.2,0.7,0.7
34,Florian Tardieu,4,2,0.8,0.7,1.2,-,0.6,0.6
35,Marshall Munetsi,5,1,1.3,0.3,0.9,0.1,0.4,0.4
36,Adrien Thomasson,8,4,1.5,1,1.1,0.1,1.1,1.1
37,Seko Fofana,8,1,2.6,2.1,1.2,0.1,1.3,1.3
38,Ludovic Blas,10,5,2.6,1.7,1.6,0.1,2.3,2.3
39,Cheick Doucouré,1,4,0.9,0.7,0.7,-,0.9,0.9
40,Houssem Aouar,6,4,2.1,1.9,1.1,0.1,1.4,1.4
41,Jonas Omlin,-,-,-,-,0.1,-,-,-
42,Danilo Pereira,5,-,0.7,0.3,0.9,-,0.2,0.2
43,Achraf Hakimi,4,6,0.6,0.7,0.4,0.2,0.4,0.4
44,Fabien Centonze,4,1,0.8,1.5,1.6,-,0.7,0.7
45,Emerson,1,2,0.6,1,0.8,-,0.2,0.2
46,Boubacar Kamara,1,-,0.6,0.5,1.2,-,0.4,0.4
47,Sofiane Diop,6,4,1.2,1.5,1.4,0.1,1.1,1.1
48,Flavien Tait,5,3,1.5,1,1.7,0.1,1.1,1.1
49,Steve Mounié,9,2,2.1,0.2,0.8,0.3,0.6,0.6
50,Melvin Bard,2,2,0.2,0.7,0.9,-,0.5,0.5
51,Gerson,9,4,1.3,0.9,1.9,0.1,0.9,0.9
52,Nayef Aguerd,2,2,0.8,0.2,0.5,-,0.1,0.1
53,Dénis Bouanga,9,6,2.5,1.6,1.4,0.1,1.9,1.9
54,William Saliba,-,-,0.5,0.9,0.3,-,0.4,0.4
55,Mattéo Guendouzi,4,6,1.3,0.8,1.8,-,1.2,1.2
56,Jean-Clair Todibo,1,-,0.5,0.4,0.3,-,0.2,0.2
57,Brendan Chardonnet,3,-,0.4,-,0.8,-,-,-
58,Idrissa Gueye,3,1,0.9,0.8,0.6,-,0.6,0.6
59,Marquinhos,5,-,0.7,0.1,0.3,-,0.1,0.1
60,Valentin Rongier,-,1,0.9,0.9,0.9,-,0.5,0.5
61,Predrag Rajkovic,-,-,-,-,0.2,-,-,-
62,Renato Sanches,2,5,0.9,1.7,1.1,-,1.2,1.2
63,Azor Matusiwa,1,1,0.3,0.5,1,-,0.3,0.3
64,Jonathan Gradit,-,-,0.1,0.5,1.1,-,0.3,0.3
65,Ruben Aguilar,-,2,0.4,0.2,1,-,0.2,0.2
66,Ander Herrera,3,2,0.7,0.3,0.3,0.2,0.3,0.3
67,Hugo Ekitike,10,3,1.3,1,1.3,0.5,0.9,0.9
68,Julien Laporte,2,-,0.5,0.2,0.8,-,0.1,0.1
69,Mohamed Bayo,14,5,2.1,0.9,0.2,0.4,1.2,1.2
70,Ghislain Konan,1,3,0.7,1.4,1.2,0.1,0.7,0.7
71,Sven Botman,3,1,0.6,0.2,0.5,-,0.1,0.1
72,Baptiste Santamaría,2,1,1,0.5,0.6,-,0.5,0.5
73,Cengiz Ünder,10,2,1.8,0.8,1,0.4,0.8,0.8
74,Jean Onana,3,2,0.9,0.7,1.6,-,0.9,0.9
75,Aleksandr Golovin,3,4,0.9,0.8,0.8,0.1,0.8,0.8
76,Angelo Fulgini,5,4,1.6,1.4,2.3,0.1,1.5,1.5
77,Nicolas de Préville,5,2,1.5,1.7,2,0.3,1.9,1.9
78,Rominigue Kouamé,1,2,1.1,1.9,1.9,-,0.9,0.9
79,Luan Peres,-,2,0.1,0.4,0.5,-,0.4,0.4
80,Ronaël Pierre-Gabriel,-,1,0.2,1.1,1,0.1,0.7,0.7
81,Justin Kluivert,4,5,1.1,1.5,1,0.2,1.3,1.3
82,Mario Lemina,2,-,0.5,0.8,0.7,-,0.4,0.4
83,Ryad Boudebouz,3,4,0.9,1.8,1,-,1.4,1.4
84,Kevin Volland,9,9,1.5,0.5,0.8,0.5,1,1
85,Ibrahima Sissoko,2,5,0.7,0.7,0.8,-,0.9,0.9
86,Walter Benítez,-,-,-,-,0.2,-,-,-
87,Romain Thomas,2,-,0.5,0.1,0.6,-,0.2,0.2
88,Keylor Navas,-,-,-,-,-,-,-,-
89,Laurent Abergel,-,3,0.9,1.1,2,-,1.2,1.2
90,Sanjin Prcic,1,-,1.4,0.3,0.3,-,0.3,0.3
91,Mahdi Camara,3,-,0.8,1,1.3,-,0.9,0.9
92,Alban Lafont,-,-,-,-,0.1,-,-,-
93,Kevin Danso,2,2,0.4,0.2,1.1,-,0.1,0.1
94,Castello Lukeba,2,-,0.3,0.5,0.5,-,0.3,0.3
95,Benoît Badiashile,1,-,0.6,0.1,0.4,0.1,0.2,0.2
96,Giulian Biancone,1,2,0.8,0.4,1,0.1,0.3,0.3
97,Gelson Martins,4,3,0.9,1.9,1,0.5,0.7,0.7
98,Presnel Kimpembe,1,-,0.2,0.3,0.9,-,0.2,0.2
99,Quentin Merlin,2,3,0.4,0.6,0.1,-,0.4,0.4
100,Wout Faes,4,-,0.6,0.2,0.6,-,0.1,0.1
101,Yunis Abdelhamid,2,-,0.5,0.4,0.7,-,0.4,0.4
102,Dimitri Liénard,2,3,0.7,0.3,0.8,0.1,0.3,0.3
103,Przemyslaw Frankowski,6,5,0.9,0.4,0.2,0.1,0.5,0.5
104,Alexander Djiku,1,-,0.5,0.2,0.9,0.1,0.2,0.2
