,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,30.7,80.7,0.2,0.2,-
1,Andy Delort,26.3,62.5,1,1.1,-
2,Memphis Depay,29.9,76.1,1.3,1.1,0.1
3,Ángel Di María,36.8,81.2,1.8,2.1,0.3
4,Karl Toko-Ekambi,25.9,80.3,0.3,0.7,0.1
5,Benjamin André,57.7,84.1,0.1,2.3,-
6,Téji Savanier,40,74.4,2,4.7,-
7,Gaëtan Laborde,22,67,0.3,0.3,-
8,Marco Verratti,84,91.7,0.1,2.6,-
9,Fabien Centonze,37.8,79.5,0.6,1,0.1
10,Ludovic Ajorque,25.6,68.3,0.1,1.2,-
11,Farid Boulaya,41.4,74.4,1.4,3.5,0.1
12,Lucas Paquetá,40.9,81,0.1,1.6,0.1
13,Zinedine Ferhat,33,71,0.8,1.6,0.1
14,Romain Faivre,36.6,84.8,1.2,1.5,-
15,Aleksandr Golovin,22.5,76.5,1.5,0.5,0.2
16,Steve Mounié,20.9,58,0.1,0.5,-
17,Aurélien Tchouaméni,50.7,82.8,0.1,2.6,-
18,Burak Yilmaz,17.9,77.6,-,0.2,-
19,Angelo Fulgini,45.7,83.2,0.9,2.1,0.2
20,Amine Gouiri,30.9,79.6,0.5,0.9,0.1
21,Kiki Kouyaté,34.9,80.8,-,1.4,-
22,Jérémy Doku,30.1,83.4,0.5,0.6,-
23,Jonathan Bamba,38.6,82.6,1.1,1.3,-
24,Kevin Volland,21.6,67.8,0.2,0.5,0.1
25,Wissam Ben Yedder,23.4,74.2,0.1,0.6,0.1
26,Ludovic Blas,25.9,80.7,0.2,1.3,0.1
27,José Fonte,65.7,90.4,0.1,4.1,-
28,Reinildo,44.1,81.3,0.7,1.3,-
29,Marquinhos,69.2,93,-,4.2,-
30,Rafinha,50.1,90.9,0.3,1.3,0.1
31,Mahdi Camara,42.9,86.4,0.3,1.9,-
32,Léo Dubois,47.2,83,1.7,1.9,-
33,Zeki Çelik,45.2,78.6,0.4,2,-
34,Sven Botman,70,86.5,-,3.8,-
35,Florian Thauvin,32.8,79.1,1.2,1.6,0.1
36,Mathieu Debuchy,33.8,72.6,0.8,1.7,-
37,Marcelo,60.6,88.2,-,3.9,-
38,Massadio Haïdara,41.3,82.2,0.4,2.2,-
39,Moise Kean,11.6,78.8,0.1,0.3,-
40,Sofiane Diop,29.2,80.6,0.3,1,-
41,Loïc Badé,63,85.5,0.1,3.6,-
42,Tino Kadewere,17.9,75.2,0.2,0.4,-
43,Boubacar Kamara,58,86.7,-,3,-
44,Nayef Aguerd,77.4,90.4,-,3.7,-
45,Valentin Rongier,52.7,86.3,0.1,1.7,-
46,Laurent Koscielny,51.1,90.1,-,3.8,-
47,Brendan Chardonnet,50.6,82.6,-,4.9,-
48,Dimitri Payet,36.5,78.9,1.4,1.5,0.1
49,Serhou Guirassy,18,76.1,-,0.8,-
50,Randal Kolo Muani,16,67.3,0.1,0.2,0.1
51,Pol Lirola,32.3,78.3,0.7,1.7,-
52,Keylor Navas,21.6,85.6,-,3.2,-
53,Yunis Abdelhamid,53.2,85.7,-,2.4,-
54,Hatem Ben Arfa,33.1,85.6,0.9,1.6,0.2
55,Habib Maïga,44.7,82.7,0.1,2.4,-
56,Hamari Traoré,56.5,86,0.7,2.3,-
57,Alexander Djiku,44.6,84.5,-,3.8,-
58,Jonathan Clauss,28.8,77.2,1.4,1.3,-
59,Gelson Martins,25.8,85.3,0.3,0.4,-
60,Martin Terrier,22.9,80.1,0.1,0.6,-
61,Armand Laurienté,16.4,83.8,0.9,0.4,-
62,Cheick Doucouré,43.8,86.6,-,2.8,-
63,Yoane Wissa,18.8,76.4,0.1,0.4,0.1
64,Maxwel Cornet,38.7,80.8,0.4,1.6,-
65,Luiz Araújo,20.3,78,0.1,1.2,-
66,Benjamin Bourigeaud,44.9,82.1,1.8,3.1,-
67,Idrissa Gueye,60.1,92.6,0.1,1.6,-
68,Florian Sotoca,26.5,73.6,0.2,1.4,-
69,Franck Honorat,23.1,72.1,1.7,0.8,0.1
70,Ruben Aguilar,38.7,85.4,1,1.3,-
71,Romain Perraud,43,79.9,1.1,2.3,-
72,Gaël Kakuta,29.4,76.5,0.8,1,0.1
73,Hassane Kamara,44.2,84.7,0.6,1.9,-
74,Mauro Icardi,8.9,79.2,-,0.2,-
75,Houssem Aouar,32,86,-,1,-
76,Alessandro Florenzi,39.7,83.7,1.2,1.5,-
77,Mitchel Bakker,45,90.4,0.4,0.6,-
78,Jonathan David,15.2,77.4,0.1,0.1,-
