,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kylian Mbappé,PSG,25," AM(CLR),FW",24(5),2344,33,7,5,1,4.3,79.4,0.1,9,8.00
1,Téji Savanier,Nimes,32, M(C),32,2866,6,14,7,1,2.1,71.4,1.6,8,7.89
2,Nicolas Pépé,Lille,28," AM(CLR),FW",37(1),3332,22,11,1,-,3.1,79.1,1.2,13,7.62
3,Ángel Di María,PSG,36," M(CLR),FW",28(2),2339,12,11,2,-,3.2,78.8,-,2,7.52
4,Youcef Atal,Nice,27," D(R),M(R)",25(4),2261,6,-,8,-,1.2,83.6,1.6,8,7.48
5,Edinson Cavani,PSG,37," AM(LR),FW",20(1),1676,18,5,1,-,2.5,76.3,0.2,2,7.44
6,Hatem Ben Arfa,Rennes,37," M(CR),FW",23(3),2037,7,2,1,-,2.1,85.2,0.2,5,7.35
7,Memphis Depay,Lyon,30," AM(CL),FW",29(7),2737,10,10,5,-,3.1,80.1,0.3,3,7.34
8,Nabil Fekir,Lyon,30," AM(CLR),FW",24(5),1991,9,7,5,-,3.1,85.2,0.5,5,7.31
9,Flavien Tait,Angers,31, M(CLR),34(2),2995,5,7,2,-,2.4,78.8,0.3,4,7.30
10,Andy Delort,Montpellier,32," AM(R),FW",36,3132,14,7,4,-,3.3,63.9,3.7,3,7.27
11,Thiago Mendes,Lille,32," D(CR),M(CR)",35,3082,-,5,10,-,0.9,84.8,0.7,3,7.27
12,Wahbi Khazri,Saint-Etienne,33," M(CLR),FW",32,2825,13,6,10,1,2.9,74.5,0.5,6,7.25
13,Marcelo,Lyon,36, D(C),33,2880,-,1,6,-,0.8,87.8,5.2,-,7.25
14,Marquinhos,PSG,29," D(CR),DMC",30,2695,3,1,2,1,0.4,91.9,2.3,-,7.24
15,Allan Saint-Maximin,Nice,27," AM(CLR),FW",34,2914,6,3,2,-,2.2,76,0.9,5,7.21
16,Florian Thauvin,Marseille,31," M(CLR),FW",30(3),2625,16,8,5,1,3.1,76.9,0.6,5,7.19
17,Benjamin André,Rennes,33," D(R),M(CLR)",28(2),2502,3,1,7,1,0.9,79.2,4.9,1,7.18
18,Max Gradel,Toulouse,36," M(CLR),FW",36,3240,11,5,6,-,3.3,74.2,1.3,3,7.14
19,Lucas Ocampos,Marseille,29," M(CLR),FW",31(3),2715,4,7,11,-,1.8,78,1.1,1,7.14
20,Ruben Aguilar,Montpellier,31," D(R),M(R)",29,2531,1,4,8,-,0.4,83.5,1,2,7.13
21,Rémy Cabella,Saint-Etienne,34," M(CLR),FW",34,3000,8,4,4,1,2.4,86.5,0.5,4,7.13
22,Youssouf Koné,Lille,28," D(CL),M(L)",19(1),1711,-,1,3,-,0.3,83.2,0.7,2,7.13
23,Mathieu Debuchy,Saint-Etienne,38," D(CR),M(R)",23(1),1948,4,3,4,1,0.6,73.1,4,2,7.12
24,Kenny Lala,Strasbourg,32," D(LR),M(R)",34,3060,5,9,4,-,0.7,80.5,0.8,3,7.11
25,Valentin Rongier,Nantes,29," D(R),M(C)",36,3228,4,5,3,-,2,82.7,1,2,7.10
26,Ferland Mendy,Lyon,28," D(L),M(L)",27(3),2529,2,1,2,-,0.8,84.5,1.6,-,7.09
27,Hiroki Sakai,Marseille,34," D(CLR),M(R)",26(1),2373,1,4,3,-,0.2,81.6,3.1,1,7.09
28,Christophe Hérelle,Nice,31, D(CR),33,2938,-,-,9,1,0.5,88.7,3.1,-,7.07
29,Marco Verratti,PSG,31, M(C),23(3),1887,-,2,7,-,0.1,90.9,0.2,1,7.07
30,Thomas Meunier,PSG,32," D(R),M(R)",19(3),1615,3,3,2,-,0.9,84.5,1.5,1,7.07
31,Thiago Silva,PSG,39, D(C),24(1),2079,-,1,4,-,0.5,94.2,2,-,7.06
32,Ibrahim Sangaré,Toulouse,26, DMC,27(1),2466,1,3,7,-,1.3,79.6,1.4,3,7.06
33,Houssem Aouar,Lyon,25, M(CL),35(2),3069,7,7,2,-,1.9,86.7,0.5,3,7.05
34,Walter Benítez,Nice,31, GK,35,3150,-,-,1,-,-,75.2,0.4,7,7.05
35,Florent Mollet,Montpellier,32, AM(CLR),31(1),2580,6,4,5,1,2.6,87.3,0.5,3,7.05
36,Nicolas Pallois,Nantes,36, D(C),24,2160,2,-,8,-,0.8,77.1,2.1,1,7.04
37,Gaëtan Laborde,Montpellier,30," AM(CLR),FW",35(1),2916,11,4,1,1,2.4,67.4,2.9,3,7.04
38,Renaud Ripart,Nimes,31," D(R),M(CLR),FW",34(4),3009,8,4,2,-,1.8,73.3,2.6,3,7.03
39,Dani Alves,PSG,40," D(R),M(CR)",19(4),1625,1,7,4,-,1.2,85.6,0.6,-,7.02
40,Julian Draxler,PSG,30," AM(CLR),FW",22(9),2046,3,7,6,-,1,89.8,0.6,3,7.02
41,Jonathan Bamba,Lille,28," AM(CLR),FW",35(3),3011,13,3,4,-,1.8,79.6,0.7,3,7.02
42,Ghislain Konan,Reims,28," D(L),M(L)",20,1800,-,1,-,-,0.1,77.5,1.2,-,7.02
43,Naïm Sliti,Dijon,31, AM(CL),25(10),2290,3,4,2,-,1.8,76.8,0.3,2,7.01
44,Léo Dubois,Lyon,29," D(LR),M(R)",21(4),2044,1,6,2,-,0.7,85.6,1.2,1,7.01
45,Emiliano Sala,Nantes,33, FW,16(3),1377,12,2,-,-,1.9,64.2,2.3,2,7.00
46,Marcus Thuram,Guingamp,26," AM(L),FW",32,2583,9,1,4,2,1.9,73.2,3.5,3,7.00
