,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Eric Wattellier,25,19.8,0.51,0.44,2.44,61,0.12,3
1,Willy Delajod,24,27.79,0.82,0.38,2.92,70,0.25,6
2,Jeremy Stinat,24,26.79,0.72,0.33,3.46,83,0.21,5
3,Benoît Millot,23,25.91,0.68,0.26,3.35,77,0.22,5
4,Ruddy Buquet,22,24.36,0.7,0.5,3.82,84,0.5,11
5,Bastien Dechepy,22,24.27,0.7,0.27,3.05,67,0.27,6
6,Thomas Leonard,21,23.86,0.7,0.57,3.0,63,0.38,8
7,Benoît Bastien,21,26.95,0.79,0.43,3.81,80,0.19,4
8,Clément Turpin,21,23.33,0.63,0.05,2.57,54,0.29,6
9,Jerome Brisard,20,25.0,0.71,0.25,3.25,65,0.15,3
10,Stéphanie Frappart,20,24.9,0.78,0.25,3.45,69,0.25,5
11,Jeremie Pignard,20,22.1,0.58,0.75,3.85,77,0.35,7
12,François Letexier,19,24.53,0.6,0.42,3.84,73,0.16,3
13,Pierre Gaillouste,19,24.63,0.81,0.11,3.11,59,0.37,7
14,Marc Bollengier,19,26.32,0.78,0.47,2.74,52,0.21,4
15,Florent Batta,18,26.72,0.79,0.44,2.61,47,0.11,2
16,Mathieu Vernice,16,28.38,0.85,0.5,3.13,50,0.56,9
17,Hakim Ben El Hadj,15,23.73,0.65,0.2,3.8,57,0.2,3
18,Johan Hamel,8,21.13,0.55,0.63,2.88,23,0.25,2
19,Karim Abed,1,19.0,0.68,0.0,2.0,2,0.0,0
20,Gustavo Correia,1,24.0,0.62,2.0,3.0,3,0.0,0
21,M.B. Nogueira,1,30.0,0.67,0.0,4.0,4,1.0,1
