,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Monaco,11,19.6,11.2,13.1,2.5
1,Metz,14.8,18.7,13.3,13.5,1.3
2,Lorient,12.2,18.3,10.8,12.5,1.4
3,Saint-Etienne,12.1,18.3,11.9,12.2,1.3
4,Nantes,12.5,18,10.9,13.2,1.4
5,Brest,13,17.9,12.3,11.2,1.2
6,Strasbourg,10.9,17.4,11.4,13.1,1.6
7,Lille,11.8,17.2,9.9,11.7,2.3
8,Bordeaux,13.7,16.9,11.9,12.1,1.5
9,Troyes,12.2,16.7,11.3,11.6,1.4
10,Lyon,12.2,16.6,10.4,11.5,1.6
11,Montpellier,15.8,16.4,9.4,10.8,1.4
12,Clermont Foot,11.6,16.4,10.2,10.2,1.4
13,Angers,11.3,16.3,11.1,12.4,1.2
14,Reims,13.5,16.2,13,11.8,2
15,Nice,11.4,16.1,11.6,12,1.4
16,Paris Saint-Germain,10.8,16,8,9.4,2.4
17,Lens,10.9,15.6,12,11.1,1.5
18,Marseille,8.7,14.6,8.6,9.1,1.6
19,Rennes,9.4,14.4,8.3,11.4,1.6
