,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,14.8,5.7,12.9,10.9
1,Lyon,14.6,5.4,12.8,11.2
2,Rennes,14.5,5.3,7.6,9.9
3,Lens,13.6,5.1,9.1,9.4
4,Marseille,13.1,4.4,8.1,12.1
5,Strasbourg,12.6,4.2,7.2,10.5
6,Lille,12.3,4.1,8.2,11.6
7,Monaco,11.9,4.4,9.6,10.7
8,Nice,11.9,4,10.2,9.8
9,Bordeaux,11.8,4,9.3,10.3
10,Lorient,11.7,3.9,8.1,11.1
11,Saint-Etienne,11.6,4,10.4,11.6
12,Clermont Foot,11.5,3.6,8.6,12.7
13,Montpellier,11.5,4.2,8.3,12.2
14,Nantes,11.2,4.1,8.8,9.8
15,Brest,10.6,3.9,8.3,11
16,Reims,10.4,3.8,8.7,11.9
17,Angers,10.3,3.6,10.5,12.1
18,Troyes,10.2,3.4,8.4,12.4
19,Metz,9.8,3.1,8.8,11
