,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Paris Saint-Germain,105,14.8,64,4,60.4,88.9,11,7.05
1,Lyon,70,17.7,53,3,58.2,85.9,16.6,6.91
2,Lille,68,13.1,70,4,51.1,81.1,15.4,6.84
3,Montpellier,53,13.4,59,4,48.3,78.5,20.3,6.81
4,Saint-Etienne,59,13.1,59,7,30.6,81.1,16.6,6.78
5,Marseille,60,13.9,82,8,53.5,82.4,18.9,6.78
6,Nice,30,11.6,71,5,54.6,86.0,14.3,6.76
7,Nimes,57,13.7,68,5,46.7,74.4,19.2,6.75
8,Strasbourg,58,10.6,69,4,49.8,80.5,17.3,6.73
9,Rennes,55,12.4,66,3,50.7,81.2,17.1,6.73
10,Reims,39,10.7,67,2,45.1,75.9,17.9,6.72
11,Nantes,48,13.6,70,6,49.8,76.7,21.2,6.71
12,Angers,44,11.9,49,4,19.2,79.2,16.8,6.70
13,Bordeaux,34,11.2,75,5,22.3,80.3,18.1,6.67
14,Toulouse,35,11.4,73,5,48.7,77.8,19.7,6.62
15,Monaco,38,12.3,89,7,49.7,80.5,16.8,6.61
16,Caen,29,8.8,75,6,45.8,76.4,21.1,6.59
17,Dijon,31,12,71,7,48.3,78.2,19.2,6.59
18,Amiens,31,10.2,56,6,47.3,75.9,19.5,6.57
19,Guingamp,28,10.9,58,5,45.4,75.2,21.3,6.55
