,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,P,W,D,L,GF,GA,GD,Pts
0,Napoli,77,16.2,47,1,62.1,87.8,12.8,6.81,9.6,15.0,7.6,10.2,1.6,16.2,5.9,8.9,12.3,38,28,6,4,77,28,49,90
1,Lazio,60,11.5,87,2,52.2,85.4,10.7,6.74,12.2,15.3,8.2,10.5,1.4,11.5,4.5,7.5,12.4,38,22,8,8,60,30,30,74
2,Inter,71,16.6,62,3,55.7,85.6,13.3,6.71,11.2,15.1,8.3,11.7,1.8,16.6,5.4,5.8,10.7,38,23,3,12,71,42,29,72
3,Juventus,56,14.1,72,6,49.4,83.6,12.8,6.71,12.3,15.6,8.1,12.0,1.6,14.1,4.7,7.7,10.8,38,22,6,10,56,33,23,62
4,AC Milan,64,14.5,86,2,55.6,82.6,14.8,6.7,10.7,18.2,7.6,11.8,1.6,14.5,4.9,9.7,11.5,38,20,10,8,64,43,21,70
5,Atalanta,66,13.5,81,3,49.9,80.6,15.2,6.67,11.8,16.7,11.1,12.4,1.5,13.5,4.7,9.0,10.1,38,19,7,12,66,48,18,64
6,Roma,50,13.1,78,4,48.1,81.3,14.4,6.64,10.4,16.4,9.7,11.7,1.5,13.1,4.4,7.3,13.3,38,18,9,11,50,38,12,63
7,Bologna,53,12.8,81,3,55.0,83.0,9.8,6.6,12.7,17.0,7.9,12.6,2.0,12.8,4.2,7.2,11.2,38,14,12,12,53,49,4,54
8,Fiorentina,53,15.9,89,3,56.4,82.3,15.5,6.6,9.1,15.3,6.8,12.8,1.5,15.9,4.9,8.5,13.4,38,15,11,12,53,43,10,56
9,Udinese,47,13.3,86,3,47.5,81.8,12.7,6.58,12.3,17.1,8.3,12.6,1.3,13.3,4.0,8.7,12.5,38,11,13,14,47,48,-1,46
10,Torino,42,11.7,81,0,53.3,81.1,15.6,6.57,11.4,12.4,7.7,13.3,2.1,11.7,3.9,8.1,10.1,38,14,11,13,42,41,1,53
11,Monza,48,10.8,88,4,55.6,84.6,11.8,6.55,12.8,15.7,8.8,12.9,1.8,10.8,3.8,7.4,13.0,38,14,10,14,48,52,-4,52
12,Empoli,37,11.8,82,7,47.1,80.3,11.5,6.53,16.1,15.9,7.4,11.6,1.4,11.8,3.4,8.2,12.1,38,10,13,15,37,49,-12,43
13,Salernitana,48,10.1,84,4,44.6,78.7,14.0,6.51,15.6,15.4,8.7,12.4,1.8,10.1,3.1,6.9,11.6,38,9,15,14,48,62,-14,42
14,Lecce,33,11.0,85,2,40.8,72.4,14.9,6.49,11.8,18.6,9.7,14.6,1.8,11.0,3.0,6.3,11.6,38,8,12,18,33,46,-13,36
15,Sassuolo,47,12.8,84,6,49.1,82.5,9.9,6.48,12.7,13.2,7.3,10.7,1.1,12.8,4.5,7.9,11.7,38,12,9,17,47,61,-14,45
16,Verona,31,10.9,104,3,40.5,70.7,21.4,6.47,14.2,15.9,8.9,14.2,2.0,10.9,3.2,7.2,10.1,38,7,10,21,31,59,-28,31
17,Cremonese,36,12.2,81,3,41.4,75.0,14.8,6.47,15.3,18.5,10.3,12.1,1.8,12.2,3.5,6.3,10.7,38,5,12,21,36,69,-33,27
18,Spezia,31,11.1,95,6,46.9,77.1,14.1,6.43,15.8,16.4,7.9,13.7,1.4,11.1,3.3,7.3,10.0,38,6,13,19,31,62,-31,31
19,Sampdoria,24,9.9,104,3,45.6,78.2,16.4,6.41,15.8,15.5,8.3,13.3,1.4,9.9,3.1,6.8,13.5,38,3,10,25,24,71,-47,19
