,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Victor Osimhen,Napoli,25, FW,30(2),2583,26,4,4,-,4.2,71.0,2.1,5,7.45,0.3,0.2,1.3,-,0.9,0.2,-,-,0.8,1.2,1,1.5,1.5,11.6,71.0,0.1,0.3,-
1,Khvicha Kvaratskhelia,Napoli,23," AM(CLR),FW",30(4),2541,12,10,1,-,2.5,83.7,0.2,7,7.43,1.3,0.1,0.6,-,0.2,0.8,-,-,2.2,1.3,0.2,1.4,1.4,30.5,83.7,0.4,1.3,0.2
2,Sergej Milinkovic-Savic,Lazio,29, AM(C),34(2),3030,9,8,10,-,1.8,77.1,2.7,6,7.24,1.6,0.8,1.3,-,1.3,1.2,0.3,-,1.1,2,0.1,1.8,1.8,52.2,77.1,0.1,2.2,0.2
3,Paulo Dybala,Roma,30," AM(CR),FW",22(4),1752,12,6,5,-,2.5,82.3,0.2,6,7.2,0.5,0.3,0.4,-,0.1,0.7,-,-,1,2.2,0.2,1.2,1.2,28.4,82.3,1.3,2.2,0.1
4,Rafael Leão,AC Milan,24," AM(CL),FW",28(7),2434,15,8,5,1,2.6,74.4,0.8,8,7.19,0.2,0.4,0.6,-,0.2,0.2,0.1,-,2.2,0.9,0.3,1.1,1.1,21.2,74.4,0.5,1.3,0.1
5,Lautaro Martínez,Inter,26, FW,27(11),2577,21,6,3,-,3.3,75.6,1.1,8,7.18,0.7,0.3,1.2,-,0.4,0.4,-,-,0.8,1.7,0.3,1.3,1.3,17.3,75.6,-,0.6,0.1
6,Mattia Zaccagni,Lazio,28," AM(CL),FW",33(2),2783,10,6,9,-,1.6,84.5,0.4,5,7.16,1.2,0.6,1.5,-,0.2,0.7,0.1,-,1.7,3.3,0.1,1,1,27.9,84.5,0.2,0.4,-
7,Domenico Berardi,Sassuolo,29," AM(R),FW",22(4),1872,12,7,7,-,3.2,71.1,0.5,6,7.15,0.9,0.7,1.3,-,0.6,1.2,-,-,0.8,1.9,0.3,0.9,0.9,31.2,71.1,1,3.1,0.1
8,Armand Laurienté,Sassuolo,25," AM(LR),FW",27(1),2191,7,6,8,1,2,79.2,-,4,7.11,0.8,0.4,0.8,-,0.1,0.5,-,-,2.3,1.5,0.3,1.9,1.9,24.6,79.2,0.7,0.5,0.1
9,Adrien Rabiot,Juventus,29," DMC,M(L)",31(1),2751,8,4,9,-,1.5,83.6,1.6,3,7.11,2,0.8,1.4,-,1.2,0.8,0.2,-,0.8,1.3,0.1,1.1,1.1,35.5,83.6,0.2,1.5,0.1
