,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Victor Osimhen,0.3,0.2,1.3,-,0.9,0.2,-,-
1,Khvicha Kvaratskhelia,1.3,0.1,0.6,-,0.2,0.8,-,-
2,Sergej Milinkovic-Savic,1.6,0.8,1.3,-,1.3,1.2,0.3,-
3,Paulo Dybala,0.5,0.3,0.4,-,0.1,0.7,-,-
4,Rafael Leão,0.2,0.4,0.6,-,0.2,0.2,0.1,-
5,Lautaro Martínez,0.7,0.3,1.2,-,0.4,0.4,-,-
6,Mattia Zaccagni,1.2,0.6,1.5,-,0.2,0.7,0.1,-
7,Domenico Berardi,0.9,0.7,1.3,-,0.6,1.2,-,-
8,Armand Laurienté,0.8,0.4,0.8,-,0.1,0.5,-,-
9,Adrien Rabiot,2,0.8,1.4,-,1.2,0.8,0.2,-
10,Teun Koopmeiners,1.4,0.6,1.5,0.1,1,0.8,0.2,-
11,Felipe Anderson,2.1,0.8,1.1,-,0.6,1.4,0.2,-
12,Lorenzo Pellegrini,1.6,0.8,0.8,-,0.6,0.8,0.1,-
13,Mário Rui,1.5,0.7,0.9,0.1,0.8,1,0.2,-
14,Lucas Martínez,3,1.8,0.8,0.5,2.8,0.7,0.7,-
15,Hakan Çalhanoglu,1.5,0.8,1.4,-,0.2,0.8,0.2,-
16,Kim Min-Jae,1.6,1.2,0.9,0.6,3.5,0.1,0.7,-
17,Giovanni Di Lorenzo,1.6,0.8,0.8,0.2,1.4,0.6,0.2,-
18,Danilo,2.5,1.3,0.9,0.2,3,0.6,0.5,-
19,Frank Anguissa,1.5,1.4,1.2,-,0.7,1.3,0.1,-
20,Carlos Augusto,2.1,0.7,1.2,0.2,2.1,0.6,0.2,-
21,Luis Alberto,1.4,0.3,0.4,-,0.1,1.4,0.2,-
22,Stefan Posch,2.7,1.2,1.6,0.2,2,1,0.5,-
23,Romelu Lukaku,0.1,-,0.6,-,0.6,0.1,-,-
24,Ismaël Bennacer,2.1,0.9,1.3,-,0.5,0.8,0.3,-
25,Nicolò Barella,1.4,0.3,0.9,-,0.3,0.7,0.1,-
26,Armando Izzo,2.4,1.7,1.5,0.1,2.6,0.5,0.6,-
27,Piotr Zielinski,0.5,0.4,0.6,-,0.2,0.4,0.1,-
28,Fabiano Parisi,2,1.2,1,0.2,2.1,1.3,0.5,-
29,Cristiano Biraghi,2,0.4,0.9,0.4,1.2,1,0.2,1
30,Bremer,1,1.4,1,0.5,3.8,0.2,0.7,-
31,Nicolás Domínguez,2.5,0.7,1.4,-,0.8,1.2,0.1,-
32,Chris Smalling,0.8,1.3,0.6,0.2,3.8,0.3,1.1,-
33,Sandro Tonali,1.9,0.7,1,0.1,0.5,0.5,0.3,-
34,Ademola Lookman,0.4,0.1,0.8,-,-,0.4,-,-
35,Ivan Provedel,-,-,-,-,0.8,-,-,-
36,Fikayo Tomori,2.1,0.9,0.8,0.3,2.3,0.4,0.8,-
37,Juan Cuadrado,1.6,0.8,1.1,0.1,0.7,1.2,0.1,-
38,Olivier Giroud,0.2,0.1,1.2,-,0.7,0.2,0.1,-
39,Manuel Locatelli,1.8,0.8,1.4,-,1.6,0.7,0.7,-
40,Boulaye Dia,0.4,0.2,0.8,-,0.8,0.2,-,-
41,Federico Dimarco,0.9,0.5,0.4,-,0.4,0.3,0.1,-
42,Stanislav Lobotka,2.2,0.6,0.7,-,0.4,0.8,0.2,-
43,Théo Hernández,1.3,0.7,0.7,0.1,1,0.5,0.2,1
44,Ibañez,2,2,1.3,0.2,2.8,0.5,0.3,1
45,Amir Rrahmani,1.1,0.5,0.8,0.2,2.6,0.3,0.7,-
46,Destiny Udogie,2.2,1.1,1.1,0.2,0.5,0.8,0.2,-
47,Stefan de Vrij,1,1.5,0.6,0.3,2.9,0.2,0.4,-
48,Ciro Immobile,0.4,-,0.7,-,0.4,0.1,0.1,-
49,Matteo Pessina,1.6,1.1,1.2,0.1,0.9,1,0.4,-
50,Jaka Bijol,1.2,0.9,0.9,0.6,5.1,0.3,0.8,-
51,Alessio Romagnoli,1,1.1,1,0.3,3.1,0.3,0.8,-
52,Guglielmo Vicario,-,-,-,-,1.4,-,-,-
53,Ángel Di María,0.4,0.3,0.2,-,-,0.6,-,-
54,Junior Messias,1,0.3,1,-,1,0.6,0.2,-
