,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Cristiano Ronaldo,21,8,5.7,1.5,1.6,0.9,1.3,1.3
1,Papu Gómez,7,11,3,2.2,2.7,0.1,2.2,2.2
2,Josip Ilicic,12,7,3.3,2.5,2.5,0.2,2.5,2.5
3,Suso,7,10,2.7,1.9,2.3,0.2,1.8,1.8
4,Rodrigo De Paul,9,8,2.4,2.3,2.6,-,1.8,1.8
5,Mario Mandzukic,9,6,1.2,0.2,1.4,0.3,0.8,0.8
6,Duván Zapata,23,7,3.2,1.1,2.2,0.8,2.5,2.5
7,Leonardo Pavoletti,16,1,2.6,0.3,1.1,0.7,1,1
8,Stephan El Shaarawy,11,3,2.5,1.6,1.3,0.4,0.8,0.8
9,Fabián Ruiz,5,4,1.9,1.3,0.8,0.1,1.1,1.1
10,Edin Dzeko,9,6,4,1,1.1,0.4,1.5,1.5
11,Armando Izzo,4,1,0.7,0.2,1.6,0.1,0.3,0.3
12,Andrea Belotti,15,3,3.4,1,3,0.8,2.1,2.1
13,Dries Mertens,16,11,2.5,0.5,0.8,0.4,0.8,0.8
14,João Cancelo,1,3,1,2.4,1,-,0.9,0.9
15,Krzysztof Piatek,13,-,4.1,0.4,1.8,0.6,1.2,1.2
16,Cristian Ansaldi,3,2,1.6,2.2,1.3,0.1,1.4,1.4
17,Lorenzo Insigne,10,6,4.3,0.9,0.5,0.6,1,1
18,Domenico Criscito,2,4,0.9,0.6,1.4,0.1,0.3,0.3
19,Alex Sandro,1,2,0.7,0.9,1.6,0.1,0.8,0.8
20,Tiémoué Bakayoko,1,1,0.8,2,2.3,-,1.4,1.4
21,Sergej Milinkovic-Savic,5,3,2.5,1.1,1.1,0.4,1.5,1.5
22,Allan,1,3,0.8,1.2,1.9,-,1.3,1.3
23,Arkadiusz Milik,17,3,3.2,0.2,0.8,0.5,0.7,0.7
24,Aleksandar Kolarov,8,2,1.3,0.9,1.2,-,0.5,0.5
25,Hakan Çalhanoglu,3,6,2.8,0.9,1.1,0.1,1,1
26,Robin Gosens,3,2,0.9,0.7,1.1,0.3,0.3,0.3
27,Erick Pulgar,6,2,1.2,0.4,1.2,-,0.7,0.7
28,Fabio Quagliarella,26,8,3.8,0.5,1.6,1,1.4,1.4
29,Lucas Leiva,-,2,0.6,0.4,0.7,0.1,0.9,0.9
30,Kevin Malcuit,-,2,0.5,1.4,0.9,0.1,0.8,0.8
31,Marcelo Brozovic,2,1,0.8,0.7,0.9,-,0.8,0.8
32,Paulo Dybala,5,4,2.2,1.7,2.2,0.2,1.4,1.4
33,Alessio Cragno,-,-,-,-,0.2,-,-,-
34,Federico Fazio,5,-,0.9,0.4,0.4,-,0.2,0.2
35,Germán Pezzella,2,1,0.8,0.1,0.8,-,0.3,0.3
36,Kalidou Koulibaly,2,2,0.5,0.3,0.5,-,0.3,0.3
37,Ivan Perisic,8,3,2.9,0.7,0.3,0.3,0.5,0.5
38,Steven Nzonzi,1,2,0.7,0.4,0.5,-,0.4,0.4
39,Luis Alberto,4,5,2.5,0.9,0.9,0.1,1.6,1.6
40,Christian Kouamé,4,5,2.3,1.1,2.2,0.5,2.1,2.1
41,José Callejón,3,10,1.8,0.4,1.4,0.5,0.6,0.6
42,Joaquín Correa,5,6,2.1,2.1,1.2,0.2,0.8,0.8
