,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Maurizio Mariani,21,29.57,1.03,0.29,4.9,103,0.52,11
1,Davide Massa,19,31.84,1.02,0.68,5.42,103,0.37,7
2,Gianpaolo Calvarese,18,25.94,0.92,0.33,4.56,82,0.11,2
3,Daniele Doveri,18,31.5,1.1,0.22,4.06,73,0.11,2
4,Rosario Abisso,18,29.72,1.01,0.33,5.56,100,0.11,2
5,Fabio Maresca,18,21.67,0.76,0.39,5.22,94,0.28,5
6,Daniele Orsato,17,27.88,1.04,0.53,5.35,91,0.18,3
7,Paolo Valeri,17,28.82,1.03,0.53,5.29,90,0.12,2
8,Marco Guida,17,27.82,1.05,0.88,5.59,95,0.71,12
9,Gianluca Rocchi,17,30.29,0.96,1.0,5.41,92,0.35,6
10,Piero Giacomelli,17,27.35,0.88,0.76,4.12,70,0.06,1
11,Daniele Chiffi,17,27.0,0.91,0.41,4.59,78,0.18,3
12,Federico La Penna,17,30.0,0.96,0.71,4.94,84,0.35,6
13,Massimiliano Irrati,16,29.94,1.05,0.5,5.06,81,0.5,8
14,Marco Di Bello,16,25.94,0.86,0.38,4.06,65,0.06,1
15,Luca Pairetto,16,28.94,1.08,0.56,4.63,74,0.44,7
16,Marco Piccinini,16,26.88,0.91,0.25,4.81,77,0.19,3
17,Gianluca Manganiello,15,24.6,0.83,0.33,4.53,68,0.53,8
18,Michael Fabbri,14,27.57,0.93,0.57,5.36,75,0.29,4
19,Fabrizio Pasqua,14,23.0,0.81,0.29,3.64,51,0.0,0
20,Antonio Giua,14,27.71,0.92,0.64,4.93,69,0.43,6
21,Eugenio Abbattista,3,25.33,1.19,0.33,3.67,11,0.0,0
22,Juan Luca Sacchi,3,32.33,1.18,0.33,4.33,13,0.0,0
23,Francesco Fourneau,3,29.67,1.01,0.33,6.33,19,0.33,1
24,Manuel Volpi,3,29.67,1.09,1.0,2.67,8,0.0,0
25,Gianluca Aureliano,2,21.0,0.76,0.5,4.0,8,0.0,0
26,Alessandro Prontera,2,20.0,0.65,0.5,2.5,5,0.0,0
27,Simone Sozza,2,24.5,1.0,0.0,3.5,7,0.0,0
28,Giovanni Ayroldi,2,32.5,0.94,0.0,5.0,10,1.0,2
29,Davide Ghersini,1,25.0,0.96,0.0,3.0,3,0.0,0
30,Marco Serra,1,23.0,0.77,1.0,4.0,4,0.0,0
31,Riccardo Ros,1,32.0,1.33,0.0,5.0,5,0.0,0
32,Antonio Di Martino,1,31.0,1.03,0.0,6.0,6,0.0,0
33,Livio Marinelli,1,30.0,0.6,1.0,4.0,4,0.0,0
34,Luca Massimi,1,22.0,1.16,0.0,3.0,3,0.0,0
35,Lorenzo Maggioni,1,28.0,0.97,0.0,4.0,4,0.0,0
36,Daniel Amabile,1,20.0,0.74,0.0,2.0,2,0.0,0
