,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Bologna,14.2,18.1,9.7,13.6,2.2
1,Genoa,13.6,17.6,11.2,14.7,1.7
2,Lazio,12.4,17.3,11.4,13.2,2.6
3,Udinese,16.3,17.2,10.1,13.3,1.7
4,Sampdoria,13.6,17.1,9.6,13,1.8
5,AC Milan,12.3,16.9,9.8,11.7,1.7
6,Atalanta,10.9,16.8,12,11.7,1.9
7,Torino,12.5,16.8,11.8,16.2,2
8,Chievo,15.7,16.4,12.4,15.5,2.1
9,Inter,11.1,16.2,8.2,12.3,1.7
10,Cagliari,15.6,15.9,9,15.1,1.5
11,Fiorentina,12.3,15.6,10.9,14.8,1.3
12,SPAL 2013,14.3,15.3,10.2,13.1,1
13,Parma Calcio 1913,19.8,15.2,10.5,13,2.4
14,Napoli,11.4,15.2,9.4,10.8,2.2
15,Frosinone,16.7,15,10.1,14.7,1.9
16,Juventus,11.7,15,10.4,12.4,2
17,Empoli,16.6,14.6,8.7,12.1,2
18,Roma,14.3,14.1,11,12.1,1.3
19,Sassuolo,12.9,13.9,9.9,13.9,1.9
