,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Napoli,18.6,6.2,8.8,10.9
1,Atalanta,16.9,5.8,9.6,13.2
2,Inter,16.7,5.2,7.5,12.8
3,Roma,16.4,5.7,9.6,10.4
4,Lazio,16.1,5.1,9.1,10.3
5,Juventus,16,5.3,9.9,12.3
6,AC Milan,15.4,5.2,9.1,12.6
7,Fiorentina,15.4,4.7,8.1,13.3
8,Genoa,14,4,7.6,12.7
9,Torino,13.7,4.8,9,15
10,Sassuolo,13.5,4.1,9.4,13.9
11,Bologna,13.2,4.3,7.2,13.7
12,Sampdoria,12.8,4.7,7.6,13.4
13,Udinese,12.2,3.4,8.9,12.3
14,SPAL 2013,12.2,3.6,7.2,14.5
15,Empoli,12,4.1,8.8,11.6
16,Frosinone,12,3.3,5.6,14.1
17,Cagliari,11.5,3.3,4.7,11.9
18,Chievo,10.3,3.1,5.3,12.5
19,Parma Calcio 1913,9.3,2.9,7.3,11.4
