,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Inter,84,17.8,71,1,56.8,86.3,14.6,6.83
1,AC Milan,69,15.8,73,3,54.2,83.3,13.7,6.81
2,Napoli,74,15.2,63,2,58.8,86.9,10.7,6.78
3,Juventus,57,13.8,75,2,51.7,84.7,14.7,6.72
4,Atalanta,65,15.9,85,2,55.0,81.9,18.2,6.71
5,Roma,59,15.8,99,8,51.2,82.9,13.9,6.70
6,Lazio,77,11.9,82,5,55.4,87.0,11,6.69
7,Torino,46,12.5,85,3,53.7,79.0,20.6,6.62
8,Verona,65,12.2,90,7,50.5,76.7,18.2,6.60
9,Udinese,61,13.4,90,6,42.1,78.7,12.1,6.59
10,Sassuolo,64,15.2,88,4,55.2,85.3,9.2,6.59
11,Bologna,44,11.6,84,7,50.3,81.0,13.3,6.58
12,Fiorentina,59,13.5,78,8,58.0,85.4,12.5,6.57
13,Sampdoria,46,10.3,92,4,45.7,77.8,16.3,6.54
14,Empoli,50,13.1,81,5,46.9,78.9,11.4,6.52
15,Spezia,41,10.2,87,4,42.4,76.7,14.2,6.49
16,Cagliari,34,11.2,90,5,43.9,75.2,18.6,6.48
17,Genoa,27,10.6,88,3,43.3,73.7,16.8,6.48
18,Venezia,34,9.3,106,9,41.8,77.5,15,6.45
19,Salernitana,33,11.3,88,5,40.2,76.5,17.5,6.43
