,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Cristiano Ronaldo,33.3,85.1,0.5,1,-
1,Papu Gómez,46,84.4,2.9,2.2,0.2
2,Josip Ilicic,39.2,80.2,0.5,2.3,0.1
3,Suso,43.1,82.5,1.5,3.1,0.1
4,Rodrigo De Paul,44.1,76.4,1.6,4.9,0.3
5,Mario Mandzukic,23.4,71.1,0.2,0.4,-
6,Duván Zapata,18.8,79,0.1,0.5,0.1
7,Leonardo Pavoletti,26.3,69,-,0.4,-
8,Stephan El Shaarawy,29.1,81.7,0.4,1.4,0.1
9,Fabián Ruiz,66.6,89.8,0.3,3.2,-
10,Edin Dzeko,21.4,70.9,0.2,1.4,0.1
11,Armando Izzo,49.5,77.8,0.1,4.3,-
12,Andrea Belotti,19.8,64.8,0.1,0.6,0.1
13,Dries Mertens,24.2,79,0.5,0.7,0.1
14,João Cancelo,50.3,86.2,1,2.4,-
15,Krzysztof Piatek,15.7,73.2,-,0.7,0.1
16,Cristian Ansaldi,24.2,73.3,1.7,2.3,-
17,Lorenzo Insigne,43.9,86,0.4,2.8,0.2
18,Domenico Criscito,41.4,75.7,0.9,3.5,0.1
19,Alex Sandro,51,84.6,0.6,2.5,-
20,Tiémoué Bakayoko,42.9,86.6,-,1.3,-
21,Sergej Milinkovic-Savic,45.2,79.6,0.1,2.6,0.2
22,Allan,66.2,89.6,0.1,3.2,0.1
23,Arkadiusz Milik,16.8,82.7,0.1,0.5,-
24,Aleksandar Kolarov,48.7,80.6,1.8,2.7,-
25,Hakan Çalhanoglu,47.5,85.2,0.8,3.6,0.1
26,Robin Gosens,34.9,78.9,0.6,1,-
27,Erick Pulgar,51.4,83.9,1.2,3.6,-
28,Fabio Quagliarella,23.1,69.1,0.2,0.6,-
29,Lucas Leiva,51,87.9,0.4,2.6,0.1
30,Kevin Malcuit,41.2,85.9,1,1.4,-
31,Marcelo Brozovic,78.8,90.1,0.8,7.2,0.1
32,Paulo Dybala,39.1,89.3,0.9,3.7,0.1
33,Alessio Cragno,28.3,61,-,9.6,-
34,Federico Fazio,41.4,85.1,-,2.6,-
35,Germán Pezzella,50.9,85.9,-,3.6,-
36,Kalidou Koulibaly,71.9,88.7,-,4.5,-
37,Ivan Perisic,33.1,74.6,1.4,1,0.1
38,Steven Nzonzi,56.3,87.7,-,3.2,-
39,Luis Alberto,47.4,82,1.6,2.7,0.1
40,Christian Kouamé,23.8,66,0.2,0.4,-
41,José Callejón,43.8,86.6,1.2,1.9,-
42,Joaquín Correa,25.1,86.1,0.2,0.5,0.1
43,Miralem Pjanic,62.5,92.1,1.2,5.8,0.1
44,Remo Freuler,62.9,88.2,0.1,2.1,0.1
45,Senad Lulic,37.6,78.1,1.1,2.1,-
46,Jasmin Kurtic,40.7,86.1,1.2,2,-
47,Juraj Kucka,30.8,69.5,0.3,1.1,-
48,Marten de Roon,62.5,87.5,0.2,3.5,-
49,Lorenzo Pellegrini,33.9,80,1.6,1.4,0.1
50,Dennis Praet,51.1,87.3,0.8,1.3,0.1
51,Albin Ekdal,51.5,86.5,0.1,1.7,-
52,Piotr Zielinski,54.8,90,0.1,2.4,0.1
53,Krzysztof Piatek,13.6,77,0.1,0.3,-
54,Domenico Berardi,34,77,0.7,1,0.1
