,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
0,James Rodríguez,Bayern Munich,32,AM,20,1143,7,3,2,0,1.8,87.1,0.2,3,7.24,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0,0.8,0.8,0.3,0.6,0.6,43.9,87.1,1.6,2.4,0.2,1.0
1,Serge Gnabry,Bayern Munich,28,AM,30,1774,10,5,0,0,2.2,83.4,0.2,3,7.15,1.2,0.4,0.8,0.0,0.1,0.8,0.0,0,1.7,0.5,0.4,1.0,1.0,26.4,83.4,0.3,1.0,0.1,1.0
2,Franck Ribéry,Bayern Munich,41,AM,25,1168,6,3,3,0,1.0,82.5,0.0,1,6.77,0.6,0.3,0.7,0.0,0.0,0.2,0.0,0,1.4,0.8,0.4,1.8,1.8,28.1,82.5,0.3,1.0,0.0,1.0
3,Ishak Belfodil,Hoffenheim,32,AM,28,1864,16,3,3,0,3.1,72.2,1.8,4,7.29,0.5,0.1,0.9,0.0,0.5,0.4,0.0,0,1.4,0.5,0.8,1.1,1.1,15.6,72.2,0.1,0.1,0.0,0.5423728813559322
4,Joelinton,Hoffenheim,27,AM,28,2136,7,5,5,0,2.0,79.3,2.3,1,7.21,1.3,0.5,2.0,0.0,0.3,0.7,0.1,0,1.7,1.0,0.1,2.2,2.2,24.7,79.3,0.2,0.3,0.1,0.5423728813559322
5,Andrej Kramaric,Hoffenheim,32,AM,30,2404,17,4,2,0,3.7,80.9,0.3,2,7.09,0.3,0.3,0.2,0.0,0.4,0.7,0.1,0,0.9,0.6,0.3,1.7,1.7,31.9,80.9,0.8,1.2,0.1,0.5423728813559322
6,Yussuf Poulsen,RB Leipzig,29,AM,31,2454,15,3,2,0,2.1,60.8,4.6,4,7.27,0.6,0.2,1.8,0.1,0.9,0.7,0.1,0,0.8,1.6,0.6,2.0,2.0,24.9,60.8,0.2,0.3,0.1,0.7966101694915254
7,Timo Werner,RB Leipzig,28,AM,30,2525,16,7,1,0,3.6,74.2,0.3,5,7.17,0.6,0.1,0.8,0.0,0.1,0.4,0.1,0,1.0,1.2,1.2,1.2,1.2,25.5,74.2,0.2,0.4,0.1,0.7966101694915254
8,Emil Forsberg,RB Leipzig,32,AM,20,1254,4,7,0,0,1.5,81.6,0.4,1,7.02,0.6,0.2,0.4,0.0,0.3,0.6,0.1,0,1.1,1.2,0.2,1.1,1.1,23.9,81.6,0.7,0.8,0.2,0.7966101694915254
9,Matheus Cunha,RB Leipzig,24,AM,25,849,2,0,1,0,1.4,69.2,0.6,0,6.35,0.4,0.2,1.4,0.1,0.3,0.4,0.0,0,0.6,0.6,0.2,0.9,0.9,9.0,69.2,0.0,0.2,0.1,0.7966101694915254
