,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
0,Diego Demme,RB Leipzig,32,DM,26,2061,0,2,4,0,0.4,81.5,1.1,0,6.92,2.9,1.0,1.4,0.0,0.5,1.3,0.1,0,0.3,2.0,0.0,0.7,0.7,56.4,81.5,0.4,3.0,0.1,0.7966101694915254
1,Gelson Fernandes,Eintracht Frankfurt,37,DM,28,2236,1,0,9,1,0.1,83.4,1.2,0,6.64,2.6,1.9,2.0,0.0,0.6,1.5,0.3,0,0.2,0.2,0.0,0.5,0.5,30.1,83.4,0.0,0.4,0.0,0.5932203389830508
2,Thomas Delaney,Borussia Dortmund,32,DM,30,2290,3,5,7,0,1.1,85.5,1.9,4,7.13,2.3,1.9,1.5,0.0,1.4,0.4,0.3,0,0.3,0.8,0.1,0.5,0.5,53.6,85.5,0.1,2.7,0.0,0.9661016949152542
3,Julian Baumgartlinger,Bayer Leverkusen,36,DM,21,1557,0,1,2,0,0.5,89.6,1.5,0,6.96,2.5,1.2,0.9,0.0,1.0,1.2,0.3,0,0.7,0.9,0.0,0.7,0.7,65.3,89.6,0.0,3.5,0.0,0.6610169491525424
4,Marko Grujic,Hertha Berlin,28,DM,22,1780,5,1,5,0,2.1,81.9,3.2,3,7.26,2.0,1.3,2.0,0.1,2.3,1.1,0.3,0,1.4,1.0,0.0,0.9,0.9,43.1,81.9,0.0,1.6,0.0,0.4067796610169492
5,Santiago Ascacíbar,VfB Stuttgart,27,DM,27,2430,0,0,10,1,0.7,80.7,1.2,0,6.54,2.9,1.6,0.9,0.0,1.1,1.5,0.4,1,0.5,1.2,0.0,0.7,0.7,40.4,80.7,0.1,1.8,0.0,0.15254237288135594
6,Walace,Hannover 96,29,DM,26,1998,1,1,5,0,0.7,84.9,2.1,0,6.73,2.0,1.7,1.2,0.0,1.3,1.3,0.2,0,1.0,1.0,0.1,1.2,1.2,41.2,84.9,0.0,1.9,0.0,0.03389830508474576
7,Pierre Kunde,Mainz 05,28,DM,29,1913,0,0,5,0,1.0,82.5,0.9,0,6.69,1.7,0.8,0.8,0.0,1.6,0.4,0.5,0,0.8,0.9,0.0,0.8,0.8,38.9,82.5,0.4,4.6,0.0,0.4067796610169492
8,Diego Demme,RB Leipzig,32,DM,17,1213,0,0,3,0,0.2,86.6,0.4,0,6.7,2.4,0.9,1.1,0.1,0.8,1.5,0.1,0,0.6,0.8,0.0,0.5,0.5,63.9,86.6,0.1,2.3,0.1,0.7419354838709677
9,Julian Baumgartlinger,Bayer Leverkusen,36,DM,27,1792,2,2,4,0,0.6,90.7,0.8,0,6.61,1.6,0.7,1.1,0.0,0.5,0.9,0.1,0,0.4,1.2,0.0,0.6,0.6,41.2,90.7,0.0,1.9,0.1,0.6935483870967742
10,Diadié Samassékou,Hoffenheim,28,DM,21,1311,0,1,4,0,0.3,81.9,0.9,0,6.66,1.8,1.9,0.9,0.1,1.1,1.0,0.4,0,0.8,0.6,0.0,0.3,0.3,27.6,81.9,0.0,1.1,0.0,0.5161290322580645
11,Marko Grujic,Hertha Berlin,28,DM,29,2422,4,1,9,0,1.2,78.7,3.4,2,6.94,1.9,0.8,2.2,0.0,2.3,1.5,0.3,0,1.0,1.0,0.0,0.9,0.9,37.6,78.7,0.1,2.0,0.0,0.3387096774193548
12,Ellyes Skhiri,FC Koln,28,DM,32,2676,1,3,4,0,0.8,85.6,1.5,2,6.78,2.3,2.1,1.1,0.0,0.9,1.5,0.3,0,0.7,0.6,0.1,1.2,1.2,42.9,85.6,0.1,2.7,0.0,0.25806451612903225
13,Pierre Kunde,Mainz 05,28,DM,28,1873,4,0,6,0,1.4,79.3,0.7,0,6.67,1.2,0.9,0.9,0.0,1.9,0.6,0.1,0,1.2,0.4,0.0,0.6,0.6,34.9,79.3,0.3,2.6,0.0,0.27419354838709675
14,Leandro Barreiro,Mainz 05,24,DM,18,940,0,2,4,0,0.4,76.8,1.1,0,6.48,2.1,0.5,1.4,0.0,0.7,0.8,0.2,0,0.3,1.3,0.0,0.3,0.3,19.8,76.8,0.1,1.2,0.0,0.27419354838709675
15,Marcel Sobottka,Fortuna Duesseldorf,30,DM,18,699,0,1,2,0,0.4,82.5,0.3,0,6.14,0.8,0.5,0.9,0.1,0.7,0.5,0.1,0,0.2,0.6,0.0,0.2,0.2,11.7,82.5,0.0,0.6,0.0,0.16129032258064516
16,Thomas Delaney,Borussia Dortmund,32,DM,20,1290,1,1,6,0,0.4,83.7,1.5,2,6.7,2.0,1.1,1.8,0.0,0.7,1.0,0.5,0,0.1,1.3,0.1,0.3,0.3,40.7,83.7,0.1,2.4,0.0,0.7741935483870968
17,Lucas Tousart,Hertha Berlin,27,DM,26,2098,1,0,7,0,1.2,77.2,2.4,1,6.73,1.3,1.5,1.3,0.0,1.8,0.5,0.2,0,0.6,0.8,0.0,0.6,0.6,32.3,77.2,0.1,2.9,0.1,0.3064516129032258
18,Diadié Samassékou,Hoffenheim,28,DM,31,2576,0,2,3,0,0.5,82.7,1.5,0,6.86,2.3,2.5,1.4,0.2,1.6,1.8,0.4,0,0.7,1.5,0.0,0.7,0.7,44.1,82.7,0.1,2.4,0.1,0.43548387096774194
19,Wataru Endo,VfB Stuttgart,31,DM,33,2957,3,3,5,0,0.8,83.6,2.1,1,7.04,2.0,1.5,1.4,0.1,1.7,1.3,0.4,0,1.2,1.6,0.0,1.6,1.6,55.1,83.6,0.0,2.2,0.1,0.46774193548387094
20,Baptiste Santamaría,Freiburg,29,DM,30,2221,1,2,5,0,1.0,76.6,1.9,1,6.74,1.7,1.7,1.1,0.0,1.0,1.1,0.2,1,0.6,0.9,0.0,0.9,0.9,33.4,76.6,0.2,1.8,0.0,0.46774193548387094
21,Carlos Gruezo,Augsburg,29,DM,28,2092,0,0,4,0,0.6,79.6,0.2,0,6.35,2.0,1.3,1.3,0.0,1.0,1.1,0.2,0,0.4,0.4,0.0,0.4,0.4,28.1,79.6,0.0,2.3,0.0,0.3225806451612903
22,Fabian Kunze,Arminia Bielefeld,25,DM,26,1261,0,0,6,0,0.3,76.0,1.5,0,6.32,1.5,0.7,1.4,0.0,0.7,0.9,0.1,0,0.3,1.0,0.0,0.3,0.3,22.0,76.0,0.0,0.7,0.0,0.3064516129032258
23,Ellyes Skhiri,FC Koln,28,DM,32,2790,5,2,5,0,0.5,86.7,1.3,2,6.88,2.6,2.6,1.3,0.1,1.0,1.0,0.4,0,0.5,0.5,0.1,0.5,0.5,47.3,86.7,0.0,2.9,0.0,0.27419354838709675
24,Leandro Barreiro,Mainz 05,24,DM,29,2314,2,2,5,0,1.1,64.6,1.7,0,6.76,2.0,2.0,2.2,0.0,1.8,1.0,0.3,0,0.2,1.6,0.0,0.4,0.4,23.8,64.6,0.1,0.8,0.1,0.3709677419354839
25,Manu Koné,Borussia M.Gladbach,22,DM,26,2107,2,0,9,0,1.1,85.5,0.8,1,6.99,2.3,1.3,1.4,0.0,0.5,0.7,0.2,0,2.6,2.2,0.0,1.8,1.8,43.9,85.5,0.0,0.9,0.0,0.4576271186440678
26,Diadié Samassékou,Hoffenheim,28,DM,24,1665,2,0,7,0,0.6,80.3,1.3,1,6.68,1.7,1.2,1.3,0.1,1.1,1.0,0.5,0,0.3,1.0,0.0,0.2,0.2,29.6,80.3,0.0,1.4,0.0,0.4745762711864407
27,Angelo Stiller,Hoffenheim,23,DM,26,1692,2,1,1,0,0.6,83.8,1.1,0,6.48,1.2,0.3,1.0,0.1,0.6,0.5,0.2,0,0.6,0.5,0.0,0.3,0.3,36.3,83.8,0.2,1.0,0.0,0.4745762711864407
28,Ellyes Skhiri,FC Koln,28,DM,22,1820,4,1,3,0,1.0,84.6,1.6,2,6.98,2.5,1.7,0.8,0.0,1.4,0.9,0.3,0,0.5,1.0,0.1,0.8,0.8,43.0,84.6,0.0,2.2,0.0,0.576271186440678
29,Wataru Endo,VfB Stuttgart,31,DM,33,2902,4,2,4,0,1.4,80.7,2.3,0,6.93,2.2,0.9,0.9,0.0,1.8,1.2,0.4,0,1.0,1.8,0.0,1.3,1.3,47.2,80.7,0.1,1.8,0.1,0.2542372881355932
30,Leandro Barreiro,Mainz 05,24,DM,31,1790,1,2,3,0,1.0,71.6,0.8,0,6.6,2.0,1.0,1.3,0.0,0.7,0.7,0.2,0,0.2,0.9,0.0,0.4,0.4,16.8,71.6,0.0,0.4,0.1,0.4745762711864407
31,Fabian Kunze,Arminia Bielefeld,25,DM,22,1260,0,0,9,0,0.5,75.7,1.7,0,6.4,1.6,0.9,1.7,0.0,1.1,0.8,0.1,0,0.4,1.0,0.0,0.6,0.6,22.0,75.7,0.1,1.0,0.0,0.1694915254237288
32,Santiago Ascacíbar,Hertha Berlin,27,DM,28,2381,0,1,5,0,0.5,82.5,1.2,0,6.66,3.3,1.5,1.3,0.0,1.4,1.8,0.2,0,0.4,1.1,0.1,0.5,0.5,41.3,82.5,0.0,1.7,0.0,0.2542372881355932
33,Lucas Tousart,Hertha Berlin,27,DM,30,1961,2,0,3,0,0.8,72.8,1.3,0,6.49,1.4,1.2,1.1,0.0,1.8,0.8,0.2,0,0.7,0.8,0.0,0.6,0.6,23.3,72.8,0.1,1.6,0.1,0.2542372881355932
34,Niklas Dorsch,Augsburg,26,DM,30,2328,1,0,8,0,0.4,83.4,0.5,1,6.74,2.5,1.2,1.8,0.0,1.1,1.0,0.4,0,1.1,1.6,0.0,0.8,0.8,35.7,83.4,0.3,3.8,0.1,0.3389830508474576
35,Carlos Gruezo,Augsburg,29,DM,17,971,0,0,7,0,0.6,77.2,0.6,0,6.22,1.3,0.5,1.6,0.0,0.9,0.8,0.1,0,0.2,0.2,0.0,0.5,0.5,18.4,77.2,0.1,1.5,0.0,0.3389830508474576
36,Max Christiansen,Greuther Fuerth,27,DM,27,2056,0,0,5,0,0.4,79.3,1.5,0,6.63,1.7,2.5,0.7,0.0,2.0,0.9,0.6,0,0.2,0.7,0.0,0.3,0.3,34.4,79.3,0.1,1.6,0.0,0.0
37,Ryan Gravenberch,Bayern Munich,21,DM,24,561,0,0,1,0,0.5,89.3,0.2,0,6.29,0.7,0.4,0.4,0.0,0.4,0.3,0.0,0,0.5,0.3,0.0,0.5,0.5,15.1,89.3,0.0,0.4,0.0,1.0
38,Ilia Gruev,Werder Bremen,23,DM,31,1588,0,0,2,0,0.2,86.9,0.5,0,6.31,1.4,0.7,0.9,0.2,0.7,0.4,0.2,0,0.2,0.4,0.0,0.4,0.4,24.7,86.9,0.2,0.8,0.0,0.16666666666666666
39,Manu Koné,Borussia M.Gladbach,22,DM,30,2620,1,1,12,0,0.9,87.3,0.5,0,6.81,2.5,1.1,1.7,0.1,0.7,0.8,0.4,0,1.9,2.5,0.0,1.7,1.7,45.3,87.3,0.0,0.9,0.0,0.3333333333333333
