,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
0,Robert Lewandowski,Bayern Munich,35,FW,33,2959,22,7,2,0,4.4,77.5,1.7,5,7.65,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0,1.5,1.4,0.9,1.5,1.5,22.1,77.5,0.0,0.6,0.2,1.0
1,Ádám Szalai,Hoffenheim,36,FW,30,1621,6,3,3,0,2.2,71.1,1.6,1,6.69,0.6,0.1,1.1,0.0,0.2,0.2,0.0,0,0.3,0.8,0.3,0.7,0.7,14.0,71.1,0.0,0.4,0.0,0.5423728813559322
2,Sébastien Haller,Eintracht Frankfurt,29,FW,29,2181,15,9,3,0,1.9,63.5,6.9,3,7.55,0.8,0.5,1.4,0.0,0.8,0.4,0.0,0,1.0,1.5,0.7,1.7,1.7,27.0,63.5,0.0,0.4,0.1,0.5932203389830508
3,Luka Jovic,Eintracht Frankfurt,26,FW,32,2249,17,5,1,0,3.0,70.4,1.9,4,7.0,0.3,0.1,0.9,0.0,0.9,0.3,0.0,0,0.8,1.3,0.5,1.4,1.4,18.7,70.4,0.1,0.9,0.1,0.5932203389830508
4,Lucas Alario,Bayer Leverkusen,31,FW,27,1256,9,3,1,0,1.6,75.5,1.5,2,6.72,0.6,0.0,0.9,0.0,0.5,0.4,0.0,0,0.2,0.9,0.5,0.9,0.9,15.0,75.5,0.0,0.3,0.0,0.6610169491525424
5,Davie Selke,Hertha Berlin,29,FW,30,1731,3,5,4,0,1.5,59.7,3.5,1,6.69,0.2,0.0,0.9,0.0,0.2,0.2,0.0,0,0.7,0.9,0.4,1.0,1.0,15.1,59.7,0.1,0.2,0.0,0.4067796610169492
6,Vedad Ibisevic,Hertha Berlin,39,FW,29,1826,10,2,5,1,1.8,72.2,2.4,1,6.68,0.4,0.1,1.3,0.0,0.7,0.3,0.1,1,0.5,0.5,0.9,0.9,0.9,14.9,72.2,0.0,0.6,0.1,0.4067796610169492
7,Wout Weghorst,Wolfsburg,31,FW,34,2931,17,7,4,0,2.1,69.5,3.4,3,7.24,0.9,0.3,1.1,0.0,0.9,0.8,0.1,0,0.4,1.1,0.9,1.4,1.4,23.6,69.5,0.1,0.5,0.1,0.6101694915254238
8,Rouwen Hennings,Fortuna Duesseldorf,36,FW,29,1832,7,4,3,0,2.0,66.4,1.9,0,6.68,0.5,0.1,0.8,0.0,0.7,0.4,0.0,0,0.1,0.8,0.2,0.4,0.4,15.3,66.4,0.0,0.5,0.1,0.423728813559322
9,Nils Petersen,Freiburg,35,FW,24,1930,10,3,0,0,2.0,68.2,3.8,3,7.11,1.2,0.5,1.0,0.0,1.4,0.8,0.1,0,0.3,0.8,0.1,1.2,1.2,21.3,68.2,0.0,0.7,0.0,0.288135593220339
10,Mario Gomez,VfB Stuttgart,38,FW,31,2216,7,2,3,1,1.7,65.7,3.0,1,6.6,0.6,0.2,1.0,0.0,1.1,0.3,0.2,0,0.3,0.7,0.4,0.7,0.7,15.7,65.7,0.0,0.3,0.0,0.15254237288135594
