,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
0,Manuel Neuer,Bayern Munich,38,GK,26,2303,0,0,1,0,0.0,81.6,0.2,0,6.34,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,31.1,81.6,0.0,5.5,0.0,1.0
1,Oliver Baumann,Hoffenheim,33,GK,33,2970,0,1,0,0,0.0,76.4,0.3,0,6.73,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,33.1,76.4,0.0,6.0,0.0,0.5423728813559322
2,Péter Gulácsi,RB Leipzig,33,GK,33,2926,0,0,0,0,0.0,58.9,0.2,1,6.93,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,27.2,58.9,0.0,7.9,0.0,0.7966101694915254
3,Kevin Trapp,Eintracht Frankfurt,33,GK,33,2938,0,0,2,0,0.0,63.6,0.5,1,6.84,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,33.3,63.6,0.0,11.3,0.0,0.5932203389830508
4,Roman Bürki,Borussia Dortmund,33,GK,32,2880,0,0,1,0,0.0,65.8,0.3,2,6.62,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,28.2,65.8,0.0,5.4,0.0,0.9661016949152542
5,Yann Sommer,Borussia M.Gladbach,35,GK,34,3060,0,0,1,0,0.0,77.4,0.4,2,6.88,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,41.5,77.4,0.0,7.3,0.0,0.6101694915254238
6,Lukás Hrádecky,Bayer Leverkusen,34,GK,32,2880,0,0,1,0,0.0,76.6,0.3,1,6.61,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,37.2,76.6,0.0,8.2,0.0,0.6610169491525424
7,Ralf Fährmann,Schalke 04,35,GK,17,1469,0,0,0,0,0.0,69.3,0.4,0,6.71,0.0,0.1,0.0,0.0,1.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.1,69.3,0.0,7.7,0.0,0.23728813559322035
8,Alexander Nübel,Schalke 04,27,GK,18,1589,0,0,1,1,0.0,63.7,0.6,1,6.55,0.0,0.1,0.1,0.0,0.6,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,25.7,63.7,0.0,6.7,0.0,0.23728813559322035
9,Rune Jarstein,Hertha Berlin,39,GK,31,2746,0,0,2,0,0.0,57.2,0.5,2,6.72,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,34.1,57.2,0.0,11.8,0.0,0.4067796610169492
10,Koen Casteels,Wolfsburg,31,GK,26,2296,0,0,0,0,0.0,76.9,0.4,0,6.83,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,39.7,76.9,0.0,9.6,0.0,0.6101694915254238
11,Jirí Pavlenka,Werder Bremen,32,GK,34,2979,0,0,2,0,0.0,70.1,0.2,0,6.7,0.1,0.1,0.0,0.0,0.8,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,31.4,70.1,0.0,8.9,0.0,0.576271186440678
12,Michael Rensing,Fortuna Duesseldorf,39,GK,32,2880,0,0,1,0,0.0,59.0,0.5,1,6.71,0.1,0.1,0.0,0.0,1.2,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,26.8,59.0,0.0,7.8,0.0,0.423728813559322
13,Alexander Schwolow,Freiburg,31,GK,33,2970,0,1,1,0,0.0,62.8,0.2,0,6.66,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,34.2,62.8,0.0,9.6,0.0,0.288135593220339
14,Ron-Robert Zieler,VfB Stuttgart,35,GK,34,3060,0,0,3,0,0.0,56.0,0.3,1,6.52,0.1,0.0,0.0,0.0,1.0,0.1,0.0,1,0.1,0.0,0.0,0.0,0.0,32.0,56.0,0.0,8.9,0.0,0.15254237288135594
15,Michael Esser,Hannover 96,36,GK,32,2880,0,0,3,0,0.0,67.9,0.4,2,6.98,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,34.2,67.9,0.0,10.3,0.0,0.03389830508474576
16,Florian Müller,Mainz 05,26,GK,24,2160,0,0,0,0,0.0,60.8,0.1,1,6.48,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.4,60.8,0.0,7.8,0.0,0.4067796610169492
17,Christian Mathenia,Nuernberg,32,GK,22,1934,0,0,2,0,0.0,59.9,0.8,1,6.71,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,36.0,59.9,0.0,9.0,0.0,0.0
18,Manuel Neuer,Bayern Munich,38,GK,33,2970,0,0,0,0,0.0,86.4,0.3,0,6.77,0.1,0.0,0.0,0.0,0.5,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,37.7,86.4,0.0,6.0,0.0,1.0
19,Roman Bürki,Borussia Dortmund,33,GK,31,2771,0,0,0,0,0.0,75.6,0.1,0,6.42,0.1,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,27.9,75.6,0.0,3.9,0.0,0.7903225806451613
20,Péter Gulácsi,RB Leipzig,33,GK,32,2880,0,1,0,0,0.0,77.2,0.2,1,6.69,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33.5,77.2,0.0,5.8,0.0,0.7419354838709677
21,Kevin Trapp,Eintracht Frankfurt,33,GK,22,1980,0,0,1,0,0.0,72.6,0.2,0,6.62,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,38.5,72.6,0.0,9.0,0.0,0.4032258064516129
22,Koen Casteels,Wolfsburg,31,GK,26,2340,0,0,1,0,0.0,70.8,0.2,2,6.54,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,32.6,70.8,0.0,8.5,0.0,0.46774193548387094
23,Alexander Nübel,Schalke 04,27,GK,26,2316,0,0,1,1,0.0,68.4,0.6,0,6.42,0.0,0.1,0.0,0.0,0.8,0.0,0.0,1,0.0,0.2,0.0,0.0,0.0,34.2,68.4,0.0,6.3,0.0,0.3064516129032258
24,Yann Sommer,Borussia M.Gladbach,35,GK,34,3060,0,0,0,0,0.0,80.7,0.2,2,6.79,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,40.5,80.7,0.0,7.2,0.0,0.7258064516129032
25,Lukás Hrádecky,Bayer Leverkusen,34,GK,34,3060,0,0,1,0,0.0,74.3,0.3,1,6.73,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,41.0,74.3,0.0,8.1,0.0,0.6935483870967742
26,Oliver Baumann,Hoffenheim,33,GK,30,2700,0,0,1,0,0.0,75.2,0.3,1,6.76,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,36.9,75.2,0.0,5.5,0.0,0.5161290322580645
