,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
0,Thiago Alcântara,Bayern Munich,33,M,30,2409,2,6,5,0,0.8,91.8,1.2,3,7.59,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0,1.9,1.1,0.0,0.9,0.9,83.6,91.8,0.5,7.3,0.1,1.0
1,Kingsley Coman,Bayern Munich,27,M,21,1392,6,4,2,0,1.5,85.0,0.6,2,7.34,0.5,0.2,0.8,0.0,0.1,0.6,0.0,0,2.9,2.0,0.1,1.6,1.6,29.4,85.0,0.7,0.5,0.0,1.0
2,Thomas Müller,Bayern Munich,34,M,32,2391,6,9,1,0,2.0,74.7,1.6,3,7.19,1.3,0.3,0.7,0.0,0.4,0.9,0.2,0,0.7,0.8,0.5,0.5,0.5,37.5,74.7,0.2,1.2,0.1,1.0
3,Leon Goretzka,Bayern Munich,29,M,30,2021,8,4,3,0,1.8,87.5,1.3,1,6.96,1.4,0.9,0.9,0.0,0.5,0.8,0.1,1,0.5,0.7,0.0,0.6,0.6,38.4,87.5,0.0,1.2,0.0,1.0
4,Renato Sanches,Bayern Munich,26,M,17,567,1,1,1,1,1.0,90.8,0.1,0,6.36,0.3,0.2,0.6,0.0,0.1,0.4,0.0,0,1.0,0.7,0.1,0.5,0.5,19.9,90.8,0.4,0.8,0.0,1.0
5,Kerem Demirbay,Hoffenheim,30,M,26,2023,4,9,6,0,2.3,81.2,0.7,6,7.59,2.2,0.8,1.8,0.0,0.8,1.5,0.4,0,2.2,1.3,0.1,2.0,2.0,48.8,81.2,1.7,2.9,0.2,0.5423728813559322
6,Reiss Nelson,Hoffenheim,24,M,23,630,7,0,0,0,0.9,86.2,0.0,1,6.61,0.7,0.2,0.3,0.0,0.1,0.5,0.0,0,0.7,0.2,0.1,0.5,0.5,9.8,86.2,0.1,0.3,0.0,0.5423728813559322
7,Leonardo Bittencourt,Hoffenheim,30,M,21,1069,1,3,1,0,1.1,80.2,0.3,0,6.6,1.8,0.6,0.8,0.0,0.3,1.1,0.0,0,0.5,1.4,0.1,0.7,0.7,20.2,80.2,0.5,0.4,0.0,0.5423728813559322
8,Kevin Kampl,RB Leipzig,33,M,27,2122,2,5,5,0,1.3,84.4,0.6,2,7.13,1.5,1.2,1.1,0.0,0.7,0.7,0.1,0,0.9,0.3,0.3,0.9,0.9,52.9,84.4,0.7,2.4,0.1,0.7966101694915254
9,Marcel Sabitzer,RB Leipzig,30,M,30,2356,4,3,9,0,2.1,70.4,0.7,1,6.94,1.5,1.1,0.9,0.0,1.0,0.9,0.1,1,0.5,1.0,0.2,1.5,1.5,36.9,70.4,0.4,1.3,0.0,0.7966101694915254
10,Filip Kostic,Eintracht Frankfurt,31,M,34,2961,6,10,4,0,1.8,64.6,1.3,5,7.26,1.9,0.7,0.8,0.1,1.1,1.2,0.2,0,1.7,1.1,0.1,1.4,1.4,29.7,64.6,1.4,1.4,0.1,0.5932203389830508
11,Jonathan de Guzmán,Eintracht Frankfurt,36,M,28,1564,3,6,4,0,0.8,79.1,0.9,1,6.79,1.2,0.4,0.6,0.0,0.4,0.5,0.1,0,0.5,0.6,0.1,0.6,0.6,29.7,79.1,1.0,1.5,0.1,0.5932203389830508
12,Mijat Gacinovic,Eintracht Frankfurt,29,M,29,1623,0,1,3,0,0.7,72.0,0.4,0,6.47,1.1,0.8,0.7,0.0,0.3,1.1,0.0,0,0.9,1.4,0.1,0.7,0.7,20.1,72.0,0.2,0.9,0.1,0.5932203389830508
