,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Manuel Gräfe,18,18.61,0.52,0.17,2.44,44,0.06,1
1,Deniz Aytekin,17,22.71,0.62,0.29,3.76,64,0.24,4
2,Felix Zwayer,16,21.0,0.6,0.38,3.5,56,0.13,2
3,Dr. Felix Brych,16,25.94,0.74,0.38,3.63,58,0.0,0
4,Christian Dingert,15,23.87,0.72,0.53,3.53,53,0.2,3
5,Marco Fritz,15,25.2,0.71,0.27,3.67,55,0.2,3
6,Tobias Stieler,14,24.71,0.79,0.43,2.57,36,0.21,3
7,Daniel Siebert,14,24.79,0.75,0.14,3.0,42,0.07,1
8,Sascha Stegemann,14,25.64,0.83,0.29,4.14,58,0.21,3
9,Tobias Welz,14,25.79,0.79,0.5,3.43,48,0.57,8
10,Bastian Dankert,13,27.69,0.91,0.23,3.77,49,0.15,2
11,Robert Hartmann,13,24.08,0.78,0.31,2.69,35,0.15,2
12,Harm Osmers,12,21.08,0.62,0.25,3.0,36,0.17,2
13,Frank Willenborg,12,20.92,0.64,0.17,2.5,30,0.25,3
14,Sven Jablonski,12,24.08,0.7,0.0,3.08,37,0.08,1
15,Markus Schmidt,12,21.83,0.75,0.33,3.67,44,0.0,0
16,Guido Winkmann,12,21.42,0.62,0.25,2.67,32,0.17,2
17,Benjamin Cortus,11,24.64,0.71,0.36,3.27,36,0.0,0
18,Sören Storks,11,21.82,0.63,0.27,2.91,32,0.09,1
19,Robert Schröder,10,23.5,0.71,0.2,4.2,42,0.0,0
20,Dr. Robert Kampka,9,28.22,0.95,0.56,4.33,39,0.0,0
21,Daniel Schlager,8,26.25,0.87,0.38,3.63,29,0.0,0
22,Bibiana Steinhaus-Webb,7,26.29,0.84,0.14,2.86,20,0.0,0
23,Martin Petersen,7,24.71,0.81,0.14,2.71,19,0.0,0
24,Patrick Ittrich,4,26.0,0.79,0.5,5.0,20,0.5,2
25,Dr. Felix Brych,18,22.67,0.68,0.22,4.28,77,0.33,6
26,Deniz Aytekin,16,24.38,0.78,0.13,3.81,61,0.13,2
27,Tobias Stieler,16,25.19,0.81,0.31,2.94,47,0.38,6
28,Daniel Siebert,16,21.19,0.64,0.19,4.25,68,0.19,3
29,Harm Osmers,15,22.53,0.68,0.07,3.4,51,0.13,2
30,Felix Zwayer,15,23.6,0.73,0.13,3.93,59,0.13,2
31,Manuel Gräfe,15,19.27,0.51,0.07,2.33,35,0.2,3
32,Marco Fritz,15,24.47,0.74,0.33,3.67,55,0.13,2
33,Sascha Stegemann,15,23.27,0.6,0.13,4.47,67,0.13,2
34,Bastian Dankert,14,27.93,0.93,0.21,3.43,48,0.14,2
35,Christian Dingert,13,22.62,0.68,0.31,4.23,55,0.15,2
36,Markus Schmidt,13,22.92,0.68,0.08,3.92,51,0.23,3
37,Frank Willenborg,12,23.5,0.81,0.08,4.33,52,0.0,0
38,Sven Jablonski,12,27.17,0.85,0.17,4.5,54,0.08,1
39,Benjamin Cortus,12,26.58,0.76,0.25,3.17,38,0.0,0
40,Guido Winkmann,11,23.45,0.73,0.45,3.82,42,0.27,3
41,Robert Hartmann,10,22.7,0.82,0.3,3.0,30,0.3,3
42,Patrick Ittrich,10,28.8,0.94,0.5,4.1,41,0.4,4
43,Martin Petersen,10,28.1,0.83,0.2,3.7,37,0.1,1
44,Daniel Schlager,10,25.0,0.67,0.2,4.2,42,0.0,0
45,Robert Schröder,8,27.63,0.85,0.13,3.38,27,0.25,2
46,Bibiana Steinhaus-Webb,8,24.5,0.86,0.13,3.5,28,0.0,0
47,Sören Storks,8,25.5,0.94,0.75,3.63,29,0.38,3
48,Tobias Welz,7,29.71,0.95,0.86,4.57,32,0.43,3
49,Dr. Robert Kampka,6,26.33,0.76,0.5,4.5,27,0.0,0
50,Benjamin Brand,1,16.0,0.52,0.0,1.0,1,0.0,0
51,Dr. Felix Brych,17,24.41,0.74,0.35,2.59,44,0.06,1
52,Manuel Gräfe,17,21.94,0.78,0.24,2.71,46,0.06,1
