,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Anthony Taylor,32,21.34,0.64,0.34,3.19,102,0.03,1
1,Michael Oliver,30,21.27,0.61,0.3,2.77,83,0.23,7
2,Mike Dean,29,20.69,0.6,0.28,4.45,129,0.34,10
3,Martin Atkinson,29,20.79,0.63,0.21,3.14,91,0.03,1
4,Jonathan Moss,27,22.26,0.7,0.37,3.44,93,0.19,5
5,Andre Marriner,27,17.56,0.49,0.11,2.7,73,0.11,3
6,Kevin Friend,27,20.44,0.61,0.3,3.41,92,0.11,3
7,Craig Pawson,26,20.0,0.56,0.31,3.5,91,0.27,7
8,Paul Tierney,24,20.29,0.59,0.21,3.42,82,0.04,1
9,Chris Kavanagh,24,19.29,0.55,0.21,3.08,74,0.08,2
10,Stuart Attwell,20,18.0,0.57,0.3,3.15,63,0.05,1
11,Lee Mason,19,22.84,0.69,0.21,3.32,63,0.05,1
12,Lee Probert,18,20.33,0.61,0.28,2.56,46,0.22,4
13,Graham Scott,17,18.18,0.54,0.29,2.24,38,0.06,1
14,David Coote,11,23.0,0.66,0.27,3.18,35,0.0,0
15,Roger East,10,21.5,0.6,0.5,4.4,44,0.0,0
16,Simon Hooper,8,22.13,0.59,0.25,2.5,20,0.0,0
17,Andy Madley,2,16.5,0.48,0.0,1.0,2,0.0,0
18,Martin Atkinson,32,21.5,0.65,0.28,2.94,94,0.16,5
19,Michael Oliver,32,21.0,0.64,0.16,3.28,105,0.0,0
20,Anthony Taylor,32,20.25,0.63,0.38,3.81,122,0.16,5
21,Mike Dean,27,21.48,0.66,0.41,4.15,112,0.15,4
22,Chris Kavanagh,26,21.69,0.69,0.23,3.31,86,0.04,1
23,Paul Tierney,25,23.96,0.73,0.28,3.04,76,0.12,3
24,Jonathan Moss,25,20.64,0.6,0.32,3.72,93,0.08,2
25,Kevin Friend,25,20.96,0.65,0.12,2.92,73,0.2,5
26,Andre Marriner,24,17.25,0.52,0.08,2.42,58,0.08,2
27,Craig Pawson,23,25.17,0.79,0.22,3.74,86,0.09,2
28,Stuart Attwell,21,21.52,0.6,0.29,4.19,88,0.19,4
29,Graham Scott,19,19.05,0.58,0.11,2.89,55,0.26,5
30,Lee Mason,16,23.44,0.72,0.25,3.75,60,0.06,1
31,David Coote,16,21.69,0.7,0.31,3.06,49,0.13,2
32,Simon Hooper,11,21.64,0.77,0.09,3.09,34,0.18,2
33,Andy Madley,11,22.27,0.66,0.18,3.55,39,0.09,1
34,Peter Bankes,11,23.0,0.8,0.27,3.73,41,0.09,1
35,Oliver Langford,1,23.0,0.43,0.0,1.0,1,0.0,0
36,Tim Robinson,1,27.0,0.87,0.0,2.0,2,0.0,0
37,Darren England,1,25.0,0.93,1.0,3.0,3,0.0,0
38,Robert Jones,1,17.0,0.55,0.0,4.0,4,0.0,0
39,Michael Oliver,28,22.36,0.71,0.68,2.96,83,0.11,3
40,Anthony Taylor,28,20.68,0.66,0.54,2.64,74,0.11,3
41,Martin Atkinson,26,18.77,0.62,0.08,2.38,62,0.08,2
42,Mike Dean,25,22.72,0.74,0.36,3.64,91,0.32,8
43,Jonathan Moss,25,20.16,0.69,0.16,2.56,64,0.08,2
44,Andre Marriner,25,18.76,0.63,0.36,2.36,59,0.04,1
45,Kevin Friend,25,20.24,0.65,0.28,2.32,58,0.12,3
46,Stuart Attwell,23,22.22,0.65,0.35,3.87,89,0.17,4
47,Craig Pawson,23,24.04,0.76,0.3,3.43,79,0.13,3
48,Chris Kavanagh,22,22.68,0.76,0.27,2.77,61,0.09,2
49,Paul Tierney,21,24.71,0.77,0.24,3.9,82,0.14,3
50,David Coote,21,23.95,0.75,0.43,3.1,65,0.14,3
51,Andy Madley,16,24.94,0.84,0.31,2.56,41,0.06,1
52,Peter Bankes,16,20.81,0.67,0.13,3.06,49,0.25,4
53,Graham Scott,13,21.15,0.73,0.38,2.46,32,0.31,4
54,Simon Hooper,12,23.42,0.69,0.42,2.42,29,0.0,0
55,Lee Mason,11,20.45,0.68,0.27,1.82,20,0.0,0
56,Darren England,11,22.0,0.73,0.18,3.18,35,0.0,0
57,Robert Jones,9,21.44,0.71,0.33,2.33,21,0.22,2
58,Anthony Taylor,28,19.57,0.59,0.32,3.61,101,0.18,5
59,Paul Tierney,27,21.67,0.67,0.37,3.81,103,0.19,5
60,Mike Dean,26,19.23,0.58,0.19,3.15,82,0.08,2
61,Martin Atkinson,26,15.65,0.51,0.27,2.46,64,0.08,2
62,Michael Oliver,26,21.19,0.71,0.27,2.88,75,0.27,7
63,Craig Pawson,26,22.19,0.69,0.15,4.15,108,0.08,2
64,Jonathan Moss,25,17.84,0.58,0.28,2.32,58,0.16,4
65,Stuart Attwell,20,18.2,0.54,0.25,3.5,70,0.05,1
66,David Coote,20,23.85,0.74,0.15,4.6,92,0.1,2
67,Andre Marriner,19,18.74,0.57,0.26,3.11,59,0.05,1
68,Kevin Friend,18,19.56,0.6,0.39,4.33,78,0.11,2
69,Chris Kavanagh,18,20.06,0.63,0.33,3.78,68,0.17,3
70,Andy Madley,16,23.56,0.71,0.25,2.25,36,0.13,2
71,Simon Hooper,15,21.47,0.6,0.2,3.07,46,0.0,0
72,Darren England,15,20.6,0.63,0.53,3.87,58,0.07,1
73,Graham Scott,12,21.83,0.6,0.17,3.25,39,0.08,1
74,Peter Bankes,12,20.83,0.64,0.25,4.5,54,0.08,1
75,Robert Jones,12,20.58,0.64,0.42,2.75,33,0.0,0
76,Jarred Gillett,9,19.0,0.58,0.11,3.44,31,0.11,1
77,John Brooks,4,20.25,0.53,0.25,5.25,21,0.0,0
78,Michael Salisbury,3,23.33,0.67,0.33,4.0,12,0.0,0
79,Tony Harrington,3,21.67,0.63,0.0,2.33,7,0.0,0
80,Michael Oliver,30,21.33,0.63,0.37,2.9,87,0.03,1
81,Paul Tierney,30,20.97,0.58,0.17,3.8,114,0.07,2
82,Anthony Taylor,30,19.87,0.57,0.17,3.8,114,0.13,4
83,Simon Hooper,29,20.66,0.59,0.21,3.45,100,0.03,1
84,Robert Jones,26,22.81,0.68,0.46,4.12,107,0.0,0
85,Stuart Attwell,25,20.12,0.61,0.2,3.24,81,0.08,2
86,Andy Madley,24,22.71,0.7,0.17,3.54,85,0.13,3
87,Craig Pawson,21,23.9,0.66,0.33,3.76,79,0.05,1
88,Peter Bankes,21,23.05,0.66,0.05,4.33,91,0.0,0
89,David Coote,21,23.48,0.73,0.29,3.67,77,0.14,3
90,John Brooks,19,22.11,0.68,0.32,4.26,81,0.05,1
91,Darren England,18,21.22,0.67,0.33,3.61,65,0.11,2
92,Jarred Gillett,17,18.0,0.56,0.29,2.71,46,0.06,1
93,Michael Salisbury,15,23.33,0.64,0.07,4.4,66,0.2,3
94,Andre Marriner,13,19.15,0.56,0.31,3.54,46,0.15,2
95,Chris Kavanagh,13,20.77,0.59,0.46,3.15,41,0.0,0
96,Thomas Bramall,8,24.38,0.72,0.38,3.0,24,0.0,0
97,Graham Scott,6,19.83,0.67,0.5,2.17,13,0.33,2
98,Tony Harrington,6,22.0,0.54,0.33,3.83,23,0.0,0
99,Darren Bond,4,19.75,0.62,0.0,4.0,16,0.25,1
100,Tim Robinson,2,28.5,0.97,0.0,4.5,9,0.0,0
101,Robert Madley,1,27.0,0.79,0.0,6.0,6,1.0,1
102,Josh Smith,1,25.0,0.89,1.0,3.0,3,0.0,0
