,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Daniele Orsato,19,25.84,0.75,0.21,5.47,104,0.05,1
1,Daniele Doveri,19,27.11,0.84,0.37,4.47,85,0.26,5
2,Fabrizio Pasqua,19,24.11,0.7,0.11,3.47,66,0.16,3
3,Gianpaolo Calvarese,18,27.0,0.91,0.44,4.67,84,0.06,1
4,Piero Giacomelli,18,27.33,0.86,0.33,3.28,59,0.11,2
5,Paolo Valeri,17,26.71,0.89,0.47,4.24,72,0.18,3
6,Luca Banti,17,25.47,0.77,0.29,4.65,79,0.35,6
7,Paolo Silvio Mazzoleni,17,27.82,0.89,0.41,4.0,68,0.47,8
8,Rosario Abisso,17,22.76,0.66,0.35,4.06,69,0.18,3
9,Marco Guida,16,27.19,0.84,0.44,5.31,85,0.13,2
10,Gianluca Rocchi,16,29.69,0.88,0.63,4.88,78,0.38,6
11,Massimiliano Irrati,16,30.69,0.91,0.31,4.69,75,0.38,6
12,Davide Massa,16,27.06,0.79,0.38,5.25,84,0.06,1
13,Luca Pairetto,16,26.75,0.9,0.38,4.5,72,0.25,4
14,Fabio Maresca,16,25.63,0.81,0.19,5.69,91,0.44,7
15,Gianluca Manganiello,16,23.13,0.8,0.31,3.94,63,0.19,3
16,Maurizio Mariani,15,29.73,0.96,0.4,5.4,81,0.53,8
17,Michael Fabbri,15,26.87,0.79,0.4,5.07,76,0.2,3
18,Marco Di Bello,15,25.87,0.81,0.2,4.47,67,0.4,6
19,Daniele Chiffi,15,26.33,0.9,0.33,4.27,64,0.47,7
20,Federico La Penna,15,25.33,0.78,0.0,3.27,49,0.13,2
21,Marco Piccinini,4,22.75,0.83,0.5,4.25,17,0.0,0
22,Antonio Giua,4,32.75,1.04,0.0,4.25,17,0.0,0
23,Eugenio Abbattista,3,28.67,1.0,0.33,3.0,9,0.0,0
24,Juan Luca Sacchi,3,32.33,0.96,0.33,4.67,14,0.0,0
25,Gianluca Aureliano,2,31.5,1.17,0.0,4.0,8,1.0,2
26,Livio Marinelli,2,30.0,0.92,0.0,5.5,11,0.0,0
27,Francesco Fourneau,2,26.0,0.63,0.5,4.5,9,0.0,0
28,Manuel Volpi,2,36.0,1.31,0.0,4.5,9,0.0,0
29,Davide Ghersini,1,20.0,0.65,0.0,3.0,3,0.0,0
30,Luigi Nasca,1,19.0,0.58,0.0,2.0,2,0.0,0
31,Aleandro Di Paolo,1,20.0,0.69,0.0,1.0,1,0.0,0
32,Ivano Pezzuto,1,34.0,1.17,0.0,6.0,6,0.0,0
33,Marco Serra,1,29.0,1.16,0.0,6.0,6,1.0,1
34,Riccardo Ros,1,25.0,0.93,0.0,3.0,3,0.0,0
35,Antonio Di Martino,1,34.0,0.85,0.0,4.0,4,0.0,0
36,Federico Dionisi,1,20.0,0.8,0.0,2.0,2,0.0,0
37,Luca Massimi,1,26.0,0.67,1.0,3.0,3,0.0,0
38,Lorenzo Maggioni,1,31.0,1.82,1.0,2.0,2,0.0,0
39,Maurizio Mariani,21,29.57,1.03,0.29,4.9,103,0.52,11
40,Davide Massa,19,31.84,1.02,0.68,5.42,103,0.37,7
41,Gianpaolo Calvarese,18,25.94,0.92,0.33,4.56,82,0.11,2
42,Daniele Doveri,18,31.5,1.1,0.22,4.06,73,0.11,2
43,Rosario Abisso,18,29.72,1.01,0.33,5.56,100,0.11,2
44,Fabio Maresca,18,21.67,0.76,0.39,5.22,94,0.28,5
45,Daniele Orsato,17,27.88,1.04,0.53,5.35,91,0.18,3
46,Paolo Valeri,17,28.82,1.03,0.53,5.29,90,0.12,2
47,Marco Guida,17,27.82,1.05,0.88,5.59,95,0.71,12
48,Gianluca Rocchi,17,30.29,0.96,1.0,5.41,92,0.35,6
49,Piero Giacomelli,17,27.35,0.88,0.76,4.12,70,0.06,1
50,Daniele Chiffi,17,27.0,0.91,0.41,4.59,78,0.18,3
51,Federico La Penna,17,30.0,0.96,0.71,4.94,84,0.35,6
52,Massimiliano Irrati,16,29.94,1.05,0.5,5.06,81,0.5,8
53,Marco Di Bello,16,25.94,0.86,0.38,4.06,65,0.06,1
54,Luca Pairetto,16,28.94,1.08,0.56,4.63,74,0.44,7
55,Marco Piccinini,16,26.88,0.91,0.25,4.81,77,0.19,3
56,Gianluca Manganiello,15,24.6,0.83,0.33,4.53,68,0.53,8
57,Michael Fabbri,14,27.57,0.93,0.57,5.36,75,0.29,4
58,Fabrizio Pasqua,14,23.0,0.81,0.29,3.64,51,0.0,0
59,Antonio Giua,14,27.71,0.92,0.64,4.93,69,0.43,6
60,Eugenio Abbattista,3,25.33,1.19,0.33,3.67,11,0.0,0
61,Juan Luca Sacchi,3,32.33,1.18,0.33,4.33,13,0.0,0
62,Francesco Fourneau,3,29.67,1.01,0.33,6.33,19,0.33,1
63,Manuel Volpi,3,29.67,1.09,1.0,2.67,8,0.0,0
64,Gianluca Aureliano,2,21.0,0.76,0.5,4.0,8,0.0,0
65,Alessandro Prontera,2,20.0,0.65,0.5,2.5,5,0.0,0
66,Simone Sozza,2,24.5,1.0,0.0,3.5,7,0.0,0
67,Giovanni Ayroldi,2,32.5,0.94,0.0,5.0,10,1.0,2
68,Davide Ghersini,1,25.0,0.96,0.0,3.0,3,0.0,0
69,Marco Serra,1,23.0,0.77,1.0,4.0,4,0.0,0
70,Riccardo Ros,1,32.0,1.33,0.0,5.0,5,0.0,0
71,Antonio Di Martino,1,31.0,1.03,0.0,6.0,6,0.0,0
72,Livio Marinelli,1,30.0,0.6,1.0,4.0,4,0.0,0
73,Luca Massimi,1,22.0,1.16,0.0,3.0,3,0.0,0
74,Lorenzo Maggioni,1,28.0,0.97,0.0,4.0,4,0.0,0
75,Daniel Amabile,1,20.0,0.74,0.0,2.0,2,0.0,0
76,Maurizio Mariani,18,27.11,0.85,0.5,3.67,66,0.11,2
77,Daniele Doveri,17,29.06,1.07,0.29,4.06,69,0.0,0
78,Davide Massa,17,27.76,0.97,0.35,4.47,76,0.24,4
79,Marco Di Bello,17,27.41,0.96,0.47,4.65,79,0.18,3
80,Piero Giacomelli,17,29.65,1.02,0.65,4.59,78,0.06,1
81,Gianpaolo Calvarese,16,27.0,1.01,0.5,3.5,56,0.31,5
82,Daniele Chiffi,16,27.75,1.01,0.31,3.56,57,0.0,0
83,Daniele Orsato,15,29.07,0.97,0.13,5.13,77,0.13,2
84,Luca Pairetto,15,28.67,1.05,0.47,3.8,57,0.4,6
85,Michael Fabbri,14,23.57,0.81,0.36,4.57,64,0.21,3
86,Fabio Maresca,14,26.64,0.88,0.07,6.0,84,0.29,4
87,Paolo Valeri,13,27.0,0.99,0.38,4.38,57,0.23,3
88,Rosario Abisso,13,27.23,0.92,0.62,4.31,56,0.31,4
89,Marco Piccinini,13,27.85,0.95,0.38,3.62,47,0.08,1
90,Fabrizio Pasqua,12,25.0,0.85,0.25,3.42,41,0.25,3
91,Juan Luca Sacchi,12,25.75,0.86,0.33,4.17,50,0.08,1
92,Massimiliano Irrati,11,27.73,0.97,0.09,4.55,50,0.0,0
