,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,Bayern,35, FW,28(1),2463,41,7,4,-,4.7,77.2,1.7,11,8.07,0.5,0.1,1.4,-,0.4,0.4,-,-,0.8,1,0.7,1.5,1.5,22.8,77.2,0.2,0.5,-
1,Erling Haaland,Borussia Dortmund,23, FW,27(1),2410,27,6,2,-,3.3,72.7,1.3,8,7.63,0.3,0.1,0.7,-,0.6,0.1,0.1,-,1.1,0.8,0.6,0.4,0.4,16.3,72.7,-,0.1,-
2,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",25(2),2197,4,10,4,-,1.4,88.3,0.7,1,7.57,1.5,1.3,0.7,-,0.7,1.6,0.2,-,1.1,1.6,-,0.7,0.7,71.0,88.3,2.2,6.5,0.2
3,Jadon Sancho,Borussia Dortmund,24, AM(CLR),24(2),2069,8,11,-,-,2,82.4,0.1,4,7.54,0.7,0.6,-,-,0.2,0.3,-,-,3,0.8,0.3,1.3,1.3,50.2,82.4,1,0.8,0.2
4,André Silva,Eintracht Frankfurt,28, FW,32,2771,28,5,1,-,3.7,73.4,2.3,8,7.51,0.3,0.1,0.6,-,0.5,0.2,-,-,0.8,1.1,0.9,1.5,1.5,23.4,73.4,0.1,0.3,-
5,Thomas Müller,Bayern,34," M(CLR),FW",31(1),2683,11,18,-,-,1.6,75.0,1.6,3,7.51,1.5,0.7,0.7,-,0.5,1.5,0.1,-,0.8,0.7,0.4,1.3,1.3,43.5,75.0,0.8,1.2,0.1
6,Matheus Cunha,Hertha Berlin,24," AM(CL),FW",25(2),2156,7,4,9,-,2.6,70.9,0.7,5,7.33,1.3,1.1,1.7,-,0.3,1.3,0.1,-,3,2.8,0.2,2.5,2.5,23.1,70.9,1.2,1.7,-
7,Wout Weghorst,Wolfsburg,31, FW,33(1),2950,20,8,3,-,2.7,66.1,2.8,6,7.31,0.4,0.1,0.9,-,0.8,0.5,0.1,-,0.5,0.8,1.1,0.8,0.8,23.1,66.1,-,0.6,0.1
8,Maximilian Arnold,Wolfsburg,29, M(CR),30,2591,3,6,7,1,1.8,84.4,1.4,5,7.3,1.6,1.6,1.3,-,1.8,1,0.1,-,0.6,2.1,-,0.7,0.7,50.1,84.4,1.4,5.2,0.1
9,Filip Kostic,Eintracht Frankfurt,31," M(LR),FW",29(1),2536,4,14,4,-,1.7,69.9,0.5,6,7.29,1.8,0.9,0.7,-,0.7,1.1,0.2,-,0.8,0.7,0.1,1.2,1.2,35.1,69.9,2.6,1.4,-
