,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Robert Lewandowski,34,4,4.5,1.9,1.4,0.5,1.7,1.7
1,Jadon Sancho,17,16,1.6,2.4,0.5,0.3,1,1
2,Timo Werner,28,8,3.6,1.7,0.9,1.3,1,1
3,Alphonso Davies,3,5,0.4,2.8,1.2,0.2,1.4,1.4
4,Marco Reus,11,5,2.5,1.4,0.9,0.4,1.1,1.1
5,Serge Gnabry,12,10,3.1,1.8,0.8,0.5,0.8,0.8
6,Thiago Alcântara,3,-,0.8,3,0.5,-,0.8,0.8
7,Thomas Müller,8,21,1.6,0.5,0.8,0.3,0.6,0.6
8,Filip Kostic,4,11,2.7,2.5,1.1,0.1,1.8,1.8
9,Joshua Kimmich,4,7,0.8,0.6,1.4,0.1,0.6,0.6
10,Christopher Nkunku,5,13,1.6,1.7,1.3,0.2,1,1
11,Kevin Mbabu,3,1,0.6,2.5,0.9,-,1.5,1.5
12,Raphaël Guerreiro,8,2,1.4,1.4,0.6,-,0.9,0.9
13,Achraf Hakimi,5,10,1.2,2.2,1.5,0.1,1.3,1.3
14,Suat Serdar,7,-,1.8,2.7,1.7,0.1,2.2,2.2
15,Marcus Thuram,10,8,1.8,2,2,0.6,1.3,1.3
16,Alassane Pléa,10,10,2.9,1.7,1.3,0.6,1.4,1.4
17,Kai Havertz,12,6,2,1.9,1.1,0.4,2.5,2.5
18,Marcel Sabitzer,9,7,2.2,0.5,1.3,0.1,0.9,0.9
19,Philippe Coutinho,8,6,2.5,1.4,1,0.1,0.8,0.8
20,Thorgan Hazard,7,13,1.5,1.5,1.2,0.4,1.7,1.7
21,Andrej Kramaric,12,2,2.3,1.2,1,0.4,1.3,1.3
22,Benjamin Pavard,4,4,0.7,0.4,0.7,0.1,0.2,0.2
23,Leon Goretzka,6,5,1.6,0.8,1,-,0.8,0.8
24,Christopher Trimmel,-,8,0.2,0.7,0.7,-,0.3,0.3
25,Denis Zakaria,2,2,1,2,0.7,-,0.8,0.8
26,Marcel Halstenberg,3,3,1.1,0.8,0.6,-,0.3,0.3
27,Ramy Bensebaïni,5,3,1.2,0.8,1.3,0.1,0.7,0.7
28,Robert Skov,4,7,2,1.3,1.2,0.1,0.5,0.5
29,Kingsley Coman,4,3,1.5,2.4,1.4,0.2,1.5,1.5
30,Mats Hummels,1,3,0.7,0.5,0.3,0.1,0.2,0.2
31,Kevin Volland,10,7,2.9,0.8,0.7,1.1,1.5,1.5
32,Sebastian Andersson,12,1,2,0.6,1.2,0.6,2,2
33,Nordi Mukiele,3,1,0.9,0.4,1.1,0.1,0.8,0.8
34,Bas Dost,8,2,1.3,0.1,0.5,0.4,0.2,0.2
35,Wout Weghorst,16,3,2.7,0.6,1.3,0.6,1.3,1.3
36,Dayot Upamecano,-,1,0.5,1,0.5,-,0.5,0.5
37,Patrik Schick,10,2,2.4,0.8,1,0.4,0.6,0.6
38,Dedryck Boyata,4,1,0.6,0.3,0.3,0.1,0.1,0.1
39,Julian Brandt,3,7,1,2,0.6,0.1,1.5,1.5
40,Florian Niederlechner,13,6,2.4,0.8,1.9,1.2,1.2,1.2
41,Jordan Torunarigha,1,1,0.1,0.8,0.3,-,0.3,0.3
42,Sebastian Schonlau,2,-,0.5,0.4,0.9,-,0.1,0.1
43,Maximilian Arnold,4,8,1.9,0.6,2.1,-,0.9,0.9
44,David Alaba,1,1,0.7,0.3,0.3,-,0.1,0.1
45,Milot Rashica,8,5,2.6,2,1.7,0.3,1.9,1.9
46,Omar Mascarell,-,1,0.4,0.5,0.8,-,0.5,0.5
47,Florian Neuhaus,4,2,1.9,1.6,1.7,0.1,0.8,0.8
48,Axel Witsel,4,5,1.1,0.8,1.4,0.1,1,1
49,Sven Bender,2,1,0.5,0.2,0.6,-,0.2,0.2
50,Lars Bender,2,1,0.8,0.8,0.6,0.1,0.4,0.4
51,Maximilian Mittelstädt,1,3,0.8,0.7,0.8,-,1,1
52,Jhon Córdoba,13,2,2.1,0.7,2.2,0.9,1.6,1.6
53,Konrad Laimer,2,6,0.3,1.2,0.7,-,1.1,1.1
54,Daniel Caligiuri,2,2,1.6,1.5,1.5,-,2.1,2.1
55,Christopher Lenz,-,3,0.5,0.9,0.8,-,0.5,0.5
56,Marko Grujic,4,1,1.2,1,1,-,0.9,0.9
57,Pavel Kaderábek,2,7,0.9,0.3,1.2,0.2,0.4,0.4
58,Moussa Diaby,5,5,1.5,2.4,0.7,0.3,1.3,1.3
59,Nicolas Höfler,1,-,0.8,1.1,1,-,0.5,0.5
60,Martin Hinteregger,8,1,1.4,0.4,1,0.1,0.3,0.3
61,Karim Bellarabi,4,6,2.1,2,0.5,0.2,1.3,1.3
62,Danny da Costa,1,4,0.9,1.2,0.3,0.2,0.5,0.5
63,Vincenzo Grifo,4,8,1.9,1,0.6,0.2,1,1
64,Philipp Max,8,6,1.2,0.3,0.5,0.1,0.4,0.4
65,Amine Harit,6,4,1.2,2.4,2.8,0.3,2.6,2.6
66,Kerem Demirbay,1,5,1.2,1.1,0.7,-,0.8,0.8
67,Almamy Touré,1,3,0.8,1.3,0.3,-,0.4,0.4
68,Jonathan Tah,-,1,0.2,0.6,0.4,-,0.2,0.2
69,Lukas Klostermann,3,1,0.4,0.5,0.5,-,0.4,0.4
70,Jonas Hofmann,5,3,1,0.5,0.9,0.5,0.7,0.7
71,Ihlas Bebou,6,1,1.1,1.6,0.9,0.2,1.8,1.8
