,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,24.7,73.2,0.3,0.5,0.1
1,Jadon Sancho,47.1,85.1,0.6,0.8,0.1
2,Timo Werner,27.7,75.6,0.5,0.7,-
3,Alphonso Davies,52.1,86.5,0.9,1.1,-
4,Marco Reus,33.7,82.5,0.2,0.9,0.1
5,Serge Gnabry,33.1,82.3,0.4,0.6,0.1
6,Thiago Alcântara,74.9,90.5,0.1,6.2,-
7,Thomas Müller,36.6,78,1,1.3,0.2
8,Filip Kostic,32.1,67,3,1.5,-
9,Joshua Kimmich,77.2,90.1,1.9,5.8,0.2
10,Christopher Nkunku,21.7,85.9,1.4,0.6,0.1
11,Kevin Mbabu,30.6,72.2,1.1,1.4,-
12,Raphaël Guerreiro,65,89.2,0.7,2.1,-
13,Achraf Hakimi,62.8,84.9,0.6,2,-
14,Suat Serdar,23.8,75.4,-,0.9,0.2
15,Marcus Thuram,20.2,69.4,-,0.1,-
16,Alassane Pléa,24.9,75.2,0.4,0.6,0.3
17,Kai Havertz,45.1,85.4,0.2,1.3,0.1
18,Marcel Sabitzer,42,77.5,0.9,2.4,-
19,Philippe Coutinho,34.8,84.1,0.3,2,0.2
20,Thorgan Hazard,33.1,81,1,1,-
21,Andrej Kramaric,26.9,83,0.4,1.1,0.1
22,Benjamin Pavard,69.6,88.7,0.6,3.1,-
23,Leon Goretzka,38,85.9,0.2,1.5,-
24,Christopher Trimmel,30.8,71.3,2.4,2.5,-
25,Denis Zakaria,38.3,86.7,-,1.5,0.1
26,Marcel Halstenberg,58.3,84.9,0.7,1.8,-
27,Ramy Bensebaïni,40.6,77.5,0.3,2.2,-
28,Robert Skov,32.2,79,1.7,1.1,-
29,Kingsley Coman,29.4,82.3,0.6,1,0.1
30,Mats Hummels,73.5,87.5,-,6.4,0.1
31,Kevin Volland,20.2,70.8,0.3,0.3,0.2
32,Sebastian Andersson,23.2,59.9,0.2,0.2,-
33,Nordi Mukiele,44.4,76.9,0.2,1.2,-
34,Bas Dost,19.1,59.2,-,0.5,-
35,Wout Weghorst,24.5,63.1,0.1,0.3,-
36,Dayot Upamecano,70.1,89.1,-,5.8,-
37,Patrik Schick,13.5,72,-,0.1,-
38,Dedryck Boyata,48.9,89.4,-,3.9,-
39,Julian Brandt,49.1,83.8,0.2,3,0.2
40,Florian Niederlechner,14.4,73.4,0.1,0.5,0.1
41,Jordan Torunarigha,44.2,85.3,0.1,4.3,0.1
42,Sebastian Schonlau,63.7,87.9,-,3.9,-
43,Maximilian Arnold,40.8,81.1,1.4,4.2,0.1
44,David Alaba,86.7,90.7,0.4,5,0.1
45,Milot Rashica,19.9,75.9,1,1.1,-
46,Omar Mascarell,57.2,85,-,4,-
47,Florian Neuhaus,40.8,83.8,0.1,1.9,0.1
48,Axel Witsel,63.8,94.1,0.1,1.5,-
49,Sven Bender,77.4,91.3,-,3.1,-
50,Lars Bender,50.4,86.2,0.1,2,-
51,Maximilian Mittelstädt,33.6,72.5,0.8,3.3,-
52,Jhon Córdoba,14.2,76.4,0.1,0.3,-
53,Konrad Laimer,43.9,81.1,0.1,2.2,0.1
54,Daniel Caligiuri,30,67.6,1.1,1.4,-
55,Christopher Lenz,30.8,72.5,0.5,1.9,-
56,Marko Grujic,37.6,78.7,0.1,2,-
57,Pavel Kaderábek,35.5,69.6,1.3,1,-
58,Moussa Diaby,21.1,79.2,0.7,0.5,-
59,Nicolas Höfler,47,84.6,-,2,-
60,Martin Hinteregger,49.7,75.3,0.1,4.1,-
61,Karim Bellarabi,20.8,76.4,0.6,0.7,-
62,Danny da Costa,23.2,67.5,1.2,1,0.1
63,Vincenzo Grifo,25.1,79.2,1.3,1.5,0.1
64,Philipp Max,31.2,68.9,2.1,1.9,-
65,Amine Harit,34.9,83.8,0.3,1.4,-
66,Kerem Demirbay,42.9,82.9,1.6,2.6,0.1
67,Almamy Touré,29.4,71.7,1,1,-
68,Jonathan Tah,82.4,90,-,3.8,-
69,Lukas Klostermann,54.8,85.5,0.2,1.5,-
70,Jonas Hofmann,32.8,82.3,1.2,2.4,-
71,Ihlas Bebou,18.2,70.1,0.3,0.3,0.1
72,Nico Elvedi,54.3,92,-,1.7,-
73,André Silva,18.8,68.7,-,0.2,-
74,Yussuf Poulsen,14.6,68.2,0.1,0.1,-
75,Jonas Hector,41.5,79.9,0.3,2.9,0.1
76,Manuel Gulde,46.9,86.4,0.2,3.6,-
77,Robin Quaison,16.9,70.8,0.1,0.3,0.1
78,Jérôme Boateng,70.9,89.7,-,4.9,0.1
79,Lars Stindl,29.1,82.5,0.2,1.2,0.1
80,Ozan Kabak,39.8,81.5,-,3.3,-
81,Erik Thommy,21.1,77.7,1.1,0.8,-
82,Keven Schlotterbeck,36.5,79,-,3.1,-
83,Breel Embolo,13.4,76.7,-,0.2,0.1
84,Jonathan Schmid,33.9,75,0.8,1.9,-
85,Wendell,69.1,86.3,0.1,2.4,-
86,Matthias Ginter,70.5,85.1,-,4.8,0.1
87,Sebastian Rudy,43.1,81,0.9,2.2,0.1
88,Nils Petersen,15.3,62.5,0.1,0.5,-
89,Mitchell Weiser,47.6,78.9,0.3,1.3,-
90,Christian Gentner,32.7,72.1,0.3,1.2,0.1
91,Kenan Karaman,16,66.6,0.1,0.3,-
92,Lukasz Piszczek,64.2,88.6,0.2,2.3,0.1
93,Dodi Lukébakio,18.4,79.7,0.5,0.7,-
94,Kevin Stöger,53.1,83.8,0.6,4.2,0.1
95,Gonçalo Paciência,12,66.9,0.2,0.7,-
96,Marvin Plattenhardt,30.1,77,1.5,2.5,-
97,Theodor Gebre Selassie,39.1,81.4,0.4,1.3,-
98,Kai Pröger,12.8,61.7,1.5,0.4,-
99,Lucas Höler,18.2,66.8,0.2,0.4,-
100,Bastian Oczipka,40.4,79.4,1.3,2.1,-
101,Daniel Brosinski,25.9,67.6,2.2,2,-
102,John Anthony Brooks,49.2,81.7,-,3.8,-
103,Ridle Baku,30.8,74.9,0.7,1.7,0.1
104,Florian Kainz,19,70.1,1.4,1.3,-
105,Nadiem Amiri,32.9,84.4,0.9,1.5,0.1
106,Stefan Posch,49.6,79.8,0.1,2.4,-
