,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Robert Lewandowski,Bayern,35, FW,31,2762,34,4,5,-,4.5,73.2,2,7,8.13
1,Jadon Sancho,Borussia Dortmund,24, AM(CLR),25(7),2292,17,16,2,-,1.6,85.1,-,7,7.64
2,Timo Werner,RBL,28," AM(CLR),FW",33(1),2809,28,8,4,-,3.6,75.6,0.2,10,7.60
3,Alphonso Davies,Bayern,23," D(L),M(LR)",24(5),2234,3,5,2,1,0.4,86.5,1.1,1,7.52
4,Marco Reus,Borussia Dortmund,34," M(CLR),FW",18(1),1502,11,5,1,-,2.5,82.5,0.4,2,7.50
5,Serge Gnabry,Bayern,28," AM(CLR),FW",26(5),2203,12,10,-,-,3.1,82.3,0.2,7,7.49
6,Thiago Alcântara,Bayern,33, M(C),20(4),1772,3,-,7,-,0.8,90.5,1.5,1,7.47
7,Thomas Müller,Bayern,34," M(CLR),FW",26(7),2260,8,21,5,-,1.6,78,1,1,7.42
8,Filip Kostic,Eintracht Frankfurt,31," M(LR),FW",33,2959,4,11,4,-,2.7,67,0.6,5,7.41
9,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",32(1),2822,4,7,7,-,0.8,90.1,0.8,1,7.40
10,Christopher Nkunku,RBL,26," M(CLR),FW",21(11),1927,5,13,2,-,1.6,85.9,0.8,5,7.33
11,Kevin Mbabu,Wolfsburg,29," D(R),M(R)",18(2),1694,3,1,4,-,0.6,72.2,1.7,4,7.32
12,Raphaël Guerreiro,Borussia Dortmund,30," D(L),M(CL)",26(3),2340,8,2,3,-,1.4,89.2,0.3,2,7.32
13,Achraf Hakimi,Borussia Dortmund,25," D(LR),M(R)",29(4),2717,5,10,5,-,1.2,84.9,0.5,2,7.32
14,Suat Serdar,Schalke,27, M(CLR),19(1),1605,7,-,2,-,1.8,75.4,1.1,4,7.31
15,Marcus Thuram,Borussia M.Gladbach,26," AM(L),FW",28(3),2217,10,8,3,-,1.8,69.4,2.5,5,7.30
16,Alassane Pléa,Borussia M.Gladbach,31," AM(CLR),FW",25(2),2151,10,10,-,2,2.9,75.2,1.1,4,7.24
17,Kai Havertz,Leverkusen,24," M(CR),FW",29(1),2462,12,6,3,-,2,85.4,1.4,3,7.24
