,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Dr. Felix Brych,18,23.11,0.73,0.11,3.22,58,0.0,0
1,Sven Jablonski,16,19.69,0.71,0.19,3.75,60,0.06,1
2,Marco Fritz,16,22.81,0.71,0.25,3.5,56,0.0,0
3,Daniel Siebert,16,23.75,0.75,0.19,3.5,56,0.0,0
4,Daniel Schlager,16,23.69,0.65,0.38,3.75,60,0.06,1
5,Harm Osmers,15,20.67,0.71,0.33,2.73,41,0.13,2
6,Deniz Aytekin,15,24.27,0.71,0.4,3.47,52,0.27,4
7,Robert Schröder,15,23.6,0.72,0.2,3.8,57,0.07,1
8,Sascha Stegemann,15,22.87,0.75,0.33,3.07,46,0.13,2
9,Bastian Dankert,14,26.57,0.84,0.14,3.64,51,0.07,1
10,Felix Zwayer,13,23.54,0.77,0.46,3.62,47,0.0,0
11,Robert Hartmann,13,27.15,0.77,0.38,3.92,51,0.0,0
12,Patrick Ittrich,13,27.69,0.94,0.31,4.38,57,0.08,1
13,Martin Petersen,13,24.77,0.72,0.23,3.54,46,0.15,2
14,D.M. Jöllenbeck,13,26.38,0.86,0.23,3.54,46,0.08,1
15,Florian Badstübner,13,22.85,0.69,0.23,2.85,37,0.08,1
16,Tobias Stieler,12,23.33,0.71,0.33,3.25,39,0.17,2
17,Frank Willenborg,11,23.45,0.77,0.55,4.18,46,0.27,3
18,Tobias Reichel,11,24.0,0.79,0.09,2.73,30,0.09,1
19,Christian Dingert,10,23.7,0.67,0.3,3.5,35,0.0,0
20,Benjamin Cortus,10,22.8,0.65,0.2,3.8,38,0.1,1
21,Tobias Welz,8,22.75,0.58,0.13,2.5,20,0.0,0
22,Benjamin Brand,8,24.63,0.78,0.5,2.5,20,0.0,0
23,Robert Schörgenhofer,1,28.0,0.8,0.0,3.0,3,0.0,0
