,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,FC Koln,12.6,17.6,12.5,12.3,2
1,Eintracht Frankfurt,12.7,17.5,11.1,12.4,1.6
2,Borussia M,14,17.3,9.8,10.6,2.2
3,Bochum,14.2,17.2,12.7,12.5,2.2
4,Mainz 05,11.3,17,12.9,14.6,1.9
5,Greuther Fuerth,15,16.7,11,12.9,2
6,Bayern Munich,9.3,16.6,10.3,9,2.2
7,Augsburg,14.3,16.5,10.7,13.2,2.1
8,Arminia Bielefeld,15.5,16.1,12.4,12.7,1.6
9,Hertha Berlin,13.6,16.1,11.9,12.4,2.1
10,Borussia Dortmund,10.9,15.9,10.2,10.6,2.1
11,Wolfsburg,13.1,15.9,11.4,12.1,2.2
12,Union Berlin,11.6,15.8,11.1,12.4,1.9
13,VfB Stuttgart,14.8,15.6,10.1,10.9,1.6
14,Freiburg,14.2,15.2,10.4,11.5,1.7
15,RB Leipzig,10.4,14.7,10.3,10.6,1.9
16,Bayer Leverkusen,13.4,14.2,10.6,10.7,1.9
17,Hoffenheim,12.5,14.2,8.4,12.6,2.1
