,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,17.1,6.9,12.9,11
1,RB Leipzig,16,6,9.3,11.9
2,Borussia Dortmund,14.6,5.7,11.8,11
3,Wolfsburg,14.1,4.9,8.7,11.1
4,VfB Stuttgart,13.4,4.7,12.1,12.8
5,Borussia M,13.4,5.2,9.4,12.1
6,Eintracht Frankfurt,13.2,5.1,8.1,10.8
7,Bayer Leverkusen,13,4.9,12.5,9.9
8,Hoffenheim,12.6,4.6,8.2,12
9,Union Berlin,11.7,4.2,6.1,11
10,Freiburg,11.4,4.4,6.8,11.8
11,Hertha Berlin,11.3,4.4,9.7,12.6
12,Mainz 05,11.1,4.1,7.9,11.1
13,Werder Bremen,10.6,3.7,5.5,13.7
14,FC Koln,10.6,3.2,7,12.6
15,Augsburg,9.9,3.3,8.3,11.9
16,Arminia Bielefeld,9.8,3,6.9,12.3
17,Schalke 04,8.9,2.5,9.8,11.9
