,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Bochum,15.7,18.4,9.9,12.6,1.9
1,Bayern Munich,9.2,18.3,8.4,9,2.5
2,FC Koln,11.1,18.1,10.9,11.8,2
3,Werder Bremen,14,17.5,9.4,12.5,1.9
4,Borussia Dortmund,12.1,17.1,8.8,9.5,1.2
5,Hertha Berlin,14,16.9,10.8,12.4,1.7
6,Eintracht Frankfurt,10.9,16.5,8.4,12.6,2.1
7,Mainz 05,12.9,16.1,12.7,14,2.2
8,Wolfsburg,13.8,16,8.6,11.5,1.5
9,Hoffenheim,14.1,16,8.4,13.9,2.3
10,Schalke 04,14.5,15.9,9,12.6,2.1
11,RB Leipzig,9.2,15.7,9.1,11.6,2.4
12,VfB Stuttgart,11.8,15.5,9.1,10.2,1.6
13,Augsburg,15.9,15.4,8.4,12.7,1.7
14,Freiburg,13.1,14.6,9.6,11.9,1.7
15,Borussia M,14.2,14.6,7.9,9.9,2.1
16,Bayer Leverkusen,11.6,14.5,8.6,11.2,1.5
17,Union Berlin,11.5,14.5,7.7,13.1,1.8
