,Team,P,W,D,L,GF,GA,GD,Pts
0,Bayern Munich,97,19.8,36,2,64.8,86.0,12.5,6.98
1,Bayer Leverkusen,80,13.5,64,2,53.7,81.8,13.1,6.77
2,Borussia Dortmund,85,13.3,61,1,59.4,84.0,12.5,6.77
3,RB Leipzig,72,12.9,49,0,56.5,83.1,14.9,6.77
4,Freiburg,58,13.6,34,0,48.6,76.2,19.9,6.68
5,Borussia M,52,14.8,66,1,54.1,82.0,14.3,6.67
6,FC Koln,52,13.8,66,1,54.8,77.4,17.8,6.65
7,Mainz 05,50,13.8,58,4,46.0,74.1,18,6.64
8,Wolfsburg,43,12.4,58,3,50.2,78.6,18.4,6.63
9,VfB Stuttgart,41,13.3,62,2,50.4,80.7,17.3,6.61
10,Union Berlin,50,12.1,61,1,43.3,73.6,17.4,6.61
11,Eintracht Frankfurt,45,13.2,59,1,49.4,76.2,16.4,6.60
12,Hoffenheim,58,13.3,75,0,53.2,80.7,14.5,6.59
13,Bochum,38,12.1,53,2,44.5,72.1,18.7,6.58
14,Augsburg,39,10.8,74,0,40.6,72.0,16.6,6.51
15,Arminia Bielefeld,27,10.7,53,2,39.9,71.7,19.6,6.50
16,Hertha Berlin,37,10.8,62,2,43.2,74.7,16.6,6.48
17,Greuther Fuerth,28,9.2,61,0,43.0,74.8,14.1,6.38
