,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Bayern Munich,88,18.7,40,2,62.2,87.5,15.7,7.03
1,RB Leipzig,63,14.6,61,1,49.5,75.3,22.4,6.96
2,Borussia Dortmund,81,13.2,40,3,56.8,86.0,14,6.93
3,Bayer Leverkusen,69,15.2,50,1,57.7,84.4,16.6,6.88
4,Hoffenheim,70,18,65,2,52.8,82.0,15.9,6.87
5,Eintracht Frankfurt,60,12.4,56,3,47.6,73.1,24.6,6.83
6,Wolfsburg,62,12.5,62,0,52.5,78.6,18.9,6.81
7,Borussia M,55,13.5,43,0,52.3,84.3,13.2,6.76
8,Werder Bremen,58,13.9,58,3,51.2,80.0,18.1,6.75
9,Hertha Berlin,49,11.9,61,5,48.6,78.4,20.9,6.74
10,Mainz 05,46,14.6,56,0,46.9,77.1,19.6,6.70
11,Fortuna Duesseldorf,49,12.3,67,1,44.4,77.4,18.7,6.67
12,Schalke 04,37,12.2,71,5,46.9,76.3,18,6.65
13,Augsburg,51,13.4,55,1,46.8,74.5,20,6.65
14,Freiburg,46,12.5,51,3,45.4,78.2,16.9,6.64
15,VfB Stuttgart,32,12,62,5,46.8,75.7,21.9,6.57
16,Hannover 96,31,11.3,59,4,47.4,76.8,18.6,6.57
17,Nuernberg,26,10.6,57,4,44.1,76.0,19,6.49
