,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
2,Niclas Füllkrug,42,Werder Bremen,30,FW,28,2479,5,1.2,32.3,63.7,0.1,1.5,0.0,7.38,16,4,0,2.8,5.5,5,1.1,1.7,1.0,1.8,2.6,0.3,0.0,1.2,0.0,0.9,0.4,0.1,0
11,Sébastien Haller,44,Borussia Dortmund,29,FW,19,1232,3,0.8,16.1,70.5,0.0,0.2,0.0,7.21,9,1,0,1.8,2.2,1,0.5,0.7,0.2,0.8,0.9,0.3,0.1,0.7,0.0,0.5,0.2,0.0,0
32,Philipp Hofmann,109,Bochum,30,FW,34,2643,2,0.8,21.6,58.9,0.0,0.3,0.0,7.0,8,5,0,1.5,6.3,3,0.3,1.2,0.5,1.1,1.5,0.5,0.2,1.4,0.0,1.4,0.2,0.2,0
66,Kevin Behrens,796,Union Berlin,32,FW,33,1536,1,0.6,14.2,59.6,0.1,0.3,0.1,6.83,8,6,0,1.1,5.4,4,0.4,0.8,0.4,0.6,1.4,0.3,0.2,1.1,0.0,0.7,0.4,0.1,0
141,André Silva,7614,RB Leipzig,27,FW,31,1741,3,0.8,15.1,73.7,0.0,0.3,0.1,6.63,4,3,0,1.9,0.6,0,0.7,1.4,0.3,1.4,2.1,0.4,0.1,1.0,0.0,0.1,0.2,0.0,0
154,Youssoufa Moukoko,44,Borussia Dortmund,18,FW,26,1135,3,0.5,7.5,71.3,0.1,0.1,0.0,6.6,7,0,0,1.3,0.2,1,0.7,0.3,0.0,0.8,1.2,0.5,0.1,0.3,0.0,0.0,0.1,0.0,0
159,Steffen Tigges,282,FC Koln,24,FW,30,1598,1,0.6,10.9,58.9,0.1,0.2,0.0,6.59,6,1,0,1.2,2.2,2,0.3,0.4,0.3,0.7,1.1,0.4,0.3,0.4,0.0,0.6,0.3,0.1,0
169,Dion Beljo,1730,Augsburg,21,FW,18,1140,2,0.8,13.4,65.1,0.1,0.3,0.0,6.57,3,2,0,0.7,2.6,1,0.4,0.6,0.4,1.3,1.8,0.4,0.1,1.4,0.1,0.8,0.6,0.1,0
173,Jordan Siebatcheu,796,Union Berlin,27,FW,31,1359,3,0.6,9.5,55.6,0.0,0.1,0.0,6.56,4,3,0,1.1,3.4,2,0.3,0.4,0.3,0.8,1.4,0.5,0.1,1.2,0.0,0.5,0.5,0.2,0
196,Simon Terodde,39,Schalke 04,35,FW,32,1825,0,0.7,9.7,67.8,0.0,0.2,0.0,6.49,5,5,0,1.4,2.3,2,0.1,1.1,0.8,0.5,1.3,0.5,0.2,1.2,0.0,0.3,0.3,0.1,0
212,Anthony Modeste,44,Borussia Dortmund,35,FW,19,807,1,0.4,6.4,59.5,0.1,0.0,0.0,6.44,2,4,0,1.2,1.7,0,0.0,0.4,0.3,0.5,0.9,0.2,0.1,0.7,0.0,1.1,0.2,0.0,0
218,Wilfried Kanga,47,Hertha Berlin,25,FW,23,1421,0,0.9,10.5,62.8,0.1,0.1,0.0,6.42,2,3,0,1.1,2.3,0,0.3,0.5,0.5,0.8,1.7,0.2,0.1,0.8,0.0,0.5,0.1,0.1,0
245,Mathys Tel,37,Bayern Munich,18,FW,22,399,0,0.3,7.0,80.4,0.1,0.0,0.0,6.36,5,2,0,0.9,0.4,0,0.5,0.3,0.2,0.5,1.1,0.1,0.0,0.4,0.0,0.1,0.0,0.0,0
255,Jessic Ngankam,47,Hertha Berlin,22,FW,18,825,0,0.3,6.1,62.7,0.0,0.2,0.0,6.33,4,5,0,1.1,0.8,0,0.6,0.7,0.1,1.0,1.4,0.8,0.1,1.1,0.0,0.2,0.4,0.1,0
281,Lucas Alario,45,Eintracht Frankfurt,30,FW,20,317,0,0.1,4.3,65.9,0.0,0.1,0.0,6.19,1,0,0,0.6,1.1,0,0.3,0.1,0.3,0.4,0.2,0.2,0.1,0.5,0.0,0.6,0.1,0.0,0
282,Luca Pfeiffer,41,VfB Stuttgart,26,FW,19,692,0,0.6,10.5,64.3,0.1,0.4,0.1,6.17,0,1,1,0.6,1.6,0,0.1,0.5,0.1,0.3,0.7,0.1,0.1,0.7,0.0,0.3,0.1,0.0,0
284,Nils Petersen,50,Freiburg,34,FW,27,257,0,0.0,2.7,44.6,0.0,0.0,0.0,6.1,1,1,0,0.3,0.5,0,0.0,0.1,0.1,0.1,0.6,0.2,0.0,0.2,0.0,0.2,0.1,0.1,0
