,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
30,Frederik Rønnow,796,Union Berlin,30,GK,29,2610,0,0.0,40.3,66.8,0.0,9.0,0.0,7.01,0,2,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0
78,Rafal Gikiewicz,1730,Augsburg,35,GK,23,2070,0,0.0,44.5,71.0,0.0,9.6,0.0,6.8,0,3,0,0.0,0.3,3,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.2,0.0,0.0,0
79,Mark Flekken,50,Freiburg,30,GK,34,3060,0,0.1,39.4,68.5,0.0,9.7,0.0,6.8,0,0,0,0.0,0.2,2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
82,Gregor Kobel,44,Borussia Dortmund,25,GK,27,2430,0,0.0,34.3,81.1,0.0,5.7,0.0,6.79,0,0,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
84,Koen Casteels,33,Wolfsburg,31,GK,34,3060,0,0.0,41.2,74.0,0.0,10.6,0.0,6.78,0,0,0,0.0,0.1,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
102,Oliver Baumann,1211,Hoffenheim,33,GK,34,3060,0,0.0,36.6,72.3,0.0,7.4,0.0,6.7,0,2,0,0.0,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
129,Robin Zentner,219,Mainz 05,28,GK,26,2340,0,0.0,27.7,55.0,0.0,6.8,0.0,6.65,0,1,0,0.0,0.7,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0
142,Manuel Riemann,109,Bochum,34,GK,34,3060,0,0.1,49.0,58.9,0.0,18.4,0.0,6.63,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.1,0.1,0.0,1
143,Janis Blaswich,7614,RB Leipzig,32,GK,26,2340,0,0.0,39.0,84.9,0.0,3.2,0.0,6.63,0,0,0,0.0,0.4,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0
149,Jirí Pavlenka,42,Werder Bremen,31,GK,33,2909,0,0.0,30.9,66.9,0.0,7.6,0.0,6.62,0,1,0,0.0,0.2,2,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.1,0.1,0.0,0
180,Lukás Hrádecký,36,Bayer Leverkusen,33,GK,33,2970,0,0.0,28.9,67.9,0.0,5.4,0.0,6.53,0,0,1,0.0,0.3,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
214,Kevin Trapp,45,Eintracht Frankfurt,32,GK,33,2970,0,0.0,22.9,65.0,0.0,3.3,0.0,6.44,0,3,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0
233,Oliver Christensen,47,Hertha Berlin,24,GK,33,2970,0,0.0,31.7,58.8,0.0,7.2,0.0,6.39,0,2,0,0.0,0.2,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0
243,Yann Sommer,37,Bayern Munich,34,GK,19,1710,0,0.0,35.1,85.3,0.0,4.3,0.0,6.37,0,1,0,0.0,0.3,0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.6,0.0,0.0,0
247,Alexander Schwolow,39,Schalke 04,31,GK,23,2034,0,0.0,33.5,63.3,0.0,9.3,0.0,6.35,0,1,0,0.0,0.2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0
253,Marvin Schwäbe,282,FC Koln,28,GK,34,3060,0,0.0,37.4,76.7,0.0,5.8,0.0,6.33,0,1,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0
277,Florian Müller,41,VfB Stuttgart,25,GK,19,1710,0,0.1,33.3,78.7,0.0,6.3,0.0,6.21,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
