,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Jude Bellingham,44,Borussia Dortmund,19,M,31,2693,4,1.1,51.2,83.1,0.2,3.7,0.2,7.58,8,8,0,2.2,1.1,6,2.8,2.4,0.1,1.9,2.0,2.5,1.1,1.3,0.0,0.9,0.5,0.1,0
3,Christopher Nkunku,7614,RB Leipzig,25,M,25,1899,4,1.6,23.8,81.8,0.2,1.2,0.2,7.35,16,4,0,3.0,0.7,8,1.5,1.5,0.5,1.5,1.8,0.2,0.3,0.7,0.0,0.4,0.2,0.1,0
4,Jamal Musiala,37,Bayern Munich,20,M,33,2212,10,1.6,30.0,85.4,0.1,0.5,0.1,7.34,12,1,0,2.0,0.4,4,2.3,1.3,0.0,2.1,2.4,1.0,0.6,0.7,0.0,0.1,0.7,0.1,0
7,Julian Brandt,44,Borussia Dortmund,27,M,32,2412,8,2.3,37.0,83.8,1.5,1.8,0.1,7.28,9,2,0,1.3,0.3,3,1.3,0.7,0.2,1.1,1.6,0.9,0.5,0.3,0.0,0.3,1.0,0.0,0
13,Kingsley Coman,37,Bayern Munich,27,M,24,1421,5,1.8,29.9,84.7,0.9,0.8,0.1,7.2,8,0,1,2.0,0.5,4,2.0,0.9,0.2,0.8,2.0,0.5,0.1,0.4,0.0,0.3,0.4,0.0,0
14,Eric Choupo-Moting,37,Bayern Munich,34,M,19,1117,2,0.8,15.1,77.6,0.1,0.3,0.1,7.19,10,0,0,1.6,0.9,3,1.1,0.4,0.6,0.8,1.7,0.5,0.0,0.2,0.0,0.3,0.1,0.0,0
17,Thomas Müller,37,Bayern Munich,33,M,27,1672,8,1.4,28.7,77.4,0.1,0.5,0.1,7.12,7,0,0,1.7,1.4,1,0.3,0.4,0.2,0.7,1.8,0.8,0.1,0.3,0.0,0.5,0.4,0.1,0
23,Leroy Sané,37,Bayern Munich,27,M,32,2012,7,1.1,32.8,82.8,0.1,0.8,0.1,7.09,8,4,0,2.4,0.2,1,2.3,0.7,0.2,1.9,1.9,1.2,0.1,0.5,0.0,0.0,0.6,0.0,0
26,Moussa Diaby,36,Bayer Leverkusen,23,M,33,2716,8,1.8,26.4,79.2,0.7,0.8,0.2,7.06,9,4,0,2.4,0.1,3,1.5,0.7,0.3,1.3,1.9,0.4,0.2,0.5,0.0,0.1,0.2,0.0,0
29,Maximilian Arnold,33,Wolfsburg,29,M,32,2775,3,1.3,45.9,83.2,1.2,5.2,0.2,7.02,5,5,0,1.1,1.0,2,0.3,2.0,0.0,0.7,0.6,1.9,0.8,1.0,0.1,1.9,0.8,0.3,1
48,Rodrigo Zalazar,39,Schalke 04,23,M,22,1326,6,1.6,13.9,68.6,1.8,0.7,0.2,6.9,1,4,0,1.7,1.1,3,1.6,1.6,0.2,1.4,2.4,0.7,0.3,1.0,0.0,0.5,0.7,0.0,0
51,Leon Goretzka,37,Bayern Munich,28,M,27,1738,2,0.8,36.8,82.8,0.0,1.1,0.1,6.89,3,5,0,1.5,1.7,1,0.3,0.7,0.1,0.4,0.7,1.6,1.1,0.9,0.0,1.1,0.8,0.1,0
55,Robert Andrich,36,Bayer Leverkusen,28,M,29,2409,2,0.6,49.8,83.9,0.1,1.8,0.0,6.87,2,8,0,1.0,1.9,0,0.2,0.7,0.0,0.1,0.7,2.1,1.4,1.2,0.1,1.8,0.7,0.3,1
59,Felix Nmecha,33,Wolfsburg,22,M,30,1841,5,0.7,23.0,76.7,0.0,1.2,0.1,6.86,3,3,0,1.2,1.5,1,0.9,1.3,0.0,0.4,1.4,1.4,0.8,1.0,0.0,1.0,0.6,0.3,0
62,Anton Stach,219,Mainz 05,24,M,30,2078,4,1.0,27.5,72.2,0.6,1.0,0.2,6.85,1,4,0,1.2,2.4,1,0.8,1.3,0.1,0.5,1.5,0.9,1.4,0.9,0.0,0.8,0.7,0.1,0
65,Kevin Stöger,109,Bochum,29,M,32,2610,3,2.1,44.3,74.2,1.3,3.0,0.2,6.84,5,3,0,1.5,0.3,2,0.7,1.7,0.0,1.1,1.3,2.6,0.8,1.3,0.1,0.6,2.0,0.1,0
67,Ihlas Bebou,1211,Hoffenheim,29,M,19,1423,0,0.8,17.6,68.3,0.0,0.5,0.0,6.83,7,2,0,1.5,1.5,3,1.4,0.5,0.4,0.9,3.2,1.0,0.4,1.2,0.0,0.8,0.3,0.1,0
70,Exequiel Palacios,36,Bayer Leverkusen,24,M,25,1656,2,0.6,47.4,85.4,0.1,1.3,0.0,6.82,4,4,0,0.8,0.5,3,0.4,1.6,0.0,1.0,0.8,2.4,1.3,0.9,0.0,1.0,0.8,0.1,0
76,Lars Stindl,134,Borussia M.Gladbach,34,M,29,1745,7,1.4,25.9,81.6,0.3,1.0,0.2,6.81,8,9,0,1.7,0.3,0,0.3,1.3,0.3,0.9,1.1,0.8,0.4,1.0,0.0,0.6,0.6,0.2,0
97,Éric Ebimbe,45,Eintracht Frankfurt,22,M,19,1061,1,0.5,23.3,72.7,0.1,0.7,0.0,6.71,3,4,0,1.4,1.2,1,0.9,0.6,0.1,0.8,1.4,1.6,0.6,0.8,0.0,1.0,0.9,0.3,0
99,Jakub Kaminski,33,Wolfsburg,21,M,31,2074,2,0.9,19.0,76.4,0.3,0.6,0.1,6.7,4,0,0,1.3,0.4,1,0.9,0.4,0.1,1.0,1.8,1.2,0.3,0.3,0.1,0.4,0.6,0.1,0
100,Marco Richter,47,Hertha Berlin,25,M,29,1844,5,0.7,20.0,67.3,0.5,1.2,0.0,6.7,6,8,0,1.7,0.4,2,1.2,1.1,0.2,1.2,2.0,1.5,0.8,1.2,0.0,0.6,1.0,0.1,0
104,Xaver Schlager,7614,RB Leipzig,25,M,22,1505,1,0.4,41.7,83.8,0.0,2.6,0.1,6.69,1,2,0,0.2,0.6,1,0.6,1.1,0.0,0.6,1.0,1.9,0.8,1.2,0.0,1.0,1.0,0.1,0
105,Kerem Demirbay,36,Bayer Leverkusen,29,M,25,1548,3,1.2,38.7,82.5,0.9,1.7,0.1,6.69,4,5,0,1.2,0.4,2,0.3,0.9,0.0,0.8,1.0,1.4,0.6,1.2,0.0,0.4,0.6,0.2,0
110,Marco Reus,44,Borussia Dortmund,34,M,25,1352,4,0.8,21.8,81.1,0.2,0.1,0.0,6.69,6,4,0,1.5,0.5,1,0.4,0.7,0.1,0.6,1.2,1.2,0.3,0.7,0.0,0.3,0.7,0.2,0
114,Maximilian Eggestein,50,Freiburg,26,M,31,2459,2,0.8,27.4,77.5,0.1,0.7,0.1,6.68,1,6,0,0.5,1.9,0,0.3,0.7,0.0,0.7,0.7,1.6,1.2,1.0,0.0,0.8,0.6,0.3,0
124,Suat Serdar,47,Hertha Berlin,26,M,32,2034,2,0.6,19.0,70.6,0.1,1.0,0.0,6.66,4,7,0,0.7,0.9,1,1.1,1.0,0.0,1.0,1.1,1.6,0.9,1.0,0.0,0.7,0.7,0.4,0
128,Mario Götze,45,Eintracht Frankfurt,31,M,32,2749,1,1.3,43.8,78.2,0.7,1.3,0.2,6.65,3,6,0,0.8,0.1,0,0.8,1.4,0.1,1.4,1.8,1.3,0.4,0.8,0.0,0.3,1.0,0.0,0
130,Chris Führich,41,VfB Stuttgart,25,M,33,1892,2,0.7,19.1,82.3,0.4,0.7,0.0,6.65,5,2,0,1.3,0.1,1,1.5,0.3,0.1,0.9,1.1,1.1,0.2,0.2,0.0,0.3,0.6,0.1,0
