Name,Position,Date of Birth,Age,Nationality,Market Value
Tomas Koubek,Goalkeeper,"Aug 26, 1992",30,Czech Republic,€1.00m
Rafal Gikiewicz,Goalkeeper,"Oct 26, 1987",35,Poland,€900k
Daniel Klein,Goalkeeper,"Mar 13, 2001",22,Germany,€300k
Benjamin Leneis,Goalkeeper,"Mar 8, 1999",24,Germany,€100k
Felix Uduokhai,Centre-Back,"Sep 9, 1997",25,Germany,€8.50m
Reece Oxford,Centre-Back,"Dec 16, 1998",24,England,€5.50m
Maximilian Bauer,Centre-Back,"Feb 9, 2000",23,Germany,€3.50m
Jeffrey Gouweleeuw,Centre-Back,"Jul 10, 1991",31,Netherlands,€3.00m
Frederik Winther,Centre-Back,"Jan 4, 2001",22,Denmark,€1.00m
Felix Götze,Centre-Back,"Feb 11, 1998",25,Germany,€400k
Daniel Katic,Centre-Back,"Apr 26, 2003",20,Croatia,€125k
Iago,Left-Back,"Mar 23, 1997",26,Brazil,€5.50m
Mads Pedersen,Left-Back,"Sep 1, 1996",26,Denmark,€3.50m
David Colina,Left-Back,"Jul 19, 2000",22,Croatia,€1.50m
Robert Gumny,Right-Back,"Jun 4, 1998",25,Poland,€3.50m
Raphael Framberger,Right-Back,"Sep 6, 1995",27,Germany,€800k
Niklas Dorsch,Defensive Midfield,"Jan 15, 1998",25,Germany,€7.00m
Carlos Gruezo,Defensive Midfield,"Apr 19, 1995",28,Ecuador,€3.00m
Renato Veiga,Defensive Midfield,"Jul 29, 2003",19,Portugal,€1.00m
Tobias Strobl,Defensive Midfield,"May 12, 1990",33,Germany,€500k
Julian Baumgartlinger,Defensive Midfield,"Jan 2, 1988",35,Austria,€400k
Arne Engels,Central Midfield,"Sep 8, 2003",19,Belgium,€7.50m
Arne Maier,Central Midfield,"Jan 8, 1999",24,Germany,€6.50m
Elvis Rexhbecaj,Central Midfield,"Nov 1, 1997",25,Germany,€3.50m
Aaron Zehnter,Left Midfield,"Oct 31, 2004",18,Germany,€300k
Fredrik Jensen,Attacking Midfield,"Sep 9, 1997",25,Finland,€2.50m
Lukas Petkov,Attacking Midfield,"Nov 1, 2000",22,Bulgaria,€800k
Josué Mbila,Attacking Midfield,"Aug 21, 1999",23,Germany,€100k
Mert Kömür,Attacking Midfield,"Jul 17, 2005",17,Germany,-
Nathanaël Mbuku,Left Winger,"Mar 16, 2002",21,France,€3.00m
Rubén Vargas,Right Winger,"Aug 5, 1998",24,Switzerland,€6.50m
André Hahn,Right Winger,"Aug 13, 1990",32,Germany,€1.20m
Noah Sarenren Bazee,Right Winger,"Aug 21, 1996",26,Germany,€600k
Daniel Caligiuri,Right Winger,"Jan 15, 1988",35,Italy,€600k
Ermedin Demirovic,Centre-Forward,"Mar 25, 1998",25,Bosnia-Herzegovina,€12.00m
Mergim Berisha,Centre-Forward,"May 11, 1998",25,Germany,€12.00m
Ricardo Pepi,Centre-Forward,"Jan 9, 2003",20,United States,€9.00m
Dion Beljo,Centre-Forward,"Mar 1, 2002",21,Croatia,€6.50m
Kelvin Yeboah,Centre-Forward,"May 6, 2000",23,Italy,€3.50m
Irvin Cardona,Centre-Forward,"Aug 8, 1997",25,France,€2.50m
Maurice Malone,Centre-Forward,"Aug 17, 2000",22,Germany,€1.80m
Florian Niederlechner,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
