Name,Position,Date of Birth,Age,Nationality,Market Value
Robin Zentner,Goalkeeper,"Oct 28, 1994",28,Germany,€5.00m
Finn Dahmen,Goalkeeper,"Mar 27, 1998",25,Germany,€2.50m
Lasse Rieß,Goalkeeper,"Jul 27, 2001",21,Germany,€200k
Andreas Hanche-Olsen,Centre-Back,"Jan 17, 1997",26,Norway,€7.50m
Edimilson Fernandes,Centre-Back,"Apr 15, 1996",27,Switzerland,€5.50m
Alexander Hack,Centre-Back,"Sep 8, 1993",29,Germany,€2.50m
Maxim Leitsch,Centre-Back,"May 18, 1998",25,Germany,€2.00m
Stefan Bell,Centre-Back,"Aug 24, 1991",31,Germany,€2.00m
Philipp Schulz,Centre-Back,"May 25, 2005",18,Germany,€300k
Lucas Laux,Centre-Back,"Oct 14, 2002",20,Germany,€175k
Anthony Caci,Left-Back,"Jul 1, 1997",25,France,€8.50m
Aarón Martín,Left-Back,"Apr 22, 1997",26,Spain,€7.00m
Anderson Lucoqui,Left-Back,"Jul 6, 1997",25,Angola,€600k
Silvan Widmer,Right-Back,"Mar 5, 1993",30,Switzerland,€3.50m
Danny da Costa,Right-Back,"Jul 13, 1993",29,Germany,€1.80m
Dominik Kohr,Defensive Midfield,"Jan 31, 1994",29,Germany,€3.50m
Niklas Tauer,Defensive Midfield,"Feb 17, 2001",22,Germany,€1.20m
Anton Stach,Central Midfield,"Nov 15, 1998",24,Germany,€15.00m
Leandro Barreiro,Central Midfield,"Jan 3, 2000",23,Luxembourg,€14.00m
Merveille Papela,Central Midfield,"Jan 18, 2001",22,Germany,€1.00m
Eniss Shabani,Central Midfield,"May 29, 2003",20,Albania,€200k
Angelo Fulgini,Attacking Midfield,"Aug 20, 1996",26,France,€9.00m
Jae-sung Lee,Attacking Midfield,"Aug 10, 1992",30,"Korea, South",€4.00m
Aymen Barkok,Attacking Midfield,"May 21, 1998",25,Morocco,€2.00m
Kaito Mizuta,Attacking Midfield,"Apr 8, 2000",23,Japan,€225k
Delano Burgzorg,Left Winger,"Nov 7, 1998",24,Netherlands,€1.50m
Ben Bobzien,Right Winger,"Apr 29, 2003",20,Germany,€600k
Brajan Gruda,Right Winger,"May 31, 2004",19,Germany,€500k
Jonathan Burkardt,Centre-Forward,"Jul 11, 2000",22,Germany,€10.00m
Ludovic Ajorque,Centre-Forward,"Feb 25, 1994",29,France,€9.00m
Marcus Ingvartsen,Centre-Forward,"Jan 4, 1996",27,Denmark,€5.50m
Nelson Weiper,Centre-Forward,"Mar 17, 2005",18,Germany,€5.00m
Karim Onisiwo,Centre-Forward,"Mar 17, 1992",31,Austria,€3.50m
Marlon Mustapha,Centre-Forward,"May 24, 2001",22,Austria,€1.00m
